1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 1400000021FA5F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3000 second(s)
Mission Start Time:  Mon Aug 12 13:58:01 CDT 2013
Mission Sample Count:  6804
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Mon Aug 12 13:58:01 CDT 2013
Total Mission Samples:  6804
Total Device Samples:  15606
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/12/13 1:58:01 PM,C,32.66
8/12/13 2:48:01 PM,C,26.166
8/12/13 3:38:01 PM,C,29.164
8/12/13 4:28:01 PM,C,29.164
8/12/13 5:18:01 PM,C,25.666
8/12/13 6:08:01 PM,C,22.665
8/12/13 6:58:01 PM,C,22.165
8/12/13 7:48:01 PM,C,22.665
8/12/13 8:38:01 PM,C,19.663
8/12/13 9:28:01 PM,C,18.16
8/12/13 10:18:01 PM,C,20.163
8/12/13 11:08:01 PM,C,20.163
8/12/13 11:58:01 PM,C,19.162
8/13/13 12:48:01 AM,C,17.159
8/13/13 1:38:01 AM,C,14.653
8/13/13 2:28:01 AM,C,13.651
8/13/13 3:18:01 AM,C,13.651
8/13/13 4:08:01 AM,C,13.651
8/13/13 4:58:01 AM,C,13.15
8/13/13 5:48:01 AM,C,13.651
8/13/13 6:38:01 AM,C,13.651
8/13/13 7:28:01 AM,C,14.152
8/13/13 8:18:01 AM,C,22.165
8/13/13 9:08:01 AM,C,26.166
8/13/13 9:58:01 AM,C,26.166
8/13/13 10:48:01 AM,C,25.666
8/13/13 11:38:01 AM,C,26.166
8/13/13 12:28:01 PM,C,27.166
8/13/13 1:18:01 PM,C,28.165
8/13/13 2:08:01 PM,C,34.157
8/13/13 2:58:01 PM,C,27.665
8/13/13 3:48:01 PM,C,30.663
8/13/13 4:38:01 PM,C,30.663
8/13/13 5:28:01 PM,C,28.665
8/13/13 6:18:01 PM,C,27.665
8/13/13 7:08:01 PM,C,27.166
8/13/13 7:58:01 PM,C,24.666
8/13/13 8:48:01 PM,C,23.166
8/13/13 9:38:01 PM,C,19.663
8/13/13 10:28:01 PM,C,21.164
8/13/13 11:18:01 PM,C,21.164
8/14/13 12:08:01 AM,C,21.164
8/14/13 12:58:01 AM,C,20.664
8/14/13 1:48:01 AM,C,20.163
8/14/13 2:38:01 AM,C,18.661
