1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: D200000013CBA941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3000 second(s)
Mission Start Time:  Tue Aug 13 10:57:01 CDT 2013
Mission Sample Count:  6774
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Aug 13 10:57:01 CDT 2013
Total Mission Samples:  6774
Total Device Samples:  43186
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/13/13 10:57:01 AM,C,28.694
8/13/13 11:47:01 AM,C,28.694
8/13/13 12:37:01 PM,C,28.694
8/13/13 1:27:01 PM,C,31.69
8/13/13 2:17:01 PM,C,28.694
8/13/13 3:07:01 PM,C,32.189
8/13/13 3:57:01 PM,C,33.686
8/13/13 4:47:01 PM,C,30.692
8/13/13 5:37:01 PM,C,30.192
8/13/13 6:27:01 PM,C,27.695
8/13/13 7:17:01 PM,C,26.195
8/13/13 8:07:01 PM,C,25.195
8/13/13 8:57:01 PM,C,23.195
8/13/13 9:47:01 PM,C,22.694
8/13/13 10:37:01 PM,C,22.194
8/13/13 11:27:01 PM,C,21.193
8/14/13 12:17:01 AM,C,21.193
8/14/13 1:07:01 AM,C,20.693
8/14/13 1:57:01 AM,C,20.192
8/14/13 2:47:01 AM,C,20.192
8/14/13 3:37:01 AM,C,19.191
8/14/13 4:27:01 AM,C,18.69
8/14/13 5:17:01 AM,C,17.187
8/14/13 6:07:01 AM,C,17.187
8/14/13 6:57:01 AM,C,17.688
8/14/13 7:47:01 AM,C,16.686
8/14/13 8:37:01 AM,C,18.69
8/14/13 9:27:01 AM,C,23.695
8/14/13 10:17:01 AM,C,24.695
8/14/13 11:07:01 AM,C,25.695
8/14/13 11:57:01 AM,C,23.695
8/14/13 12:47:01 PM,C,21.694
8/14/13 1:37:01 PM,C,25.695
8/14/13 2:27:01 PM,C,23.195
8/14/13 3:17:01 PM,C,25.695
8/14/13 4:07:01 PM,C,26.695
8/14/13 4:57:01 PM,C,27.695
8/14/13 5:47:01 PM,C,26.195
