1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: CC000000133BF041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3000 second(s)
Mission Start Time:  Tue Aug 13 09:08:01 CDT 2013
Mission Sample Count:  6753
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Aug 13 09:08:01 CDT 2013
Total Mission Samples:  6753
Total Device Samples:  69729
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/13/13 9:08:01 AM,C,26.174
8/13/13 9:58:01 AM,C,29.671
8/13/13 10:48:01 AM,C,27.673
8/13/13 11:38:01 AM,C,28.672
8/13/13 12:28:01 PM,C,28.173
8/13/13 1:18:01 PM,C,29.172
8/13/13 2:08:01 PM,C,27.673
8/13/13 2:58:01 PM,C,32.666
8/13/13 3:48:01 PM,C,30.67
8/13/13 4:38:01 PM,C,34.163
8/13/13 5:28:01 PM,C,31.169
8/13/13 6:18:01 PM,C,31.668
8/13/13 7:08:01 PM,C,29.172
8/13/13 7:58:01 PM,C,29.172
8/13/13 8:48:01 PM,C,24.174
8/13/13 9:38:01 PM,C,22.673
8/13/13 10:28:01 PM,C,21.171
8/13/13 11:18:01 PM,C,20.671
8/14/13 12:08:01 AM,C,19.669
8/14/13 12:58:01 AM,C,20.17
8/14/13 1:48:01 AM,C,19.168
8/14/13 2:38:01 AM,C,19.168
8/14/13 3:28:01 AM,C,18.166
8/14/13 4:18:01 AM,C,16.663
8/14/13 5:08:01 AM,C,15.159
8/14/13 5:58:01 AM,C,14.156
8/14/13 6:48:01 AM,C,14.156
8/14/13 7:38:01 AM,C,14.156
8/14/13 8:28:01 AM,C,18.667
8/14/13 9:18:01 AM,C,26.674
8/14/13 10:08:01 AM,C,27.173
8/14/13 10:58:01 AM,C,25.674
8/14/13 11:48:01 AM,C,24.674
8/14/13 12:38:01 PM,C,24.174
8/14/13 1:28:01 PM,C,24.174
8/14/13 2:18:01 PM,C,25.674
8/14/13 3:08:01 PM,C,27.173
8/14/13 3:58:01 PM,C,27.173
8/14/13 4:48:01 PM,C,30.67
8/14/13 5:38:01 PM,C,29.671
8/14/13 6:28:01 PM,C,32.167
8/14/13 7:18:01 PM,C,28.173
8/14/13 8:08:01 PM,C,25.674
8/14/13 8:58:01 PM,C,22.172
8/14/13 9:48:01 PM,C,21.171
8/14/13 10:38:01 PM,C,20.671
8/14/13 11:28:01 PM,C,19.669
8/15/13 12:18:01 AM,C,18.667
8/15/13 1:08:01 AM,C,17.665
8/15/13 1:58:01 AM,C,17.164
