1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 230000001492B441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sun Apr 06 09:25:01 CDT 2014
Mission Sample Count:  997
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Apr 06 09:25:01 CDT 2014
Total Mission Samples:  997
Total Device Samples:  46153
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/6/14 9:25:01 AM,C,12.679
4/6/14 11:25:01 AM,C,13.681
4/6/14 1:25:01 PM,C,18.187
4/6/14 3:25:01 PM,C,15.684
4/6/14 5:25:01 PM,C,15.183
4/6/14 7:25:01 PM,C,15.684
4/6/14 9:25:01 PM,C,11.677
4/6/14 11:25:01 PM,C,9.672
4/7/14 1:25:01 AM,C,10.173
4/7/14 3:25:01 AM,C,10.675
4/7/14 5:25:01 AM,C,8.168
4/7/14 7:25:01 AM,C,8.168
4/7/14 9:25:01 AM,C,13.681
4/7/14 11:25:01 AM,C,13.18
4/7/14 1:25:01 PM,C,14.683
4/7/14 3:25:01 PM,C,14.182
4/7/14 5:25:01 PM,C,16.185
4/7/14 7:25:01 PM,C,15.183
4/7/14 9:25:01 PM,C,5.661
4/7/14 11:25:01 PM,C,1.146
4/8/14 1:25:01 AM,C,-1.364
4/8/14 3:25:01 AM,C,-2.871
4/8/14 5:25:01 AM,C,-3.373
4/8/14 7:25:01 AM,C,-3.875
4/8/14 9:25:01 AM,C,12.178
4/8/14 11:25:01 AM,C,18.688
4/8/14 1:25:01 PM,C,22.191
4/8/14 3:25:01 PM,C,22.191
4/8/14 5:25:01 PM,C,25.191
4/8/14 7:25:01 PM,C,21.19
4/8/14 9:25:01 PM,C,10.173
4/8/14 11:25:01 PM,C,3.655
4/9/14 1:25:01 AM,C,2.149
4/9/14 3:25:01 AM,C,-0.36
4/9/14 5:25:01 AM,C,0.142
4/9/14 7:25:01 AM,C,0.644
4/9/14 9:25:01 AM,C,17.687
4/9/14 11:25:01 AM,C,23.691
4/9/14 1:25:01 PM,C,26.691
4/9/14 3:25:01 PM,C,27.191
4/9/14 5:25:01 PM,C,28.191
4/9/14 7:25:01 PM,C,25.191
4/9/14 9:25:01 PM,C,12.679
4/9/14 11:25:01 PM,C,5.16
4/10/14 1:25:01 AM,C,14.182
4/10/14 3:25:01 AM,C,9.672
4/10/14 5:25:01 AM,C,9.171
4/10/14 7:25:01 AM,C,14.182
4/10/14 9:25:01 AM,C,20.189
4/10/14 11:25:01 AM,C,23.691
4/10/14 1:25:01 PM,C,25.191
4/10/14 3:25:01 PM,C,25.191
4/10/14 5:25:01 PM,C,25.691
4/10/14 7:25:01 PM,C,25.191
4/10/14 9:25:01 PM,C,12.679
4/10/14 11:25:01 PM,C,6.163
