1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: D400000022184241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sun Apr 06 11:28:01 CDT 2014
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Apr 06 11:28:01 CDT 2014
Total Mission Samples:  8192
Total Device Samples:  23008
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/6/14 11:28:01 AM,C,14.109
4/6/14 12:28:01 PM,C,15.111
4/6/14 1:28:01 PM,C,16.113
4/6/14 2:28:01 PM,C,16.113
4/6/14 3:28:01 PM,C,14.109
4/6/14 4:28:01 PM,C,12.606
4/6/14 5:28:01 PM,C,13.107
4/6/14 6:28:01 PM,C,12.606
4/6/14 7:28:01 PM,C,13.107
4/6/14 8:28:01 PM,C,11.604
4/6/14 9:28:01 PM,C,11.102
4/6/14 10:28:01 PM,C,9.097
4/6/14 11:28:01 PM,C,10.601
4/7/14 12:28:01 AM,C,9.097
4/7/14 1:28:01 AM,C,9.598
4/7/14 2:28:01 AM,C,11.102
4/7/14 3:28:01 AM,C,9.598
4/7/14 4:28:01 AM,C,5.585
4/7/14 5:28:01 AM,C,5.083
4/7/14 6:28:01 AM,C,5.083
4/7/14 7:28:01 AM,C,2.573
4/7/14 8:28:01 AM,C,5.083
4/7/14 9:28:01 AM,C,8.595
4/7/14 10:28:01 AM,C,9.598
4/7/14 11:28:01 AM,C,11.604
4/7/14 12:28:01 PM,C,14.109
4/7/14 1:28:01 PM,C,15.612
4/7/14 2:28:01 PM,C,12.606
4/7/14 3:28:01 PM,C,12.105
4/7/14 4:28:01 PM,C,16.614
4/7/14 5:28:01 PM,C,12.606
4/7/14 6:28:01 PM,C,12.606
4/7/14 7:28:01 PM,C,13.608
4/7/14 8:28:01 PM,C,9.598
4/7/14 9:28:01 PM,C,4.079
4/7/14 10:28:01 PM,C,2.071
4/7/14 11:28:01 PM,C,0.564
4/8/14 12:28:01 AM,C,-0.943
4/8/14 1:28:01 AM,C,-0.441
4/8/14 2:28:01 AM,C,0.062
4/8/14 3:28:01 AM,C,-2.451
4/8/14 4:28:01 AM,C,-1.948
4/8/14 5:28:01 AM,C,-2.451
4/8/14 6:28:01 AM,C,-3.456
4/8/14 7:28:01 AM,C,-3.456
4/8/14 8:28:01 AM,C,0.564
4/8/14 9:28:01 AM,C,7.09
4/8/14 10:28:01 AM,C,11.604
4/8/14 11:28:01 AM,C,16.113
4/8/14 12:28:01 PM,C,20.619
4/8/14 1:28:01 PM,C,23.121
4/8/14 2:28:01 PM,C,22.12
4/8/14 3:28:01 PM,C,20.119
4/8/14 4:28:01 PM,C,24.621
4/8/14 5:28:01 PM,C,20.119
4/8/14 6:28:01 PM,C,20.119
4/8/14 7:28:01 PM,C,19.618
4/8/14 8:28:01 PM,C,13.608
4/8/14 9:28:01 PM,C,8.093
4/8/14 10:28:01 PM,C,5.585
4/8/14 11:28:01 PM,C,4.581
4/9/14 12:28:01 AM,C,2.071
4/9/14 1:28:01 AM,C,3.075
4/9/14 2:28:01 AM,C,2.071
4/9/14 3:28:01 AM,C,8.093
4/9/14 4:28:01 AM,C,12.606
4/9/14 5:28:01 AM,C,13.608
4/9/14 6:28:01 AM,C,7.09
4/9/14 7:28:01 AM,C,4.581
4/9/14 8:28:01 AM,C,9.097
4/9/14 9:28:01 AM,C,16.113
4/9/14 10:28:01 AM,C,19.118
4/9/14 11:28:01 AM,C,21.12
4/9/14 12:28:01 PM,C,24.621
4/9/14 1:28:01 PM,C,26.121
4/9/14 2:28:01 PM,C,26.121
4/9/14 3:28:01 PM,C,25.121
4/9/14 4:28:01 PM,C,26.621
4/9/14 5:28:01 PM,C,24.621
4/9/14 6:28:01 PM,C,24.121
4/9/14 7:28:01 PM,C,23.121
4/9/14 8:28:01 PM,C,17.616
4/9/14 9:28:01 PM,C,11.102
4/9/14 10:28:01 PM,C,8.595
4/9/14 11:28:01 PM,C,6.588
4/10/14 12:28:01 AM,C,9.097
4/10/14 1:28:01 AM,C,11.102
4/10/14 2:28:01 AM,C,13.107
4/10/14 3:28:01 AM,C,12.105
4/10/14 4:28:01 AM,C,9.097
4/10/14 5:28:01 AM,C,9.598
4/10/14 6:28:01 AM,C,9.598
4/10/14 7:28:01 AM,C,14.61
4/10/14 8:28:01 AM,C,16.614
4/10/14 9:28:01 AM,C,18.116
4/10/14 10:28:01 AM,C,20.619
4/10/14 11:28:01 AM,C,22.62
4/10/14 12:28:01 PM,C,24.121
4/10/14 1:28:01 PM,C,23.621
4/10/14 2:28:01 PM,C,25.121
4/10/14 3:28:01 PM,C,24.121
4/10/14 4:28:01 PM,C,24.621
