1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 68000000149AF441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Apr 05 14:33:01 CDT 2014
Mission Sample Count:  4096
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Apr 05 14:33:01 CDT 2014
Total Mission Samples:  4096
Total Device Samples:  22375
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/5/14 2:33:01 PM,C,20.153
4/5/14 4:33:01 PM,C,19.152
4/5/14 6:33:01 PM,C,15.145
4/5/14 8:33:01 PM,C,12.639
4/5/14 10:33:01 PM,C,9.63
4/6/14 12:33:01 AM,C,8.125
4/6/14 2:33:01 AM,C,7.623
4/6/14 4:33:01 AM,C,6.118
4/6/14 6:33:01 AM,C,4.611
4/6/14 8:33:01 AM,C,6.62
4/6/14 10:33:01 AM,C,9.129
4/6/14 12:33:01 PM,C,13.642
4/6/14 2:33:01 PM,C,11.135
4/6/14 4:33:01 PM,C,11.637
4/6/14 6:33:01 PM,C,9.129
4/6/14 8:33:01 PM,C,8.125
4/6/14 10:33:01 PM,C,7.122
4/7/14 12:33:01 AM,C,7.623
4/7/14 2:33:01 AM,C,7.122
4/7/14 4:33:01 AM,C,4.611
4/7/14 6:33:01 AM,C,4.109
4/7/14 8:33:01 AM,C,4.109
4/7/14 10:33:01 AM,C,7.623
4/7/14 12:33:01 PM,C,12.138
4/7/14 2:33:01 PM,C,11.135
4/7/14 4:33:01 PM,C,10.634
4/7/14 6:33:01 PM,C,8.125
4/7/14 8:33:01 PM,C,6.62
4/7/14 10:33:01 PM,C,5.113
4/8/14 12:33:01 AM,C,5.113
4/8/14 2:33:01 AM,C,7.122
4/8/14 4:33:01 AM,C,5.113
4/8/14 6:33:01 AM,C,3.105
4/8/14 8:33:01 AM,C,3.105
4/8/14 10:33:01 AM,C,12.639
4/8/14 12:33:01 PM,C,19.653
4/8/14 2:33:01 PM,C,19.152
4/8/14 4:33:01 PM,C,18.652
4/8/14 6:33:01 PM,C,15.145
4/8/14 8:33:01 PM,C,12.639
4/8/14 10:33:01 PM,C,11.637
4/9/14 12:33:01 AM,C,11.135
4/9/14 2:33:01 AM,C,11.135
4/9/14 4:33:01 AM,C,11.637
4/9/14 6:33:01 AM,C,11.135
4/9/14 8:33:01 AM,C,12.639
4/9/14 10:33:01 AM,C,19.653
4/9/14 12:33:01 PM,C,26.156
