1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: A70000000FD7BA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Apr 05 13:20:01 CDT 2014
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Apr 05 13:20:01 CDT 2014
Total Mission Samples:  8192
Total Device Samples:  86103
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/5/14 1:20:01 PM,C,19.202
4/5/14 2:20:01 PM,C,17.198
4/5/14 3:20:01 PM,C,18.2
4/5/14 4:20:01 PM,C,20.704
4/5/14 5:20:01 PM,C,16.697
4/5/14 6:20:01 PM,C,16.195
4/5/14 7:20:01 PM,C,13.688
4/5/14 8:20:01 PM,C,11.681
4/5/14 9:20:01 PM,C,8.667
4/5/14 10:20:01 PM,C,7.662
4/5/14 11:20:01 PM,C,6.657
4/6/14 12:20:01 AM,C,6.155
4/6/14 1:20:01 AM,C,4.646
4/6/14 2:20:01 AM,C,4.143
4/6/14 3:20:01 AM,C,4.646
4/6/14 4:20:01 AM,C,4.646
4/6/14 5:20:01 AM,C,3.137
4/6/14 6:20:01 AM,C,2.633
4/6/14 7:20:01 AM,C,3.137
4/6/14 8:20:01 AM,C,4.646
4/6/14 9:20:01 AM,C,8.165
4/6/14 10:20:01 AM,C,9.17
4/6/14 11:20:01 AM,C,9.672
4/6/14 12:20:01 PM,C,16.195
4/6/14 1:20:01 PM,C,14.691
4/6/14 2:20:01 PM,C,14.189
4/6/14 3:20:01 PM,C,12.182
4/6/14 4:20:01 PM,C,11.179
4/6/14 5:20:01 PM,C,10.676
4/6/14 6:20:01 PM,C,10.174
4/6/14 7:20:01 PM,C,9.17
4/6/14 8:20:01 PM,C,8.165
4/6/14 9:20:01 PM,C,5.149
4/6/14 10:20:01 PM,C,4.143
4/6/14 11:20:01 PM,C,4.143
4/7/14 12:20:01 AM,C,4.143
4/7/14 1:20:01 AM,C,3.64
4/7/14 2:20:01 AM,C,5.149
4/7/14 3:20:01 AM,C,4.646
4/7/14 4:20:01 AM,C,2.633
4/7/14 5:20:01 AM,C,3.64
4/7/14 6:20:01 AM,C,2.13
4/7/14 7:20:01 AM,C,1.627
4/7/14 8:20:01 AM,C,3.137
4/7/14 9:20:01 AM,C,8.165
4/7/14 10:20:01 AM,C,10.676
4/7/14 11:20:01 AM,C,11.179
4/7/14 12:20:01 PM,C,16.697
4/7/14 1:20:01 PM,C,14.189
4/7/14 2:20:01 PM,C,14.189
4/7/14 3:20:01 PM,C,11.179
4/7/14 4:20:01 PM,C,13.186
4/7/14 5:20:01 PM,C,11.179
4/7/14 6:20:01 PM,C,8.667
4/7/14 7:20:01 PM,C,7.16
4/7/14 8:20:01 PM,C,5.149
4/7/14 9:20:01 PM,C,3.64
4/7/14 10:20:01 PM,C,3.137
4/7/14 11:20:01 PM,C,3.137
4/8/14 12:20:01 AM,C,3.137
4/8/14 1:20:01 AM,C,3.137
4/8/14 2:20:01 AM,C,3.64
4/8/14 3:20:01 AM,C,3.137
4/8/14 4:20:01 AM,C,2.633
4/8/14 5:20:01 AM,C,2.13
4/8/14 6:20:01 AM,C,2.13
4/8/14 7:20:01 AM,C,0.62
4/8/14 8:20:01 AM,C,2.633
4/8/14 9:20:01 AM,C,11.179
4/8/14 10:20:01 AM,C,14.189
4/8/14 11:20:01 AM,C,13.688
4/8/14 12:20:01 PM,C,19.202
4/8/14 1:20:01 PM,C,17.198
4/8/14 2:20:01 PM,C,19.202
4/8/14 3:20:01 PM,C,17.699
4/8/14 4:20:01 PM,C,20.203
4/8/14 5:20:01 PM,C,17.699
4/8/14 6:20:01 PM,C,15.192
