1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 230000001492B441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 6000 second(s)
Mission Start Time:  Sat Jun 28 10:32:01 CDT 2014
Mission Sample Count:  4096
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 10:32:01 CDT 2014
Total Mission Samples:  4096
Total Device Samples:  50251
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/28/14 10:32:01 AM,C,28.691
6/28/14 12:12:01 PM,C,31.688
6/28/14 1:52:01 PM,C,32.687
6/28/14 3:32:01 PM,C,33.187
6/28/14 5:12:01 PM,C,37.18
6/28/14 6:52:01 PM,C,35.184
6/28/14 8:32:01 PM,C,29.19
6/28/14 10:12:01 PM,C,23.691
6/28/14 11:52:01 PM,C,20.189
6/29/14 1:32:01 AM,C,18.187
6/29/14 3:12:01 AM,C,16.185
6/29/14 4:52:01 AM,C,13.681
6/29/14 6:32:01 AM,C,13.681
6/29/14 8:12:01 AM,C,21.69
6/29/14 9:52:01 AM,C,30.689
6/29/14 11:32:01 AM,C,33.686
6/29/14 1:12:01 PM,C,36.182
6/29/14 2:52:01 PM,C,36.681
6/29/14 4:32:01 PM,C,38.178
6/29/14 6:12:01 PM,C,32.188
6/29/14 7:52:01 PM,C,28.191
6/29/14 9:32:01 PM,C,26.191
6/29/14 11:12:01 PM,C,25.191
6/30/14 12:52:01 AM,C,24.191
6/30/14 2:32:01 AM,C,23.691
6/30/14 4:12:01 AM,C,19.188
6/30/14 5:52:01 AM,C,17.186
6/30/14 7:32:01 AM,C,17.186
6/30/14 9:12:01 AM,C,28.191
6/30/14 10:52:01 AM,C,31.688
6/30/14 12:32:01 PM,C,34.185
6/30/14 2:12:01 PM,C,35.184
6/30/14 3:52:01 PM,C,26.191
6/30/14 5:32:01 PM,C,29.69
6/30/14 7:12:01 PM,C,31.688
6/30/14 8:52:01 PM,C,27.191
6/30/14 10:32:01 PM,C,21.69
7/1/14 12:12:01 AM,C,23.691
7/1/14 1:52:01 AM,C,22.691
7/1/14 3:32:01 AM,C,23.691
7/1/14 5:12:01 AM,C,22.191
7/1/14 6:52:01 AM,C,18.187
7/1/14 8:32:01 AM,C,27.191
7/1/14 10:12:01 AM,C,28.191
7/1/14 11:52:01 AM,C,30.19
