1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 0B0000002D989F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3000 second(s)
Mission Start Time:  Sat Jun 28 09:45:01 CDT 2014
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 09:45:01 CDT 2014
Total Mission Samples:  8192
Total Device Samples:  8801
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/28/14 9:45:01 AM,C,29.112
6/28/14 10:35:01 AM,C,30.111
6/28/14 11:25:01 AM,C,31.609
6/28/14 12:15:01 PM,C,32.608
6/28/14 1:05:01 PM,C,33.108
6/28/14 1:55:01 PM,C,34.106
6/28/14 2:45:01 PM,C,33.108
6/28/14 3:35:01 PM,C,34.106
6/28/14 4:25:01 PM,C,33.607
6/28/14 5:15:01 PM,C,35.603
6/28/14 6:05:01 PM,C,36.102
6/28/14 6:55:01 PM,C,33.607
6/28/14 7:45:01 PM,C,32.608
6/28/14 8:35:01 PM,C,29.112
6/28/14 9:25:01 PM,C,25.613
6/28/14 10:15:01 PM,C,21.612
6/28/14 11:05:01 PM,C,19.11
6/28/14 11:55:01 PM,C,17.608
6/29/14 12:45:01 AM,C,17.107
6/29/14 1:35:01 AM,C,15.605
6/29/14 2:25:01 AM,C,14.603
6/29/14 3:15:01 AM,C,13.601
6/29/14 4:05:01 AM,C,13.1
6/29/14 4:55:01 AM,C,12.598
6/29/14 5:45:01 AM,C,12.097
6/29/14 6:35:01 AM,C,12.598
6/29/14 7:25:01 AM,C,12.598
6/29/14 8:15:01 AM,C,17.107
6/29/14 9:05:01 AM,C,25.613
6/29/14 9:55:01 AM,C,33.108
6/29/14 10:45:01 AM,C,34.605
6/29/14 11:35:01 AM,C,37.1
6/29/14 12:25:01 PM,C,35.104
6/29/14 1:15:01 PM,C,32.608
6/29/14 2:05:01 PM,C,33.108
6/29/14 2:55:01 PM,C,33.607
6/29/14 3:45:01 PM,C,35.603
6/29/14 4:35:01 PM,C,38.597
6/29/14 5:25:01 PM,C,33.108
6/29/14 6:15:01 PM,C,32.608
6/29/14 7:05:01 PM,C,23.113
6/29/14 7:55:01 PM,C,28.113
6/29/14 8:45:01 PM,C,27.113
6/29/14 9:35:01 PM,C,25.113
6/29/14 10:25:01 PM,C,24.113
6/29/14 11:15:01 PM,C,23.113
6/30/14 12:05:01 AM,C,22.112
6/30/14 12:55:01 AM,C,22.112
6/30/14 1:45:01 AM,C,24.613
6/30/14 2:35:01 AM,C,24.113
6/30/14 3:25:01 AM,C,21.612
6/30/14 4:15:01 AM,C,20.111
6/30/14 5:05:01 AM,C,18.109
6/30/14 5:55:01 AM,C,16.106
6/30/14 6:45:01 AM,C,14.603
6/30/14 7:35:01 AM,C,14.102
6/30/14 8:25:01 AM,C,20.111
6/30/14 9:15:01 AM,C,28.113
6/30/14 10:05:01 AM,C,32.608
6/30/14 10:55:01 AM,C,34.106
6/30/14 11:45:01 AM,C,35.603
6/30/14 12:35:01 PM,C,36.102
6/30/14 1:25:01 PM,C,36.102
6/30/14 2:15:01 PM,C,32.608
6/30/14 3:05:01 PM,C,26.613
6/30/14 3:55:01 PM,C,28.612
6/30/14 4:45:01 PM,C,30.611
6/30/14 5:35:01 PM,C,32.109
6/30/14 6:25:01 PM,C,31.11
6/30/14 7:15:01 PM,C,31.11
6/30/14 8:05:01 PM,C,29.112
6/30/14 8:55:01 PM,C,26.613
6/30/14 9:45:01 PM,C,23.113
6/30/14 10:35:01 PM,C,22.613
6/30/14 11:25:01 PM,C,24.113
7/1/14 12:15:01 AM,C,24.113
7/1/14 1:05:01 AM,C,23.113
7/1/14 1:55:01 AM,C,22.613
7/1/14 2:45:01 AM,C,20.611
7/1/14 3:35:01 AM,C,17.608
7/1/14 4:25:01 AM,C,16.106
7/1/14 5:15:01 AM,C,19.11
7/1/14 6:05:01 AM,C,17.608
7/1/14 6:55:01 AM,C,16.106
7/1/14 7:45:01 AM,C,15.605
7/1/14 8:35:01 AM,C,26.613
7/1/14 9:25:01 AM,C,30.111
7/1/14 10:15:01 AM,C,29.112
7/1/14 11:05:01 AM,C,29.611
7/1/14 11:55:01 AM,C,34.106
7/1/14 12:45:01 PM,C,35.104
7/1/14 1:35:01 PM,C,31.609
7/1/14 2:25:01 PM,C,32.608
7/1/14 3:15:01 PM,C,32.608
7/1/14 4:05:01 PM,C,31.11
7/1/14 4:55:01 PM,C,28.612
7/1/14 5:45:01 PM,C,29.112
7/1/14 6:35:01 PM,C,30.111
7/1/14 7:25:01 PM,C,26.113
7/1/14 8:15:01 PM,C,24.613
7/1/14 9:05:01 PM,C,22.613
7/1/14 9:55:01 PM,C,22.613
7/1/14 10:45:01 PM,C,21.112
7/1/14 11:35:01 PM,C,20.611
7/2/14 12:25:01 AM,C,20.611
7/2/14 1:15:01 AM,C,20.111
7/2/14 2:05:01 AM,C,19.11
7/2/14 2:55:01 AM,C,18.609
7/2/14 3:45:01 AM,C,18.609
7/2/14 4:35:01 AM,C,16.606
7/2/14 5:25:01 AM,C,15.104
7/2/14 6:15:01 AM,C,14.603
7/2/14 7:05:01 AM,C,13.1
7/2/14 7:55:01 AM,C,14.102
7/2/14 8:45:01 AM,C,20.611
7/2/14 9:35:01 AM,C,26.113
7/2/14 10:25:01 AM,C,26.613
7/2/14 11:15:01 AM,C,28.113
7/2/14 12:05:01 PM,C,26.113
7/2/14 12:55:01 PM,C,27.113
7/2/14 1:45:01 PM,C,27.613
7/2/14 2:35:01 PM,C,28.113
7/2/14 3:25:01 PM,C,27.613
7/2/14 4:15:01 PM,C,30.611
7/2/14 5:05:01 PM,C,30.111
7/2/14 5:55:01 PM,C,26.613
7/2/14 6:45:01 PM,C,25.613
7/2/14 7:35:01 PM,C,25.113
7/2/14 8:25:01 PM,C,23.613
7/2/14 9:15:01 PM,C,22.112
7/2/14 10:05:01 PM,C,21.112
7/2/14 10:55:01 PM,C,20.111
7/2/14 11:45:01 PM,C,19.11
7/3/14 12:35:01 AM,C,18.109
7/3/14 1:25:01 AM,C,17.608
7/3/14 2:15:01 AM,C,18.109
7/3/14 3:05:01 AM,C,17.608
7/3/14 3:55:01 AM,C,17.107
7/3/14 4:45:01 AM,C,15.605
7/3/14 5:35:01 AM,C,15.104
7/3/14 6:25:01 AM,C,14.603
7/3/14 7:15:01 AM,C,14.102
7/3/14 8:05:01 AM,C,15.605
7/3/14 8:55:01 AM,C,21.112
7/3/14 9:45:01 AM,C,25.613
7/3/14 10:35:01 AM,C,25.113
7/3/14 11:25:01 AM,C,28.113
7/3/14 12:15:01 PM,C,27.113
7/3/14 1:05:01 PM,C,26.113
7/3/14 1:55:01 PM,C,25.113
7/3/14 2:45:01 PM,C,24.613
7/3/14 3:35:01 PM,C,24.613
7/3/14 4:25:01 PM,C,27.113
7/3/14 5:15:01 PM,C,26.613
7/3/14 6:05:01 PM,C,25.613
7/3/14 6:55:01 PM,C,25.113
7/3/14 7:45:01 PM,C,24.613
7/3/14 8:35:01 PM,C,23.113
7/3/14 9:25:01 PM,C,22.112
7/3/14 10:15:01 PM,C,21.112
7/3/14 11:05:01 PM,C,20.611
7/3/14 11:55:01 PM,C,19.61
7/4/14 12:45:01 AM,C,18.609
7/4/14 1:35:01 AM,C,17.608
7/4/14 2:25:01 AM,C,17.107
7/4/14 3:15:01 AM,C,17.608
7/4/14 4:05:01 AM,C,17.608
7/4/14 4:55:01 AM,C,18.109
7/4/14 5:45:01 AM,C,17.107
7/4/14 6:35:01 AM,C,16.106
7/4/14 7:25:01 AM,C,15.104
7/4/14 8:15:01 AM,C,19.61
7/4/14 9:05:01 AM,C,22.613
7/4/14 9:55:01 AM,C,25.113
7/4/14 10:45:01 AM,C,26.613
7/4/14 11:35:01 AM,C,29.112
7/4/14 12:25:01 PM,C,28.113
7/4/14 1:15:01 PM,C,29.611
7/4/14 2:05:01 PM,C,30.111
7/4/14 2:55:01 PM,C,29.112
