1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: D400000022184241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 4000 second(s)
Mission Start Time:  Wed Mar 18 09:25:15 CDT 2015
Mission Sample Count:  677
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Mar 18 09:25:15 CDT 2015
Total Mission Samples:  677
Total Device Samples:  23687
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/18/15 9:25:15 AM,C,8.093
3/18/15 10:31:55 AM,C,9.097
3/18/15 11:38:35 AM,C,11.102
3/18/15 12:45:15 PM,C,12.606
3/18/15 1:51:55 PM,C,14.61
3/18/15 2:58:35 PM,C,16.113
3/18/15 4:05:15 PM,C,16.113
3/18/15 5:11:55 PM,C,17.616
3/18/15 6:18:35 PM,C,13.608
3/18/15 7:25:15 PM,C,15.111
3/18/15 8:31:55 PM,C,11.604
3/18/15 9:38:35 PM,C,7.592
3/18/15 10:45:15 PM,C,6.588
3/18/15 11:51:55 PM,C,6.588
3/19/15 12:58:35 AM,C,5.585
3/19/15 2:05:15 AM,C,4.581
3/19/15 3:11:55 AM,C,6.087
3/19/15 4:18:35 AM,C,8.093
3/19/15 5:25:15 AM,C,10.601
3/19/15 6:31:55 AM,C,9.598
3/19/15 7:38:35 AM,C,8.093
3/19/15 8:45:15 AM,C,7.09
3/19/15 9:51:55 AM,C,10.1
3/19/15 10:58:35 AM,C,12.105
3/19/15 12:05:15 PM,C,14.109
3/19/15 1:11:55 PM,C,14.61
3/19/15 2:18:35 PM,C,17.115
3/19/15 3:25:15 PM,C,17.115
3/19/15 4:31:55 PM,C,16.113
3/19/15 5:38:35 PM,C,16.614
3/19/15 6:45:15 PM,C,13.608
3/19/15 7:51:55 PM,C,11.604
3/19/15 8:58:35 PM,C,8.595
3/19/15 10:05:15 PM,C,7.09
3/19/15 11:11:55 PM,C,6.588
3/20/15 12:18:35 AM,C,6.087
3/20/15 1:25:15 AM,C,6.588
3/20/15 2:31:55 AM,C,7.09
3/20/15 3:38:35 AM,C,8.093
3/20/15 4:45:15 AM,C,8.093
3/20/15 5:51:55 AM,C,7.592
3/20/15 6:58:35 AM,C,7.592
3/20/15 8:05:15 AM,C,7.592
3/20/15 9:11:55 AM,C,6.588
3/20/15 10:18:35 AM,C,7.09
3/20/15 11:25:15 AM,C,8.093
3/20/15 12:31:55 PM,C,9.097
3/20/15 1:38:35 PM,C,10.1
3/20/15 2:45:15 PM,C,10.1
3/20/15 3:51:55 PM,C,10.601
3/20/15 4:58:35 PM,C,10.601
3/20/15 6:05:15 PM,C,10.601
3/20/15 7:11:55 PM,C,9.097
3/20/15 8:18:35 PM,C,8.093
3/20/15 9:25:15 PM,C,8.093
3/20/15 10:31:55 PM,C,7.592
3/20/15 11:38:35 PM,C,7.592
3/21/15 12:45:15 AM,C,7.592
3/21/15 1:51:55 AM,C,7.592
3/21/15 2:58:35 AM,C,7.592
3/21/15 4:05:15 AM,C,6.588
3/21/15 5:11:55 AM,C,6.588
3/21/15 6:18:35 AM,C,7.09
3/21/15 7:25:15 AM,C,6.588
3/21/15 8:31:55 AM,C,7.09
3/21/15 9:38:35 AM,C,7.592
3/21/15 10:45:15 AM,C,8.093
3/21/15 11:51:55 AM,C,8.093
3/21/15 12:58:35 PM,C,9.598
3/21/15 2:05:15 PM,C,9.598
3/21/15 3:11:55 PM,C,8.093
3/21/15 4:18:35 PM,C,8.595
3/21/15 5:25:15 PM,C,8.093
3/21/15 6:31:55 PM,C,6.588
3/21/15 7:38:35 PM,C,6.588
3/21/15 8:45:15 PM,C,6.087
3/21/15 9:51:55 PM,C,5.585
3/21/15 10:58:35 PM,C,5.585
3/22/15 12:05:15 AM,C,5.585
3/22/15 1:11:55 AM,C,3.075
3/22/15 2:18:35 AM,C,2.071
3/22/15 3:25:15 AM,C,5.083
3/22/15 4:31:55 AM,C,6.087
3/22/15 5:38:35 AM,C,6.087
3/22/15 6:45:15 AM,C,5.083
3/22/15 7:51:55 AM,C,3.075
3/22/15 8:58:35 AM,C,8.093
3/22/15 10:05:15 AM,C,9.598
3/22/15 11:11:55 AM,C,12.105
3/22/15 12:18:35 PM,C,17.115
3/22/15 1:25:15 PM,C,18.116
3/22/15 2:31:55 PM,C,21.62
3/22/15 3:38:35 PM,C,18.116
3/22/15 4:45:15 PM,C,20.119
3/22/15 5:51:55 PM,C,18.116
3/22/15 6:58:35 PM,C,17.616
3/22/15 8:05:15 PM,C,14.61
3/22/15 9:11:55 PM,C,10.1
3/22/15 10:18:35 PM,C,7.592
3/22/15 11:25:15 PM,C,7.592
3/23/15 12:31:55 AM,C,6.588
3/23/15 1:38:35 AM,C,6.087
3/23/15 2:45:15 AM,C,6.087
3/23/15 3:51:55 AM,C,4.581
3/23/15 4:58:35 AM,C,5.585
3/23/15 6:05:15 AM,C,5.083
3/23/15 7:11:55 AM,C,4.079
3/23/15 8:18:35 AM,C,4.079
3/23/15 9:25:15 AM,C,8.093
3/23/15 10:31:55 AM,C,15.612
3/23/15 11:38:35 AM,C,17.616
3/23/15 12:45:15 PM,C,21.62
3/23/15 1:51:55 PM,C,24.621
3/23/15 2:58:35 PM,C,23.121
3/23/15 4:05:15 PM,C,21.62
3/23/15 5:11:55 PM,C,25.121
3/23/15 6:18:35 PM,C,20.619
3/23/15 7:25:15 PM,C,20.619
3/23/15 8:31:55 PM,C,12.606
3/23/15 9:38:35 PM,C,9.097
3/23/15 10:45:15 PM,C,7.09
3/23/15 11:51:55 PM,C,7.592
3/24/15 12:58:35 AM,C,13.608
3/24/15 2:05:15 AM,C,15.111
3/24/15 3:11:55 AM,C,14.109
3/24/15 4:18:35 AM,C,15.111
3/24/15 5:25:15 AM,C,14.109
3/24/15 6:31:55 AM,C,13.608
3/24/15 7:38:35 AM,C,8.093
3/24/15 8:45:15 AM,C,7.09
3/24/15 9:51:55 AM,C,14.61
3/24/15 10:58:35 AM,C,17.115
3/24/15 12:05:15 PM,C,20.619
3/24/15 1:11:55 PM,C,22.62
3/24/15 2:18:35 PM,C,26.621
3/24/15 3:25:15 PM,C,22.62
3/24/15 4:31:55 PM,C,24.621
3/24/15 5:38:35 PM,C,24.121
3/24/15 6:45:15 PM,C,20.619
3/24/15 7:51:55 PM,C,17.616
3/24/15 8:58:35 PM,C,10.1
3/24/15 10:05:15 PM,C,8.093
3/24/15 11:11:55 PM,C,6.087
3/25/15 12:18:35 AM,C,5.083
3/25/15 1:25:15 AM,C,6.588
3/25/15 2:31:55 AM,C,5.585
3/25/15 3:38:35 AM,C,5.083
3/25/15 4:45:15 AM,C,6.087
3/25/15 5:51:55 AM,C,5.585
3/25/15 6:58:35 AM,C,10.1
3/25/15 8:05:15 AM,C,11.102
3/25/15 9:11:55 AM,C,13.107
3/25/15 10:18:35 AM,C,15.111
3/25/15 11:25:15 AM,C,17.115
3/25/15 12:31:55 PM,C,20.619
3/25/15 1:38:35 PM,C,23.621
3/25/15 2:45:15 PM,C,21.62
3/25/15 3:51:55 PM,C,21.62
3/25/15 4:58:35 PM,C,24.121
3/25/15 6:05:15 PM,C,21.12
