1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: CC00000013110141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 04 19:01:01 CDT 2014
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Apr 04 19:01:01 CDT 2014
Total Mission Samples:  8192
Total Device Samples:  86063
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/4/14 7:01:01 PM,C,17.092
4/4/14 8:01:01 PM,C,14.085
4/4/14 9:01:01 PM,C,12.079
4/4/14 10:01:01 PM,C,11.578
4/4/14 11:01:01 PM,C,10.574
4/5/14 12:01:01 AM,C,9.571
4/5/14 1:01:01 AM,C,11.076
4/5/14 2:01:01 AM,C,13.082
4/5/14 3:01:01 AM,C,12.581
4/5/14 4:01:01 AM,C,11.578
4/5/14 5:01:01 AM,C,12.079
4/5/14 6:01:01 AM,C,12.581
4/5/14 7:01:01 AM,C,12.079
4/5/14 8:01:01 AM,C,9.069
4/5/14 9:01:01 AM,C,13.082
4/5/14 10:01:01 AM,C,14.085
4/5/14 11:01:01 AM,C,17.092
4/5/14 12:01:01 PM,C,20.097
4/5/14 1:01:01 PM,C,21.098
4/5/14 2:01:01 PM,C,21.098
4/5/14 3:01:01 PM,C,21.098
4/5/14 4:01:01 PM,C,22.599
4/5/14 5:01:01 PM,C,21.598
4/5/14 6:01:01 PM,C,21.098
4/5/14 7:01:01 PM,C,18.094
4/5/14 8:01:01 PM,C,17.092
4/5/14 9:01:01 PM,C,14.586
4/5/14 10:01:01 PM,C,11.578
4/5/14 11:01:01 PM,C,8.065
4/6/14 12:01:01 AM,C,7.563
4/6/14 1:01:01 AM,C,4.047
4/6/14 2:01:01 AM,C,2.036
4/6/14 3:01:01 AM,C,4.549
4/6/14 4:01:01 AM,C,6.056
4/6/14 5:01:01 AM,C,4.047
4/6/14 6:01:01 AM,C,5.051
4/6/14 7:01:01 AM,C,7.563
4/6/14 8:01:01 AM,C,4.047
4/6/14 9:01:01 AM,C,15.088
4/6/14 10:01:01 AM,C,14.085
4/6/14 11:01:01 AM,C,16.591
4/6/14 12:01:01 PM,C,17.593
4/6/14 1:01:01 PM,C,17.593
4/6/14 2:01:01 PM,C,17.593
4/6/14 3:01:01 PM,C,19.095
4/6/14 4:01:01 PM,C,13.584
4/6/14 5:01:01 PM,C,14.085
4/6/14 6:01:01 PM,C,15.088
4/6/14 7:01:01 PM,C,15.088
4/6/14 8:01:01 PM,C,13.082
4/6/14 9:01:01 PM,C,11.578
4/6/14 10:01:01 PM,C,11.578
4/6/14 11:01:01 PM,C,10.073
4/7/14 12:01:01 AM,C,10.574
4/7/14 1:01:01 AM,C,10.574
4/7/14 2:01:01 AM,C,10.574
4/7/14 3:01:01 AM,C,11.076
4/7/14 4:01:01 AM,C,9.571
4/7/14 5:01:01 AM,C,9.571
4/7/14 6:01:01 AM,C,7.563
4/7/14 7:01:01 AM,C,3.544
4/7/14 8:01:01 AM,C,6.558
4/7/14 9:01:01 AM,C,15.589
4/7/14 10:01:01 AM,C,18.594
4/7/14 11:01:01 AM,C,15.589
4/7/14 12:01:01 PM,C,16.09
4/7/14 1:01:01 PM,C,17.092
4/7/14 2:01:01 PM,C,16.591
4/7/14 3:01:01 PM,C,12.079
4/7/14 4:01:01 PM,C,16.591
4/7/14 5:01:01 PM,C,14.586
4/7/14 6:01:01 PM,C,16.591
4/7/14 7:01:01 PM,C,14.586
4/7/14 8:01:01 PM,C,11.578
4/7/14 9:01:01 PM,C,8.065
4/7/14 10:01:01 PM,C,3.544
4/7/14 11:01:01 PM,C,1.533
4/8/14 12:01:01 AM,C,-0.479
4/8/14 1:01:01 AM,C,-1.988
4/8/14 2:01:01 AM,C,-2.491
4/8/14 3:01:01 AM,C,-3.498
4/8/14 4:01:01 AM,C,-4.001
4/8/14 5:01:01 AM,C,-4.505
4/8/14 6:01:01 AM,C,-5.009
4/8/14 7:01:01 AM,C,-5.009
4/8/14 8:01:01 AM,C,-5.009
4/8/14 9:01:01 AM,C,9.571
4/8/14 10:01:01 AM,C,19.095
4/8/14 11:01:01 AM,C,18.094
4/8/14 12:01:01 PM,C,20.097
4/8/14 1:01:01 PM,C,21.598
4/8/14 2:01:01 PM,C,21.098
4/8/14 3:01:01 PM,C,22.599
4/8/14 4:01:01 PM,C,24.6
4/8/14 5:01:01 PM,C,23.099
4/8/14 6:01:01 PM,C,23.599
4/8/14 7:01:01 PM,C,21.098
4/8/14 8:01:01 PM,C,17.092
4/8/14 9:01:01 PM,C,8.567
4/8/14 10:01:01 PM,C,6.558
4/8/14 11:01:01 PM,C,3.544
4/9/14 12:01:01 AM,C,1.03
4/9/14 1:01:01 AM,C,0.527
4/9/14 2:01:01 AM,C,-0.479
4/9/14 3:01:01 AM,C,-1.485
4/9/14 4:01:01 AM,C,-1.485
4/9/14 5:01:01 AM,C,-1.988
4/9/14 6:01:01 AM,C,-2.491
4/9/14 7:01:01 AM,C,-2.491
4/9/14 8:01:01 AM,C,-1.988
4/9/14 9:01:01 AM,C,14.586
4/9/14 10:01:01 AM,C,28.598
