1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: A900000013C50E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 4000 second(s)
Mission Start Time:  Sun Apr 19 09:12:48 CDT 2015
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Apr 19 09:12:48 CDT 2015
Total Mission Samples:  8192
Total Device Samples:  93501
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/19/15 9:12:48 AM,C,19.191
4/19/15 10:19:28 AM,C,18.189
4/19/15 11:26:08 AM,C,19.191
4/19/15 12:32:48 PM,C,22.194
4/19/15 1:39:28 PM,C,26.695
4/19/15 2:46:08 PM,C,24.195
4/19/15 3:52:48 PM,C,23.695
4/19/15 4:59:28 PM,C,27.695
4/19/15 6:06:08 PM,C,18.69
4/19/15 7:12:48 PM,C,18.69
4/19/15 8:19:28 PM,C,14.681
4/19/15 9:26:08 PM,C,10.166
4/19/15 10:32:48 PM,C,8.158
4/19/15 11:39:28 PM,C,6.651
4/20/15 12:46:08 AM,C,7.154
4/20/15 1:52:48 AM,C,8.66
4/20/15 2:59:28 AM,C,3.636
4/20/15 4:06:08 AM,C,3.133
4/20/15 5:12:48 AM,C,3.636
4/20/15 6:19:28 AM,C,2.63
4/20/15 7:26:08 AM,C,2.63
4/20/15 8:32:48 AM,C,7.154
4/20/15 9:39:28 AM,C,12.174
4/20/15 10:46:08 AM,C,16.686
4/20/15 11:52:48 AM,C,21.193
4/20/15 12:59:28 PM,C,22.694
4/20/15 2:06:08 PM,C,25.695
4/20/15 3:12:48 PM,C,24.695
4/20/15 4:19:28 PM,C,25.695
4/20/15 5:26:08 PM,C,24.195
4/20/15 6:32:48 PM,C,22.694
4/20/15 7:39:28 PM,C,19.191
4/20/15 8:46:08 PM,C,13.678
4/20/15 9:52:48 PM,C,10.166
4/20/15 10:59:28 PM,C,7.656
4/21/15 12:06:08 AM,C,6.651
4/21/15 1:12:48 AM,C,5.144
4/21/15 2:19:28 AM,C,3.636
4/21/15 3:26:08 AM,C,2.128
4/21/15 4:32:48 AM,C,4.139
4/21/15 5:39:28 AM,C,3.636
4/21/15 6:46:08 AM,C,2.63
4/21/15 7:52:48 AM,C,5.144
4/21/15 8:59:28 AM,C,16.185
4/21/15 10:06:08 AM,C,19.691
4/21/15 11:12:48 AM,C,21.694
4/21/15 12:19:28 PM,C,25.195
4/21/15 1:26:08 PM,C,22.694
4/21/15 2:32:48 PM,C,24.695
4/21/15 3:39:28 PM,C,23.195
4/21/15 4:46:08 PM,C,31.191
4/21/15 5:52:48 PM,C,24.195
4/21/15 6:59:28 PM,C,24.695
4/21/15 8:06:08 PM,C,19.191
4/21/15 9:12:48 PM,C,12.675
4/21/15 10:19:28 PM,C,11.672
4/21/15 11:26:08 PM,C,8.66
4/22/15 12:32:48 AM,C,5.647
4/22/15 1:39:28 AM,C,5.647
4/22/15 2:46:08 AM,C,5.144
4/22/15 3:52:48 AM,C,9.162
4/22/15 4:59:28 AM,C,9.162
4/22/15 6:06:08 AM,C,7.154
4/22/15 7:12:48 AM,C,7.656
4/22/15 8:19:28 AM,C,14.681
4/22/15 9:26:08 AM,C,18.69
4/22/15 10:32:48 AM,C,19.191
4/22/15 11:39:28 AM,C,21.694
4/22/15 12:46:08 PM,C,23.695
4/22/15 1:52:48 PM,C,24.695
4/22/15 2:59:28 PM,C,24.695
4/22/15 4:06:08 PM,C,25.195
4/22/15 5:12:48 PM,C,23.195
4/22/15 6:19:28 PM,C,22.694
4/22/15 7:26:08 PM,C,20.693
4/22/15 8:32:48 PM,C,16.185
4/22/15 9:39:28 PM,C,11.17
4/22/15 10:46:08 PM,C,9.664
4/22/15 11:52:48 PM,C,8.158
4/23/15 12:59:28 AM,C,7.656
4/23/15 2:06:08 AM,C,8.158
4/23/15 3:12:48 AM,C,8.158
4/23/15 4:19:28 AM,C,8.158
4/23/15 5:26:08 AM,C,10.166
4/23/15 6:32:48 AM,C,12.174
4/23/15 7:39:28 AM,C,10.668
4/23/15 8:46:08 AM,C,12.675
4/23/15 9:52:48 AM,C,17.187
4/23/15 10:59:28 AM,C,18.189
4/23/15 12:06:08 PM,C,17.187
4/23/15 1:12:48 PM,C,17.187
4/23/15 2:19:28 PM,C,16.185
4/23/15 3:26:08 PM,C,11.672
4/23/15 4:32:48 PM,C,11.672
4/23/15 5:39:28 PM,C,10.668
4/23/15 6:46:08 PM,C,11.17
4/23/15 7:52:48 PM,C,10.166
4/23/15 8:59:28 PM,C,9.162
4/23/15 10:06:08 PM,C,9.162
4/23/15 11:12:48 PM,C,9.664
4/24/15 12:19:28 AM,C,10.668
4/24/15 1:26:08 AM,C,12.174
4/24/15 2:32:48 AM,C,13.177
4/24/15 3:39:28 AM,C,13.177
4/24/15 4:46:08 AM,C,11.17
4/24/15 5:52:48 AM,C,12.174
4/24/15 6:59:28 AM,C,11.672
4/24/15 8:06:08 AM,C,11.672
4/24/15 9:12:48 AM,C,13.177
4/24/15 10:19:28 AM,C,16.185
4/24/15 11:26:08 AM,C,17.688
4/24/15 12:32:48 PM,C,16.686
4/24/15 1:39:28 PM,C,21.193
4/24/15 2:46:08 PM,C,22.194
4/24/15 3:52:48 PM,C,22.694
4/24/15 4:59:28 PM,C,24.195
4/24/15 6:06:08 PM,C,22.194
4/24/15 7:12:48 PM,C,19.691
4/24/15 8:19:28 PM,C,16.686
4/24/15 9:26:08 PM,C,14.681
4/24/15 10:32:48 PM,C,14.18
4/24/15 11:39:28 PM,C,12.675
4/25/15 12:46:08 AM,C,12.174
4/25/15 1:52:48 AM,C,11.17
4/25/15 2:59:28 AM,C,10.668
4/25/15 4:06:08 AM,C,11.17
4/25/15 5:12:48 AM,C,11.17
4/25/15 6:19:28 AM,C,9.664
4/25/15 7:26:08 AM,C,10.166
4/25/15 8:32:48 AM,C,12.675
4/25/15 9:39:28 AM,C,15.684
4/25/15 10:46:08 AM,C,16.686
4/25/15 11:52:48 AM,C,18.69
4/25/15 12:59:28 PM,C,21.694
4/25/15 2:06:08 PM,C,23.195
4/25/15 3:12:48 PM,C,23.195
4/25/15 4:19:28 PM,C,26.195
4/25/15 5:26:08 PM,C,23.195
4/25/15 6:32:48 PM,C,23.195
4/25/15 7:39:28 PM,C,20.192
4/25/15 8:46:08 PM,C,16.185
4/25/15 9:52:48 PM,C,10.668
4/25/15 10:59:28 PM,C,8.158
4/26/15 12:06:08 AM,C,6.149
4/26/15 1:12:48 AM,C,4.641
4/26/15 2:19:28 AM,C,5.647
4/26/15 3:26:08 AM,C,7.656
4/26/15 4:32:48 AM,C,6.651
4/26/15 5:39:28 AM,C,13.177
4/26/15 6:46:08 AM,C,8.158
4/26/15 7:52:48 AM,C,6.149
4/26/15 8:59:28 AM,C,17.187
4/26/15 10:06:08 AM,C,18.69
4/26/15 11:12:48 AM,C,20.693
4/26/15 12:19:28 PM,C,22.194
4/26/15 1:26:08 PM,C,23.695
4/26/15 2:32:48 PM,C,26.195
4/26/15 3:39:28 PM,C,23.695
4/26/15 4:46:08 PM,C,19.691
4/26/15 5:52:48 PM,C,17.688
4/26/15 6:59:28 PM,C,15.684
4/26/15 8:06:08 PM,C,12.174
4/26/15 9:12:48 PM,C,11.17
4/26/15 10:19:28 PM,C,10.166
4/26/15 11:26:08 PM,C,10.166
4/27/15 12:32:48 AM,C,10.166
4/27/15 1:39:28 AM,C,9.664
4/27/15 2:46:08 AM,C,8.66
4/27/15 3:52:48 AM,C,8.158
4/27/15 4:59:28 AM,C,7.656
4/27/15 6:06:08 AM,C,7.154
4/27/15 7:12:48 AM,C,6.651
4/27/15 8:19:28 AM,C,8.66
4/27/15 9:26:08 AM,C,12.174
4/27/15 10:32:48 AM,C,12.675
4/27/15 11:39:28 AM,C,15.182
4/27/15 12:46:08 PM,C,14.18
4/27/15 1:52:48 PM,C,16.686
4/27/15 2:59:28 PM,C,16.686
4/27/15 4:06:08 PM,C,14.681
4/27/15 5:12:48 PM,C,14.18
4/27/15 6:19:28 PM,C,11.672
4/27/15 7:26:08 PM,C,10.166
4/27/15 8:32:48 PM,C,6.651
4/27/15 9:39:28 PM,C,5.144
4/27/15 10:46:08 PM,C,4.139
4/27/15 11:52:48 PM,C,3.133
4/28/15 12:59:28 AM,C,2.63
4/28/15 2:06:08 AM,C,2.128
4/28/15 3:12:48 AM,C,1.625
4/28/15 4:19:28 AM,C,1.625
4/28/15 5:26:08 AM,C,1.625
4/28/15 6:32:48 AM,C,1.625
4/28/15 7:39:28 AM,C,1.122
4/28/15 8:46:08 AM,C,1.625
4/28/15 9:52:48 AM,C,2.128
4/28/15 10:59:28 AM,C,3.636
4/28/15 12:06:08 PM,C,5.144
4/28/15 1:12:48 PM,C,7.154
4/28/15 2:19:28 PM,C,9.162
4/28/15 3:26:08 PM,C,11.672
4/28/15 4:32:48 PM,C,15.182
4/28/15 5:39:28 PM,C,14.681
4/28/15 6:46:08 PM,C,13.177
4/28/15 7:52:48 PM,C,9.664
4/28/15 8:59:28 PM,C,7.656
4/28/15 10:06:08 PM,C,3.636
4/28/15 11:12:48 PM,C,1.625
4/29/15 12:19:28 AM,C,-0.388
4/29/15 1:26:08 AM,C,-0.891
4/29/15 2:32:48 AM,C,-1.898
4/29/15 3:39:28 AM,C,-1.898
4/29/15 4:46:08 AM,C,-2.401
4/29/15 5:52:48 AM,C,-2.905
4/29/15 6:59:28 AM,C,-2.905
4/29/15 8:06:08 AM,C,-0.891
4/29/15 9:12:48 AM,C,9.664
4/29/15 10:19:28 AM,C,12.174
4/29/15 11:26:08 AM,C,15.182
4/29/15 12:32:48 PM,C,18.69
4/29/15 1:39:28 PM,C,20.693
4/29/15 2:46:08 PM,C,23.195
4/29/15 3:52:48 PM,C,23.195
4/29/15 4:59:28 PM,C,23.195
4/29/15 6:06:08 PM,C,21.694
4/29/15 7:12:48 PM,C,18.189
4/29/15 8:19:28 PM,C,13.678
4/29/15 9:26:08 PM,C,8.158
4/29/15 10:32:48 PM,C,5.647
4/29/15 11:39:28 PM,C,2.63
4/30/15 12:46:08 AM,C,1.122
4/30/15 1:52:48 AM,C,0.115
4/30/15 2:59:28 AM,C,-1.394
4/30/15 4:06:08 AM,C,-1.394
4/30/15 5:12:48 AM,C,-2.401
4/30/15 6:19:28 AM,C,-2.905
4/30/15 7:26:08 AM,C,-2.401
4/30/15 8:32:48 AM,C,4.139
4/30/15 9:39:28 AM,C,16.686
4/30/15 10:46:08 AM,C,18.69
4/30/15 11:52:48 AM,C,21.193
4/30/15 12:59:28 PM,C,24.195
4/30/15 2:06:08 PM,C,27.195
4/30/15 3:12:48 PM,C,25.695
4/30/15 4:19:28 PM,C,30.192
4/30/15 5:26:08 PM,C,26.695
4/30/15 6:32:48 PM,C,25.195
4/30/15 7:39:28 PM,C,22.194
4/30/15 8:46:08 PM,C,14.681
4/30/15 9:52:48 PM,C,10.668
4/30/15 10:59:28 PM,C,7.656
5/1/15 12:06:08 AM,C,5.647
5/1/15 1:12:48 AM,C,4.139
5/1/15 2:19:28 AM,C,3.636
5/1/15 3:26:08 AM,C,3.133
5/1/15 4:32:48 AM,C,3.133
5/1/15 5:39:28 AM,C,2.128
5/1/15 6:46:08 AM,C,3.636
5/1/15 7:52:48 AM,C,4.641
5/1/15 8:59:28 AM,C,14.681
5/1/15 10:06:08 AM,C,22.194
5/1/15 11:12:48 AM,C,24.195
5/1/15 12:19:28 PM,C,26.695
5/1/15 1:26:08 PM,C,24.695
5/1/15 2:32:48 PM,C,24.695
5/1/15 3:39:28 PM,C,25.695
5/1/15 4:46:08 PM,C,26.695
5/1/15 5:52:48 PM,C,24.695
5/1/15 6:59:28 PM,C,26.195
5/1/15 8:06:08 PM,C,18.69
5/1/15 9:12:48 PM,C,13.177
5/1/15 10:19:28 PM,C,15.182
