1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 950000002D9BF141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 4000 second(s)
Mission Start Time:  Sat Apr 18 17:53:26 CDT 2015
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Apr 18 17:53:26 CDT 2015
Total Mission Samples:  8192
Total Device Samples:  8800
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/18/15 5:53:26 PM,C,23.21
4/18/15 7:00:06 PM,C,18.202
4/18/15 8:06:46 PM,C,15.695
4/18/15 9:13:26 PM,C,13.687
4/18/15 10:20:06 PM,C,12.181
4/18/15 11:26:46 PM,C,13.185
4/19/15 12:33:26 AM,C,12.683
4/19/15 1:40:06 AM,C,12.181
4/19/15 2:46:46 AM,C,12.181
4/19/15 3:53:26 AM,C,12.181
4/19/15 5:00:06 AM,C,11.679
4/19/15 6:06:46 AM,C,10.674
4/19/15 7:13:26 AM,C,9.669
4/19/15 8:20:06 AM,C,10.172
4/19/15 9:26:46 AM,C,11.679
4/19/15 10:33:26 AM,C,18.202
4/19/15 11:40:06 AM,C,22.71
4/19/15 12:46:46 PM,C,20.707
4/19/15 1:53:26 PM,C,21.208
4/19/15 3:00:06 PM,C,20.707
4/19/15 4:06:46 PM,C,20.707
4/19/15 5:13:26 PM,C,22.71
4/19/15 6:20:06 PM,C,21.208
4/19/15 7:26:46 PM,C,18.703
4/19/15 8:33:26 PM,C,13.687
4/19/15 9:40:06 PM,C,11.679
4/19/15 10:46:46 PM,C,10.674
4/19/15 11:53:26 PM,C,10.674
4/20/15 1:00:06 AM,C,9.669
4/20/15 2:06:46 AM,C,9.166
4/20/15 3:13:26 AM,C,9.669
4/20/15 4:20:06 AM,C,10.172
4/20/15 5:26:46 AM,C,10.172
4/20/15 6:33:26 AM,C,10.172
4/20/15 7:40:06 AM,C,10.172
4/20/15 8:46:46 AM,C,10.172
4/20/15 9:53:26 AM,C,13.687
4/20/15 11:00:06 AM,C,17.199
4/20/15 12:06:46 PM,C,23.21
4/20/15 1:13:26 PM,C,21.208
4/20/15 2:20:06 PM,C,20.707
4/20/15 3:26:46 PM,C,20.707
4/20/15 4:33:26 PM,C,21.208
4/20/15 5:40:06 PM,C,19.705
4/20/15 6:46:46 PM,C,20.206
4/20/15 7:53:26 PM,C,17.701
4/20/15 9:00:06 PM,C,13.687
4/20/15 10:06:46 PM,C,13.687
4/20/15 11:13:26 PM,C,14.189
4/21/15 12:20:06 AM,C,14.189
4/21/15 1:26:46 AM,C,15.193
4/21/15 2:33:26 AM,C,15.695
4/21/15 3:40:06 AM,C,15.695
4/21/15 4:46:46 AM,C,15.695
4/21/15 5:53:26 AM,C,15.695
4/21/15 7:00:06 AM,C,13.687
4/21/15 8:06:46 AM,C,12.683
4/21/15 9:13:26 AM,C,13.687
4/21/15 10:20:06 AM,C,17.199
4/21/15 11:26:46 AM,C,24.711
4/21/15 12:33:26 PM,C,19.204
4/21/15 1:40:06 PM,C,22.209
4/21/15 2:46:46 PM,C,24.211
4/21/15 3:53:26 PM,C,23.21
4/21/15 5:00:06 PM,C,23.71
4/21/15 6:06:46 PM,C,24.211
4/21/15 7:13:26 PM,C,22.209
4/21/15 8:20:06 PM,C,19.204
4/21/15 9:26:46 PM,C,16.698
4/21/15 10:33:26 PM,C,16.196
4/21/15 11:40:06 PM,C,15.695
4/22/15 12:46:46 AM,C,16.196
4/22/15 1:53:26 AM,C,16.196
4/22/15 3:00:06 AM,C,15.193
4/22/15 4:06:46 AM,C,16.698
4/22/15 5:13:26 AM,C,14.189
4/22/15 6:20:06 AM,C,12.683
4/22/15 7:26:46 AM,C,12.181
4/22/15 8:33:26 AM,C,13.185
4/22/15 9:40:06 AM,C,15.193
4/22/15 10:46:46 AM,C,19.705
4/22/15 11:53:26 AM,C,21.709
4/22/15 1:00:06 PM,C,20.206
4/22/15 2:06:46 PM,C,21.208
4/22/15 3:13:26 PM,C,20.707
4/22/15 4:20:06 PM,C,21.208
4/22/15 5:26:46 PM,C,20.206
4/22/15 6:33:26 PM,C,19.705
4/22/15 7:40:06 PM,C,18.703
4/22/15 8:46:46 PM,C,17.199
4/22/15 9:53:26 PM,C,16.698
4/22/15 11:00:06 PM,C,16.196
4/23/15 12:06:46 AM,C,16.196
4/23/15 1:13:26 AM,C,16.698
4/23/15 2:20:06 AM,C,17.199
4/23/15 3:26:46 AM,C,17.701
4/23/15 4:33:26 AM,C,17.199
4/23/15 5:40:06 AM,C,15.193
4/23/15 6:46:46 AM,C,14.189
4/23/15 7:53:26 AM,C,13.687
4/23/15 9:00:06 AM,C,15.193
4/23/15 10:06:46 AM,C,15.193
4/23/15 11:13:26 AM,C,15.193
4/23/15 12:20:06 PM,C,14.189
4/23/15 1:26:46 PM,C,14.691
4/23/15 2:33:26 PM,C,13.687
4/23/15 3:40:06 PM,C,10.674
4/23/15 4:46:46 PM,C,11.176
4/23/15 5:53:26 PM,C,10.172
4/23/15 7:00:06 PM,C,11.679
4/23/15 8:06:46 PM,C,9.166
4/23/15 9:13:26 PM,C,8.663
4/23/15 10:20:06 PM,C,8.663
4/23/15 11:26:46 PM,C,10.674
4/24/15 12:33:26 AM,C,11.679
4/24/15 1:40:06 AM,C,13.687
4/24/15 2:46:46 AM,C,12.683
4/24/15 3:53:26 AM,C,11.679
4/24/15 5:00:06 AM,C,11.176
4/24/15 6:06:46 AM,C,12.181
4/24/15 7:13:26 AM,C,11.679
4/24/15 8:20:06 AM,C,12.181
4/24/15 9:26:46 AM,C,13.185
4/24/15 10:33:26 AM,C,14.189
4/24/15 11:40:06 AM,C,13.687
4/24/15 12:46:46 PM,C,14.189
4/24/15 1:53:26 PM,C,15.695
4/24/15 3:00:06 PM,C,16.196
4/24/15 4:06:46 PM,C,18.703
4/24/15 5:13:26 PM,C,17.701
4/24/15 6:20:06 PM,C,19.705
4/24/15 7:26:46 PM,C,19.204
4/24/15 8:33:26 PM,C,15.193
4/24/15 9:40:06 PM,C,13.185
4/24/15 10:46:46 PM,C,12.181
4/24/15 11:53:26 PM,C,10.674
4/25/15 1:00:06 AM,C,10.172
4/25/15 2:06:46 AM,C,9.669
4/25/15 3:13:26 AM,C,10.172
4/25/15 4:20:06 AM,C,9.669
4/25/15 5:26:46 AM,C,8.663
4/25/15 6:33:26 AM,C,8.663
4/25/15 7:40:06 AM,C,9.166
4/25/15 8:46:46 AM,C,10.674
4/25/15 9:53:26 AM,C,12.683
4/25/15 11:00:06 AM,C,17.199
4/25/15 12:06:46 PM,C,18.202
4/25/15 1:13:26 PM,C,17.199
4/25/15 2:20:06 PM,C,19.204
4/25/15 3:26:46 PM,C,19.204
4/25/15 4:33:26 PM,C,20.707
4/25/15 5:40:06 PM,C,20.707
4/25/15 6:46:46 PM,C,20.206
4/25/15 7:53:26 PM,C,19.204
4/25/15 9:00:06 PM,C,16.698
4/25/15 10:06:46 PM,C,15.695
4/25/15 11:13:26 PM,C,16.196
4/26/15 12:20:06 AM,C,16.196
4/26/15 1:26:46 AM,C,16.698
4/26/15 2:33:26 AM,C,14.189
4/26/15 3:40:06 AM,C,12.683
4/26/15 4:46:46 AM,C,13.185
4/26/15 5:53:26 AM,C,12.181
4/26/15 7:00:06 AM,C,13.185
4/26/15 8:06:46 AM,C,13.687
4/26/15 9:13:26 AM,C,14.691
4/26/15 10:20:06 AM,C,15.695
4/26/15 11:26:46 AM,C,21.208
4/26/15 12:33:26 PM,C,20.707
4/26/15 1:40:06 PM,C,19.204
4/26/15 2:46:46 PM,C,19.204
4/26/15 3:53:26 PM,C,19.204
4/26/15 5:00:06 PM,C,16.698
4/26/15 6:06:46 PM,C,15.695
4/26/15 7:13:26 PM,C,14.691
4/26/15 8:20:06 PM,C,10.674
4/26/15 9:26:46 PM,C,9.669
4/26/15 10:33:26 PM,C,9.166
4/26/15 11:40:06 PM,C,9.166
4/27/15 12:46:46 AM,C,8.663
4/27/15 1:53:26 AM,C,8.161
4/27/15 3:00:06 AM,C,7.155
4/27/15 4:06:46 AM,C,6.651
4/27/15 5:13:26 AM,C,6.148
4/27/15 6:20:06 AM,C,6.148
4/27/15 7:26:46 AM,C,5.142
4/27/15 8:33:26 AM,C,6.148
4/27/15 9:40:06 AM,C,8.161
4/27/15 10:46:46 AM,C,12.683
4/27/15 11:53:26 AM,C,15.695
4/27/15 1:00:06 PM,C,14.691
4/27/15 2:06:46 PM,C,16.698
4/27/15 3:13:26 PM,C,13.687
4/27/15 4:20:06 PM,C,13.687
4/27/15 5:26:46 PM,C,10.674
4/27/15 6:33:26 PM,C,10.172
4/27/15 7:40:06 PM,C,8.161
4/27/15 8:46:46 PM,C,5.645
4/27/15 9:53:26 PM,C,3.631
4/27/15 11:00:06 PM,C,2.624
4/28/15 12:06:46 AM,C,1.616
4/28/15 1:13:26 AM,C,1.616
4/28/15 2:20:06 AM,C,1.112
4/28/15 3:26:46 AM,C,0.103
4/28/15 4:33:26 AM,C,0.103
4/28/15 5:40:06 AM,C,0.608
4/28/15 6:46:46 AM,C,0.608
4/28/15 7:53:26 AM,C,0.608
4/28/15 9:00:06 AM,C,1.112
4/28/15 10:06:46 AM,C,1.616
4/28/15 11:13:26 AM,C,2.624
4/28/15 12:20:06 PM,C,3.631
4/28/15 1:26:46 PM,C,6.148
4/28/15 2:33:26 PM,C,7.155
4/28/15 3:40:06 PM,C,11.176
4/28/15 4:46:46 PM,C,13.687
4/28/15 5:53:26 PM,C,13.185
4/28/15 7:00:06 PM,C,13.185
4/28/15 8:06:46 PM,C,10.172
4/28/15 9:13:26 PM,C,6.651
4/28/15 10:20:06 PM,C,4.135
4/28/15 11:26:46 PM,C,3.631
4/29/15 12:33:26 AM,C,3.631
4/29/15 1:40:06 AM,C,3.127
4/29/15 2:46:46 AM,C,2.12
4/29/15 3:53:26 AM,C,2.12
4/29/15 5:00:06 AM,C,1.616
4/29/15 6:06:46 AM,C,2.12
4/29/15 7:13:26 AM,C,2.624
4/29/15 8:20:06 AM,C,3.127
4/29/15 9:26:46 AM,C,6.148
4/29/15 10:33:26 AM,C,10.674
4/29/15 11:40:06 AM,C,18.703
4/29/15 12:46:46 PM,C,20.707
4/29/15 1:53:26 PM,C,17.199
4/29/15 3:00:06 PM,C,19.204
4/29/15 4:06:46 PM,C,18.703
4/29/15 5:13:26 PM,C,19.705
4/29/15 6:20:06 PM,C,19.705
4/29/15 7:26:46 PM,C,18.703
4/29/15 8:33:26 PM,C,14.691
4/29/15 9:40:06 PM,C,10.172
4/29/15 10:46:46 PM,C,9.669
4/29/15 11:53:26 PM,C,9.669
4/30/15 1:00:06 AM,C,9.669
4/30/15 2:06:46 AM,C,9.669
4/30/15 3:13:26 AM,C,9.166
4/30/15 4:20:06 AM,C,9.669
4/30/15 5:26:46 AM,C,8.663
4/30/15 6:33:26 AM,C,8.161
4/30/15 7:40:06 AM,C,8.663
4/30/15 8:46:46 AM,C,9.669
4/30/15 9:53:26 AM,C,13.687
4/30/15 11:00:06 AM,C,20.707
4/30/15 12:06:46 PM,C,23.71
4/30/15 1:13:26 PM,C,21.709
4/30/15 2:20:06 PM,C,22.209
4/30/15 3:26:46 PM,C,23.71
4/30/15 4:33:26 PM,C,25.211
4/30/15 5:40:06 PM,C,24.711
4/30/15 6:46:46 PM,C,24.711
4/30/15 7:53:26 PM,C,22.209
4/30/15 9:00:06 PM,C,15.695
4/30/15 10:06:46 PM,C,14.691
4/30/15 11:13:26 PM,C,15.193
5/1/15 12:20:06 AM,C,15.193
5/1/15 1:26:46 AM,C,15.695
5/1/15 2:33:26 AM,C,14.189
