1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: D400000022184241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 4000 second(s)
Mission Start Time:  Sat Apr 18 17:47:50 CDT 2015
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Apr 18 17:47:50 CDT 2015
Total Mission Samples:  8192
Total Device Samples:  31881
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/18/15 5:47:50 PM,C,20.619
4/18/15 6:54:30 PM,C,19.118
4/18/15 8:01:10 PM,C,18.116
4/18/15 9:07:50 PM,C,15.111
4/18/15 10:14:30 PM,C,14.109
4/18/15 11:21:10 PM,C,14.109
4/19/15 12:27:50 AM,C,13.608
4/19/15 1:34:30 AM,C,12.606
4/19/15 2:41:10 AM,C,13.107
4/19/15 3:47:50 AM,C,14.109
4/19/15 4:54:30 AM,C,14.109
4/19/15 6:01:10 AM,C,13.107
4/19/15 7:07:50 AM,C,12.105
4/19/15 8:14:30 AM,C,11.102
4/19/15 9:21:10 AM,C,11.102
4/19/15 10:27:50 AM,C,13.107
4/19/15 11:34:30 AM,C,20.119
4/19/15 12:41:10 PM,C,20.619
4/19/15 1:47:50 PM,C,21.62
4/19/15 2:54:30 PM,C,21.62
4/19/15 4:01:10 PM,C,19.618
4/19/15 5:07:50 PM,C,21.62
4/19/15 6:14:30 PM,C,21.12
4/19/15 7:21:10 PM,C,19.618
4/19/15 8:27:50 PM,C,17.115
4/19/15 9:34:30 PM,C,14.109
4/19/15 10:41:10 PM,C,11.604
4/19/15 11:47:50 PM,C,7.592
4/20/15 12:54:30 AM,C,6.087
4/20/15 2:01:10 AM,C,9.097
4/20/15 3:07:50 AM,C,7.09
4/20/15 4:14:30 AM,C,7.592
4/20/15 5:21:10 AM,C,8.093
4/20/15 6:27:50 AM,C,8.093
4/20/15 7:34:30 AM,C,7.592
4/20/15 8:41:10 AM,C,6.588
4/20/15 9:47:50 AM,C,10.1
4/20/15 10:54:30 AM,C,14.109
4/20/15 12:01:10 PM,C,16.113
4/20/15 1:07:50 PM,C,19.618
4/20/15 2:14:30 PM,C,20.119
4/20/15 3:21:10 PM,C,20.119
4/20/15 4:27:50 PM,C,19.618
4/20/15 5:34:30 PM,C,20.619
4/20/15 6:41:10 PM,C,19.618
4/20/15 7:47:50 PM,C,18.617
4/20/15 8:54:30 PM,C,16.614
4/20/15 10:01:10 PM,C,12.105
4/20/15 11:07:50 PM,C,11.604
4/21/15 12:14:30 AM,C,8.093
4/21/15 1:21:10 AM,C,5.585
