1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: CA00000013097541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 4000 second(s)
Mission Start Time:  Sat Apr 18 14:29:06 CDT 2015
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Apr 18 14:29:06 CDT 2015
Total Mission Samples:  8192
Total Device Samples:  94199
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/18/15 2:29:06 PM,C,27.185
4/18/15 3:35:46 PM,C,18.178
4/18/15 4:42:26 PM,C,15.672
4/18/15 5:49:06 PM,C,15.672
4/18/15 6:55:46 PM,C,13.164
4/18/15 8:02:26 PM,C,11.659
4/18/15 9:09:06 PM,C,10.654
4/18/15 10:15:46 PM,C,10.654
4/18/15 11:22:26 PM,C,10.654
4/19/15 12:29:06 AM,C,10.152
4/19/15 1:35:46 AM,C,9.65
4/19/15 2:42:26 AM,C,10.152
4/19/15 3:49:06 AM,C,10.152
4/19/15 4:55:46 AM,C,9.148
4/19/15 6:02:26 AM,C,8.645
4/19/15 7:09:06 AM,C,9.148
4/19/15 8:15:46 AM,C,8.645
4/19/15 9:22:26 AM,C,9.65
4/19/15 10:29:06 AM,C,14.168
4/19/15 11:35:46 AM,C,20.182
4/19/15 12:42:26 PM,C,18.679
4/19/15 1:49:06 PM,C,23.685
4/19/15 2:55:46 PM,C,22.184
4/19/15 4:02:26 PM,C,18.178
4/19/15 5:09:06 PM,C,16.174
4/19/15 6:15:46 PM,C,15.171
4/19/15 7:22:26 PM,C,13.164
4/19/15 8:29:06 PM,C,11.659
4/19/15 9:35:46 PM,C,10.654
4/19/15 10:42:26 PM,C,10.152
4/19/15 11:49:06 PM,C,9.148
4/20/15 12:55:46 AM,C,7.64
4/20/15 2:02:26 AM,C,8.645
4/20/15 3:09:06 AM,C,9.148
4/20/15 4:15:46 AM,C,9.65
4/20/15 5:22:26 AM,C,9.65
4/20/15 6:29:06 AM,C,10.152
4/20/15 7:35:46 AM,C,9.65
4/20/15 8:42:26 AM,C,11.156
4/20/15 9:49:06 AM,C,12.16
4/20/15 10:55:46 AM,C,15.672
4/20/15 12:02:26 PM,C,20.182
4/20/15 1:09:06 PM,C,18.679
4/20/15 2:15:46 PM,C,21.684
4/20/15 3:22:26 PM,C,19.18
4/20/15 4:29:06 PM,C,18.178
4/20/15 5:35:46 PM,C,17.176
4/20/15 6:42:26 PM,C,14.168
4/20/15 7:49:06 PM,C,12.16
4/20/15 8:55:46 PM,C,11.659
4/20/15 10:02:26 PM,C,12.16
4/20/15 11:09:06 PM,C,12.16
4/21/15 12:15:46 AM,C,9.148
4/21/15 1:22:26 AM,C,9.65
4/21/15 2:29:06 AM,C,10.152
4/21/15 3:35:46 AM,C,9.148
4/21/15 4:42:26 AM,C,9.65
4/21/15 5:49:06 AM,C,9.65
4/21/15 6:55:46 AM,C,10.654
4/21/15 8:02:26 AM,C,8.143
4/21/15 9:09:06 AM,C,10.152
4/21/15 10:15:46 AM,C,13.164
4/21/15 11:22:26 AM,C,23.185
4/21/15 12:29:06 PM,C,21.684
4/21/15 1:35:46 PM,C,23.185
4/21/15 2:42:26 PM,C,27.185
4/21/15 3:49:06 PM,C,21.684
4/21/15 4:55:46 PM,C,20.683
4/21/15 6:02:26 PM,C,20.182
4/21/15 7:09:06 PM,C,16.174
4/21/15 8:15:46 PM,C,13.666
4/21/15 9:22:26 PM,C,11.659
4/21/15 10:29:06 PM,C,11.659
4/21/15 11:35:46 PM,C,12.662
4/22/15 12:42:26 AM,C,13.164
4/22/15 1:49:06 AM,C,13.666
4/22/15 2:55:46 AM,C,13.666
4/22/15 4:02:26 AM,C,14.168
