1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 500000002D942341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 4000 second(s)
Mission Start Time:  Sat Apr 18 09:09:54 CDT 2015
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Apr 18 09:09:54 CDT 2015
Total Mission Samples:  8192
Total Device Samples:  8800
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/18/15 9:09:54 AM,C,20.138
4/18/15 10:16:34 AM,C,10.617
4/18/15 11:23:14 AM,C,13.124
4/18/15 12:29:54 PM,C,15.129
4/18/15 1:36:34 PM,C,17.634
4/18/15 2:43:14 PM,C,14.628
4/18/15 3:49:54 PM,C,14.628
4/18/15 4:56:34 PM,C,14.127
4/18/15 6:03:14 PM,C,12.122
4/18/15 7:09:54 PM,C,11.119
4/18/15 8:16:34 PM,C,10.115
4/18/15 9:23:14 PM,C,9.614
4/18/15 10:29:54 PM,C,9.112
4/18/15 11:36:34 PM,C,9.112
4/19/15 12:43:14 AM,C,9.112
4/19/15 1:49:54 AM,C,7.606
4/19/15 2:56:34 AM,C,8.108
4/19/15 4:03:14 AM,C,8.108
4/19/15 5:09:54 AM,C,7.606
4/19/15 6:16:34 AM,C,7.104
4/19/15 7:23:14 AM,C,6.602
4/19/15 8:29:54 AM,C,12.122
4/19/15 9:36:34 AM,C,12.623
4/19/15 10:43:14 AM,C,14.628
4/19/15 11:49:54 AM,C,14.628
4/19/15 12:56:34 PM,C,17.133
4/19/15 2:03:14 PM,C,19.637
4/19/15 3:09:54 PM,C,19.136
4/19/15 4:16:34 PM,C,17.133
4/19/15 5:23:14 PM,C,14.628
4/19/15 6:29:54 PM,C,13.124
4/19/15 7:36:34 PM,C,11.119
4/19/15 8:43:14 PM,C,9.614
4/19/15 9:49:54 PM,C,8.108
4/19/15 10:56:34 PM,C,7.606
4/20/15 12:03:14 AM,C,6.602
4/20/15 1:09:54 AM,C,5.598
4/20/15 2:16:34 AM,C,5.598
4/20/15 3:23:14 AM,C,6.602
4/20/15 4:29:54 AM,C,7.104
4/20/15 5:36:34 AM,C,8.61
4/20/15 6:43:14 AM,C,7.606
4/20/15 7:49:54 AM,C,8.61
4/20/15 8:56:34 AM,C,10.115
4/20/15 10:03:14 AM,C,12.122
4/20/15 11:09:54 AM,C,14.628
4/20/15 12:16:34 PM,C,16.131
4/20/15 1:23:14 PM,C,16.131
4/20/15 2:29:54 PM,C,15.63
4/20/15 3:36:34 PM,C,16.131
4/20/15 4:43:14 PM,C,15.63
4/20/15 5:49:54 PM,C,13.626
4/20/15 6:56:34 PM,C,11.62
4/20/15 8:03:14 PM,C,10.617
4/20/15 9:09:54 PM,C,9.112
4/20/15 10:16:34 PM,C,9.112
4/20/15 11:23:14 PM,C,9.614
4/21/15 12:29:54 AM,C,9.614
4/21/15 1:36:34 AM,C,9.614
4/21/15 2:43:14 AM,C,10.115
4/21/15 3:49:54 AM,C,10.115
4/21/15 4:56:34 AM,C,10.617
4/21/15 6:03:14 AM,C,10.617
4/21/15 7:09:54 AM,C,9.112
4/21/15 8:16:34 AM,C,12.623
4/21/15 9:23:14 AM,C,13.626
4/21/15 10:29:54 AM,C,14.127
4/21/15 11:36:34 AM,C,17.133
4/21/15 12:43:14 PM,C,20.638
4/21/15 1:49:54 PM,C,21.139
4/21/15 2:56:34 PM,C,21.139
4/21/15 4:03:14 PM,C,18.636
4/21/15 5:09:54 PM,C,18.636
4/21/15 6:16:34 PM,C,16.632
4/21/15 7:23:14 PM,C,15.129
4/21/15 8:29:54 PM,C,13.626
4/21/15 9:36:34 PM,C,12.122
4/21/15 10:43:14 PM,C,12.122
4/21/15 11:49:54 PM,C,12.122
4/22/15 12:56:34 AM,C,11.62
4/22/15 2:03:14 AM,C,11.62
4/22/15 3:09:54 AM,C,11.62
4/22/15 4:16:34 AM,C,11.62
4/22/15 5:23:14 AM,C,10.115
4/22/15 6:29:54 AM,C,9.614
4/22/15 7:36:34 AM,C,9.614
4/22/15 8:43:14 AM,C,13.626
4/22/15 9:49:54 AM,C,14.628
4/22/15 10:56:34 AM,C,15.63
4/22/15 12:03:14 PM,C,16.632
4/22/15 1:09:54 PM,C,16.131
4/22/15 2:16:34 PM,C,17.634
4/22/15 3:23:14 PM,C,17.133
4/22/15 4:29:54 PM,C,17.634
4/22/15 5:36:34 PM,C,16.632
4/22/15 6:43:14 PM,C,15.129
4/22/15 7:49:54 PM,C,13.626
4/22/15 8:56:34 PM,C,12.122
4/22/15 10:03:14 PM,C,11.119
4/22/15 11:09:54 PM,C,11.62
