1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1D00000014927C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Apr 21 16:21:01 CDT 2012
Mission Sample Count:  8065
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Apr 21 16:21:01 CDT 2012
Total Mission Samples:  8065
Total Device Samples:  20405
Temperature Logging:  disabled
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/21/12 4:21:01 PM,%RH,12.471
4/21/12 5:21:01 PM,%RH,9.027
4/21/12 6:21:01 PM,%RH,8.334
4/21/12 7:21:01 PM,%RH,10.409
4/21/12 8:21:01 PM,%RH,17.236
4/21/12 9:21:01 PM,%RH,25.253
4/21/12 10:21:01 PM,%RH,24.592
4/21/12 11:21:01 PM,%RH,25.913
4/22/12 12:21:01 AM,%RH,28.537
4/22/12 1:21:01 AM,%RH,29.19
4/22/12 2:21:01 AM,%RH,29.841
4/22/12 3:21:01 AM,%RH,29.19
4/22/12 4:21:01 AM,%RH,29.19
4/22/12 5:21:01 AM,%RH,29.19
4/22/12 6:21:01 AM,%RH,29.19
4/22/12 7:21:01 AM,%RH,29.841
4/22/12 8:21:01 AM,%RH,27.227
4/22/12 9:21:01 AM,%RH,25.253
4/22/12 10:21:01 AM,%RH,16.559
4/22/12 11:21:01 AM,%RH,17.912
4/22/12 12:21:01 PM,%RH,14.521
4/22/12 1:21:01 PM,%RH,13.839
4/22/12 2:21:01 PM,%RH,12.471
4/22/12 3:21:01 PM,%RH,11.097
4/22/12 4:21:01 PM,%RH,11.785
4/22/12 5:21:01 PM,%RH,11.097
4/22/12 6:21:01 PM,%RH,13.839
4/22/12 7:21:01 PM,%RH,13.839
4/22/12 8:21:01 PM,%RH,15.881
4/22/12 9:21:01 PM,%RH,19.93
4/22/12 10:21:01 PM,%RH,19.93
4/22/12 11:21:01 PM,%RH,21.936
4/23/12 12:21:01 AM,%RH,25.913
4/23/12 1:21:01 AM,%RH,26.571
4/23/12 2:21:01 AM,%RH,29.841
4/23/12 3:21:01 AM,%RH,28.537
4/23/12 4:21:01 AM,%RH,36.919
4/23/12 5:21:01 AM,%RH,48.763
4/23/12 6:21:01 AM,%RH,58.365
4/23/12 7:21:01 AM,%RH,63.615
4/23/12 8:21:01 AM,%RH,60.712
4/23/12 9:21:01 AM,%RH,48.152
4/23/12 10:21:01 AM,%RH,38.821
4/23/12 11:21:01 AM,%RH,34.364
4/23/12 12:21:01 PM,%RH,31.787
4/23/12 1:21:01 PM,%RH,25.253
4/23/12 2:21:01 PM,%RH,22.602
4/23/12 3:21:01 PM,%RH,19.258
4/23/12 4:21:01 PM,%RH,16.559
4/23/12 5:21:01 PM,%RH,15.202
4/23/12 6:21:01 PM,%RH,13.839
4/23/12 7:21:01 PM,%RH,16.559
4/23/12 8:21:01 PM,%RH,22.602
4/23/12 9:21:01 PM,%RH,29.841
4/23/12 10:21:01 PM,%RH,37.554
4/23/12 11:21:01 PM,%RH,33.078
4/24/12 12:21:01 AM,%RH,35.644
4/24/12 1:21:01 AM,%RH,35.644
4/24/12 2:21:01 AM,%RH,38.188
4/24/12 3:21:01 AM,%RH,31.787
4/24/12 4:21:01 AM,%RH,27.883
4/24/12 5:21:01 AM,%RH,29.841
4/24/12 6:21:01 AM,%RH,29.841
4/24/12 7:21:01 AM,%RH,29.841
4/24/12 8:21:01 AM,%RH,21.269
4/24/12 9:21:01 AM,%RH,27.883
4/24/12 10:21:01 AM,%RH,23.93
4/24/12 11:21:01 AM,%RH,13.156
4/24/12 12:21:01 PM,%RH,11.097
4/24/12 1:21:01 PM,%RH,11.097
4/24/12 2:21:01 PM,%RH,9.719
4/24/12 3:21:01 PM,%RH,8.334
4/24/12 4:21:01 PM,%RH,9.719
4/24/12 5:21:01 PM,%RH,9.027
4/24/12 6:21:01 PM,%RH,7.64
4/24/12 7:21:01 PM,%RH,9.027
4/24/12 8:21:01 PM,%RH,15.881
4/24/12 9:21:01 PM,%RH,21.269
4/24/12 10:21:01 PM,%RH,21.269
4/24/12 11:21:01 PM,%RH,21.936
4/25/12 12:21:01 AM,%RH,21.936
4/25/12 1:21:01 AM,%RH,18.586
4/25/12 2:21:01 AM,%RH,17.912
4/25/12 3:21:01 AM,%RH,16.559
4/25/12 4:21:01 AM,%RH,13.156
4/25/12 5:21:01 AM,%RH,12.471
4/25/12 6:21:01 AM,%RH,15.202
4/25/12 7:21:01 AM,%RH,17.912
4/25/12 8:21:01 AM,%RH,17.236
4/25/12 9:21:01 AM,%RH,14.521
4/25/12 10:21:01 AM,%RH,9.719
4/25/12 11:21:01 AM,%RH,9.719
4/25/12 12:21:01 PM,%RH,9.027
4/25/12 1:21:01 PM,%RH,6.248
4/25/12 2:21:01 PM,%RH,6.248
4/25/12 3:21:01 PM,%RH,2.744
4/25/12 4:21:01 PM,%RH,2.744
4/25/12 5:21:01 PM,%RH,2.04
4/25/12 6:21:01 PM,%RH,3.448
4/25/12 7:21:01 PM,%RH,5.55
4/25/12 8:21:01 PM,%RH,6.945
4/25/12 9:21:01 PM,%RH,7.64
4/25/12 10:21:01 PM,%RH,6.945
4/25/12 11:21:01 PM,%RH,10.409
4/26/12 12:21:01 AM,%RH,11.785
4/26/12 1:21:01 AM,%RH,12.471
4/26/12 2:21:01 AM,%RH,13.156
4/26/12 3:21:01 AM,%RH,12.471
4/26/12 4:21:01 AM,%RH,9.719
4/26/12 5:21:01 AM,%RH,8.334
4/26/12 6:21:01 AM,%RH,9.027
4/26/12 7:21:01 AM,%RH,11.097
4/26/12 8:21:01 AM,%RH,10.409
4/26/12 9:21:01 AM,%RH,9.719
