1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: FE00000014957A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Apr 21 11:01:01 CDT 2012
Mission Sample Count:  8071
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Apr 21 11:01:01 CDT 2012
Total Mission Samples:  8071
Total Device Samples:  22306
Temperature Logging:  disabled
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/21/12 11:01:01 AM,%RH,25.95
4/21/12 12:01:01 PM,%RH,17.24
4/21/12 1:01:01 PM,%RH,17.92
4/21/12 2:01:01 PM,%RH,15.877
4/21/12 3:01:01 PM,%RH,13.133
4/21/12 4:01:01 PM,%RH,13.821
4/21/12 5:01:01 PM,%RH,8.97
4/21/12 6:01:01 PM,%RH,12.443
4/21/12 7:01:01 PM,%RH,13.821
4/21/12 8:01:01 PM,%RH,19.948
4/21/12 9:01:01 PM,%RH,21.962
4/21/12 10:01:01 PM,%RH,24.627
4/21/12 11:01:01 PM,%RH,25.95
4/22/12 12:01:01 AM,%RH,27.267
4/22/12 1:01:01 AM,%RH,27.267
4/22/12 2:01:01 AM,%RH,27.923
4/22/12 3:01:01 AM,%RH,31.828
4/22/12 4:01:01 AM,%RH,31.828
4/22/12 5:01:01 AM,%RH,32.473
4/22/12 6:01:01 AM,%RH,32.473
4/22/12 7:01:01 AM,%RH,28.578
4/22/12 8:01:01 AM,%RH,29.231
4/22/12 9:01:01 AM,%RH,23.963
4/22/12 10:01:01 AM,%RH,20.621
4/22/12 11:01:01 AM,%RH,21.962
4/22/12 12:01:01 PM,%RH,17.92
4/22/12 1:01:01 PM,%RH,16.56
4/22/12 2:01:01 PM,%RH,15.877
4/22/12 3:01:01 PM,%RH,14.508
4/22/12 4:01:01 PM,%RH,14.508
4/22/12 5:01:01 PM,%RH,15.194
4/22/12 6:01:01 PM,%RH,15.877
4/22/12 7:01:01 PM,%RH,17.92
4/22/12 8:01:01 PM,%RH,21.962
4/22/12 9:01:01 PM,%RH,20.621
4/22/12 10:01:01 PM,%RH,20.621
4/22/12 11:01:01 PM,%RH,21.962
4/23/12 12:01:01 AM,%RH,23.963
4/23/12 1:01:01 AM,%RH,26.609
4/23/12 2:01:01 AM,%RH,27.923
4/23/12 3:01:01 AM,%RH,29.882
4/23/12 4:01:01 AM,%RH,33.117
4/23/12 5:01:01 AM,%RH,40.099
4/23/12 6:01:01 AM,%RH,51.122
4/23/12 7:01:01 AM,%RH,59.352
4/23/12 8:01:01 AM,%RH,65.607
4/23/12 9:01:01 AM,%RH,55.275
4/23/12 10:01:01 AM,%RH,49.922
4/23/12 11:01:01 AM,%RH,44.445
4/23/12 12:01:01 PM,%RH,38.213
4/23/12 1:01:01 PM,%RH,33.117
4/23/12 2:01:01 PM,%RH,29.231
4/23/12 3:01:01 PM,%RH,23.298
4/23/12 4:01:01 PM,%RH,21.293
4/23/12 5:01:01 PM,%RH,18.597
4/23/12 6:01:01 PM,%RH,19.273
4/23/12 7:01:01 PM,%RH,19.948
4/23/12 8:01:01 PM,%RH,25.95
4/23/12 9:01:01 PM,%RH,31.181
4/23/12 10:01:01 PM,%RH,34.4
4/23/12 11:01:01 PM,%RH,35.04
4/24/12 12:01:01 AM,%RH,39.472
4/24/12 1:01:01 AM,%RH,46.894
4/24/12 2:01:01 AM,%RH,44.445
4/24/12 3:01:01 AM,%RH,27.267
4/24/12 4:01:01 AM,%RH,31.828
4/24/12 5:01:01 AM,%RH,31.181
4/24/12 6:01:01 AM,%RH,35.04
4/24/12 7:01:01 AM,%RH,22.631
4/24/12 8:01:01 AM,%RH,21.962
4/24/12 9:01:01 AM,%RH,18.597
4/24/12 10:01:01 AM,%RH,16.56
4/24/12 11:01:01 AM,%RH,15.194
4/24/12 12:01:01 PM,%RH,13.821
4/24/12 1:01:01 PM,%RH,13.133
4/24/12 2:01:01 PM,%RH,11.752
4/24/12 3:01:01 PM,%RH,11.059
4/24/12 4:01:01 PM,%RH,10.364
4/24/12 5:01:01 PM,%RH,12.443
4/24/12 6:01:01 PM,%RH,12.443
4/24/12 7:01:01 PM,%RH,11.059
4/24/12 8:01:01 PM,%RH,13.133
4/24/12 9:01:01 PM,%RH,19.948
4/24/12 10:01:01 PM,%RH,21.293
4/24/12 11:01:01 PM,%RH,22.631
4/25/12 12:01:01 AM,%RH,25.289
4/25/12 1:01:01 AM,%RH,21.962
4/25/12 2:01:01 AM,%RH,20.621
4/25/12 3:01:01 AM,%RH,18.597
4/25/12 4:01:01 AM,%RH,15.194
4/25/12 5:01:01 AM,%RH,15.877
4/25/12 6:01:01 AM,%RH,15.877
4/25/12 7:01:01 AM,%RH,16.56
4/25/12 8:01:01 AM,%RH,21.293
4/25/12 9:01:01 AM,%RH,17.92
4/25/12 10:01:01 AM,%RH,15.877
4/25/12 11:01:01 AM,%RH,14.508
4/25/12 12:01:01 PM,%RH,11.059
4/25/12 1:01:01 PM,%RH,10.364
4/25/12 2:01:01 PM,%RH,8.97
4/25/12 3:01:01 PM,%RH,5.459
4/25/12 4:01:01 PM,%RH,4.753
4/25/12 5:01:01 PM,%RH,4.753
4/25/12 6:01:01 PM,%RH,4.044
4/25/12 7:01:01 PM,%RH,5.459
4/25/12 8:01:01 PM,%RH,8.271
4/25/12 9:01:01 PM,%RH,7.571
4/25/12 10:01:01 PM,%RH,7.571
4/25/12 11:01:01 PM,%RH,11.752
4/26/12 12:01:01 AM,%RH,15.877
4/26/12 1:01:01 AM,%RH,12.443
4/26/12 2:01:01 AM,%RH,11.752
4/26/12 3:01:01 AM,%RH,12.443
4/26/12 4:01:01 AM,%RH,9.668
4/26/12 5:01:01 AM,%RH,10.364
4/26/12 6:01:01 AM,%RH,11.059
4/26/12 7:01:01 AM,%RH,11.752
4/26/12 8:01:01 AM,%RH,11.752
4/26/12 9:01:01 AM,%RH,11.752
4/26/12 10:01:01 AM,%RH,14.508
4/26/12 11:01:01 AM,%RH,12.443
4/26/12 12:01:01 PM,%RH,10.364
4/26/12 1:01:01 PM,%RH,11.752
4/26/12 2:01:01 PM,%RH,10.364
4/26/12 3:01:01 PM,%RH,9.668
4/26/12 4:01:01 PM,%RH,11.059
4/26/12 5:01:01 PM,%RH,8.97
4/26/12 6:01:01 PM,%RH,11.059
4/26/12 7:01:01 PM,%RH,11.752
4/26/12 8:01:01 PM,%RH,12.443
4/26/12 9:01:01 PM,%RH,12.443
4/26/12 10:01:01 PM,%RH,15.194
4/26/12 11:01:01 PM,%RH,18.597
4/27/12 12:01:01 AM,%RH,20.621
4/27/12 1:01:01 AM,%RH,22.631
4/27/12 2:01:01 AM,%RH,27.923
4/27/12 3:01:01 AM,%RH,26.609
4/27/12 4:01:01 AM,%RH,25.95
4/27/12 5:01:01 AM,%RH,24.627
4/27/12 6:01:01 AM,%RH,23.963
4/27/12 7:01:01 AM,%RH,29.231
4/27/12 8:01:01 AM,%RH,21.962
4/27/12 9:01:01 AM,%RH,17.92
4/27/12 10:01:01 AM,%RH,13.821
4/27/12 11:01:01 AM,%RH,13.133
4/27/12 12:01:01 PM,%RH,12.443
4/27/12 1:01:01 PM,%RH,11.752
4/27/12 2:01:01 PM,%RH,12.443
4/27/12 3:01:01 PM,%RH,12.443
4/27/12 4:01:01 PM,%RH,12.443
4/27/12 5:01:01 PM,%RH,8.97
4/27/12 6:01:01 PM,%RH,10.364
4/27/12 7:01:01 PM,%RH,9.668
4/27/12 8:01:01 PM,%RH,11.059
4/27/12 9:01:01 PM,%RH,13.133
4/27/12 10:01:01 PM,%RH,13.133
4/27/12 11:01:01 PM,%RH,14.508
4/28/12 12:01:01 AM,%RH,13.133
4/28/12 1:01:01 AM,%RH,13.821
4/28/12 2:01:01 AM,%RH,13.821
4/28/12 3:01:01 AM,%RH,13.821
4/28/12 4:01:01 AM,%RH,13.821
4/28/12 5:01:01 AM,%RH,13.821
4/28/12 6:01:01 AM,%RH,12.443
4/28/12 7:01:01 AM,%RH,13.133
4/28/12 8:01:01 AM,%RH,12.443
4/28/12 9:01:01 AM,%RH,11.752
4/28/12 10:01:01 AM,%RH,11.059
4/28/12 11:01:01 AM,%RH,12.443
4/28/12 12:01:01 PM,%RH,12.443
4/28/12 1:01:01 PM,%RH,10.364
4/28/12 2:01:01 PM,%RH,9.668
4/28/12 3:01:01 PM,%RH,9.668
4/28/12 4:01:01 PM,%RH,10.364
4/28/12 5:01:01 PM,%RH,8.97
4/28/12 6:01:01 PM,%RH,10.364
4/28/12 7:01:01 PM,%RH,10.364
4/28/12 8:01:01 PM,%RH,12.443
4/28/12 9:01:01 PM,%RH,13.821
4/28/12 10:01:01 PM,%RH,13.133
4/28/12 11:01:01 PM,%RH,13.821
4/29/12 12:01:01 AM,%RH,15.194
4/29/12 1:01:01 AM,%RH,15.194
4/29/12 2:01:01 AM,%RH,13.821
4/29/12 3:01:01 AM,%RH,13.133
4/29/12 4:01:01 AM,%RH,14.508
4/29/12 5:01:01 AM,%RH,14.508
4/29/12 6:01:01 AM,%RH,16.56
4/29/12 7:01:01 AM,%RH,24.627
4/29/12 8:01:01 AM,%RH,26.609
4/29/12 9:01:01 AM,%RH,17.24
4/29/12 10:01:01 AM,%RH,17.92
4/29/12 11:01:01 AM,%RH,17.92
4/29/12 12:01:01 PM,%RH,15.194
4/29/12 1:01:01 PM,%RH,11.752
4/29/12 2:01:01 PM,%RH,10.364
4/29/12 3:01:01 PM,%RH,12.443
4/29/12 4:01:01 PM,%RH,12.443
4/29/12 5:01:01 PM,%RH,10.364
4/29/12 6:01:01 PM,%RH,10.364
4/29/12 7:01:01 PM,%RH,11.059
4/29/12 8:01:01 PM,%RH,13.133
4/29/12 9:01:01 PM,%RH,13.821
4/29/12 10:01:01 PM,%RH,14.508
4/29/12 11:01:01 PM,%RH,15.194
4/30/12 12:01:01 AM,%RH,15.877
4/30/12 1:01:01 AM,%RH,15.194
4/30/12 2:01:01 AM,%RH,14.508
4/30/12 3:01:01 AM,%RH,13.821
4/30/12 4:01:01 AM,%RH,14.508
4/30/12 5:01:01 AM,%RH,14.508
4/30/12 6:01:01 AM,%RH,16.56
4/30/12 7:01:01 AM,%RH,19.948
4/30/12 8:01:01 AM,%RH,19.273
4/30/12 9:01:01 AM,%RH,21.962
4/30/12 10:01:01 AM,%RH,21.962
4/30/12 11:01:01 AM,%RH,23.298
4/30/12 12:01:01 PM,%RH,17.24
4/30/12 1:01:01 PM,%RH,10.364
4/30/12 2:01:01 PM,%RH,11.059
4/30/12 3:01:01 PM,%RH,11.752
4/30/12 4:01:01 PM,%RH,11.059
4/30/12 5:01:01 PM,%RH,7.571
4/30/12 6:01:01 PM,%RH,10.364
4/30/12 7:01:01 PM,%RH,8.97
4/30/12 8:01:01 PM,%RH,11.752
4/30/12 9:01:01 PM,%RH,11.752
4/30/12 10:01:01 PM,%RH,12.443
4/30/12 11:01:01 PM,%RH,13.133
5/1/12 12:01:01 AM,%RH,14.508
5/1/12 1:01:01 AM,%RH,14.508
5/1/12 2:01:01 AM,%RH,14.508
5/1/12 3:01:01 AM,%RH,15.877
5/1/12 4:01:01 AM,%RH,21.293
5/1/12 5:01:01 AM,%RH,25.95
5/1/12 6:01:01 AM,%RH,18.597
5/1/12 7:01:01 AM,%RH,19.948
5/1/12 8:01:01 AM,%RH,22.631
