1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8B00000014970841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 4000 second(s)
Mission Start Time:  Sat Mar 23 11:00:51 CST 2013
Mission Sample Count:  1666
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Mar 23 11:00:51 CST 2013
Total Mission Samples:  1666
Total Device Samples:  26220
Temperature Logging:  disabled
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/23/13 11:00:51 AM,%RH,38.844
3/23/13 12:07:31 PM,%RH,26.067
3/23/13 1:14:11 PM,%RH,21.257
3/23/13 2:20:51 PM,%RH,23.325
3/23/13 3:27:31 PM,%RH,17.089
3/23/13 4:34:11 PM,%RH,16.391
3/23/13 5:40:51 PM,%RH,16.391
3/23/13 6:47:31 PM,%RH,15.691
3/23/13 7:54:11 PM,%RH,15.691
3/23/13 9:00:51 PM,%RH,13.586
3/23/13 10:07:31 PM,%RH,15.691
3/23/13 11:14:11 PM,%RH,18.483
3/24/13 12:20:51 AM,%RH,25.383
3/24/13 1:27:31 AM,%RH,42.138
3/24/13 2:34:11 AM,%RH,44.753
3/24/13 3:40:51 AM,%RH,46.703
3/24/13 4:47:31 AM,%RH,48.642
3/24/13 5:54:11 AM,%RH,45.404
3/24/13 7:00:51 AM,%RH,34.184
3/24/13 8:07:31 AM,%RH,28.112
3/24/13 9:14:11 AM,%RH,19.872
3/24/13 10:20:51 AM,%RH,26.067
3/24/13 11:27:31 AM,%RH,25.383
3/24/13 12:34:11 PM,%RH,22.637
3/24/13 1:40:51 PM,%RH,26.067
3/24/13 2:47:31 PM,%RH,17.787
3/24/13 3:54:11 PM,%RH,18.483
3/24/13 5:00:51 PM,%RH,17.787
3/24/13 6:07:31 PM,%RH,21.947
3/24/13 7:14:11 PM,%RH,22.637
3/24/13 8:20:51 PM,%RH,21.257
3/24/13 9:27:31 PM,%RH,19.872
3/24/13 10:34:11 PM,%RH,21.947
3/24/13 11:40:51 PM,%RH,21.947
3/25/13 12:47:31 AM,%RH,22.637
3/25/13 1:54:11 AM,%RH,28.112
3/25/13 3:00:51 AM,%RH,34.184
3/25/13 4:07:31 AM,%RH,40.824
3/25/13 5:14:11 AM,%RH,47.997
3/25/13 6:20:51 AM,%RH,58.812
3/25/13 7:27:31 AM,%RH,64.406
3/25/13 8:34:11 AM,%RH,53.763
3/25/13 9:40:51 AM,%RH,41.482
3/25/13 10:47:31 AM,%RH,40.824
3/25/13 11:54:11 AM,%RH,34.184
3/25/13 1:00:51 PM,%RH,29.469
3/25/13 2:07:31 PM,%RH,30.822
3/25/13 3:14:11 PM,%RH,30.146
3/25/13 4:20:51 PM,%RH,28.791
3/25/13 5:27:31 PM,%RH,32.17
3/25/13 6:34:11 PM,%RH,35.521
3/25/13 7:40:51 PM,%RH,46.703
3/25/13 8:47:31 PM,%RH,48.642
3/25/13 9:54:11 PM,%RH,51.212
3/25/13 11:00:51 PM,%RH,52.49
3/26/13 12:07:31 AM,%RH,52.49
3/26/13 1:14:11 AM,%RH,49.286
3/26/13 2:20:51 AM,%RH,44.101
3/26/13 3:27:31 AM,%RH,46.054
3/26/13 4:34:11 AM,%RH,52.49
3/26/13 5:40:51 AM,%RH,44.101
3/26/13 6:47:31 AM,%RH,36.188
3/26/13 7:54:11 AM,%RH,28.791
3/26/13 9:00:51 AM,%RH,26.75
3/26/13 10:07:31 AM,%RH,26.067
3/26/13 11:14:11 AM,%RH,28.112
3/26/13 12:20:51 PM,%RH,25.383
3/26/13 1:27:31 PM,%RH,24.698
3/26/13 2:34:11 PM,%RH,24.012
3/26/13 3:40:51 PM,%RH,21.947
3/26/13 4:47:31 PM,%RH,24.012
3/26/13 5:54:11 PM,%RH,26.067
3/26/13 7:00:51 PM,%RH,27.431
3/26/13 8:07:31 PM,%RH,30.146
3/26/13 9:14:11 PM,%RH,29.469
3/26/13 10:20:51 PM,%RH,30.146
3/26/13 11:27:31 PM,%RH,30.146
3/27/13 12:34:11 AM,%RH,27.431
3/27/13 1:40:51 AM,%RH,29.469
3/27/13 2:47:31 AM,%RH,30.146
3/27/13 3:54:11 AM,%RH,28.791
3/27/13 5:00:51 AM,%RH,31.497
3/27/13 6:07:31 AM,%RH,34.853
3/27/13 7:14:11 AM,%RH,34.184
3/27/13 8:20:51 AM,%RH,30.146
3/27/13 9:27:31 AM,%RH,25.383
3/27/13 10:34:11 AM,%RH,25.383
3/27/13 11:40:51 AM,%RH,21.947
3/27/13 12:47:31 PM,%RH,21.947
3/27/13 1:54:11 PM,%RH,23.325
3/27/13 3:00:51 PM,%RH,21.257
3/27/13 4:07:31 PM,%RH,23.325
3/27/13 5:14:11 PM,%RH,25.383
3/27/13 6:20:51 PM,%RH,26.067
3/27/13 7:27:31 PM,%RH,30.146
3/27/13 8:34:11 PM,%RH,30.822
3/27/13 9:40:51 PM,%RH,32.843
3/27/13 10:47:31 PM,%RH,32.17
3/27/13 11:54:11 PM,%RH,32.843
3/28/13 1:00:51 AM,%RH,32.843
3/28/13 2:07:31 AM,%RH,32.843
3/28/13 3:14:11 AM,%RH,31.497
3/28/13 4:20:51 AM,%RH,32.843
3/28/13 5:27:31 AM,%RH,32.843
3/28/13 6:34:11 AM,%RH,33.514
3/28/13 7:40:51 AM,%RH,28.112
3/28/13 8:47:31 AM,%RH,23.325
3/28/13 9:54:11 AM,%RH,19.178
3/28/13 11:00:51 AM,%RH,22.637
3/28/13 12:07:31 PM,%RH,23.325
3/28/13 1:14:11 PM,%RH,21.947
3/28/13 2:20:51 PM,%RH,24.012
3/28/13 3:27:31 PM,%RH,21.257
3/28/13 4:34:11 PM,%RH,24.012
3/28/13 5:40:51 PM,%RH,26.067
3/28/13 6:47:31 PM,%RH,29.469
3/28/13 7:54:11 PM,%RH,30.822
3/28/13 9:00:51 PM,%RH,34.184
3/28/13 10:07:31 PM,%RH,33.514
3/28/13 11:14:11 PM,%RH,34.184
3/29/13 12:20:51 AM,%RH,35.521
3/29/13 1:27:31 AM,%RH,37.518
3/29/13 2:34:11 AM,%RH,36.854
3/29/13 3:40:51 AM,%RH,34.853
3/29/13 4:47:31 AM,%RH,36.854
3/29/13 5:54:11 AM,%RH,33.514
3/29/13 7:00:51 AM,%RH,32.843
3/29/13 8:07:31 AM,%RH,27.431
3/29/13 9:14:11 AM,%RH,22.637
3/29/13 10:20:51 AM,%RH,20.565
3/29/13 11:27:31 AM,%RH,21.257
3/29/13 12:34:11 PM,%RH,21.257
3/29/13 1:40:51 PM,%RH,21.257
3/29/13 2:47:31 PM,%RH,19.872
3/29/13 3:54:11 PM,%RH,21.257
3/29/13 5:00:51 PM,%RH,21.947
3/29/13 6:07:31 PM,%RH,21.257
3/29/13 7:14:11 PM,%RH,22.637
3/29/13 8:20:51 PM,%RH,22.637
3/29/13 9:27:31 PM,%RH,24.012
3/29/13 10:34:11 PM,%RH,24.012
3/29/13 11:40:51 PM,%RH,23.325
3/30/13 12:47:31 AM,%RH,21.947
3/30/13 1:54:11 AM,%RH,23.325
3/30/13 3:00:51 AM,%RH,21.947
3/30/13 4:07:31 AM,%RH,20.565
3/30/13 5:14:11 AM,%RH,21.947
3/30/13 6:20:51 AM,%RH,24.698
3/30/13 7:27:31 AM,%RH,24.012
3/30/13 8:34:11 AM,%RH,19.872
3/30/13 9:40:51 AM,%RH,17.787
3/30/13 10:47:31 AM,%RH,17.787
3/30/13 11:54:11 AM,%RH,16.391
3/30/13 1:00:51 PM,%RH,17.787
3/30/13 2:07:31 PM,%RH,17.787
3/30/13 3:14:11 PM,%RH,16.391
3/30/13 4:20:51 PM,%RH,17.089
3/30/13 5:27:31 PM,%RH,18.483
3/30/13 6:34:11 PM,%RH,21.947
3/30/13 7:40:51 PM,%RH,24.012
3/30/13 8:47:31 PM,%RH,22.637
3/30/13 9:54:11 PM,%RH,25.383
3/30/13 11:00:51 PM,%RH,31.497
3/31/13 12:07:31 AM,%RH,36.188
3/31/13 1:14:11 AM,%RH,33.514
3/31/13 2:20:51 AM,%RH,38.182
3/31/13 3:27:31 AM,%RH,35.521
3/31/13 4:34:11 AM,%RH,36.188
3/31/13 5:40:51 AM,%RH,35.521
3/31/13 6:47:31 AM,%RH,38.844
3/31/13 7:54:11 AM,%RH,47.997
3/31/13 9:00:51 AM,%RH,64.406
3/31/13 10:07:31 AM,%RH,55.032
3/31/13 11:14:11 AM,%RH,55.032
3/31/13 12:20:51 PM,%RH,46.703
3/31/13 1:27:31 PM,%RH,42.138
3/31/13 2:34:11 PM,%RH,36.854
3/31/13 3:40:51 PM,%RH,26.75
3/31/13 4:47:31 PM,%RH,29.469
3/31/13 5:54:11 PM,%RH,30.822
3/31/13 7:00:51 PM,%RH,33.514
3/31/13 8:07:31 PM,%RH,38.844
3/31/13 9:14:11 PM,%RH,47.35
3/31/13 10:20:51 PM,%RH,55.665
3/31/13 11:27:31 PM,%RH,38.844
4/1/13 12:34:11 AM,%RH,35.521
4/1/13 1:40:51 AM,%RH,41.482
4/1/13 2:47:31 AM,%RH,42.138
4/1/13 3:54:11 AM,%RH,37.518
4/1/13 5:00:51 AM,%RH,30.822
4/1/13 6:07:31 AM,%RH,33.514
4/1/13 7:14:11 AM,%RH,36.188
4/1/13 8:20:51 AM,%RH,32.17
4/1/13 9:27:31 AM,%RH,30.822
4/1/13 10:34:11 AM,%RH,30.822
4/1/13 11:40:51 AM,%RH,30.822
4/1/13 12:47:31 PM,%RH,26.75
4/1/13 1:54:11 PM,%RH,26.75
4/1/13 3:00:51 PM,%RH,19.872
4/1/13 4:07:31 PM,%RH,20.565
4/1/13 5:14:11 PM,%RH,20.565
4/1/13 6:20:51 PM,%RH,19.872
4/1/13 7:27:31 PM,%RH,21.257
4/1/13 8:34:11 PM,%RH,21.257
4/1/13 9:40:51 PM,%RH,21.947
4/1/13 10:47:31 PM,%RH,23.325
4/1/13 11:54:11 PM,%RH,21.947
4/2/13 1:00:51 AM,%RH,21.257
4/2/13 2:07:31 AM,%RH,24.698
4/2/13 3:14:11 AM,%RH,25.383
4/2/13 4:20:51 AM,%RH,24.698
4/2/13 5:27:31 AM,%RH,24.012
4/2/13 6:34:11 AM,%RH,26.067
4/2/13 7:40:51 AM,%RH,24.698
4/2/13 8:47:31 AM,%RH,24.698
4/2/13 9:54:11 AM,%RH,27.431
4/2/13 11:00:51 AM,%RH,28.112
4/2/13 12:07:31 PM,%RH,26.067
4/2/13 1:14:11 PM,%RH,23.325
4/2/13 2:20:51 PM,%RH,26.75
4/2/13 3:27:31 PM,%RH,25.383
4/2/13 4:34:11 PM,%RH,23.325
4/2/13 5:40:51 PM,%RH,24.012
4/2/13 6:47:31 PM,%RH,27.431
4/2/13 7:54:11 PM,%RH,48.642
4/2/13 9:00:51 PM,%RH,61.931
4/2/13 10:07:31 PM,%RH,61.931
4/2/13 11:14:11 PM,%RH,84.708
4/3/13 12:20:51 AM,%RH,97.147
4/3/13 1:27:31 AM,%RH,101.534
4/3/13 2:34:11 AM,%RH,104.777
4/3/13 3:40:51 AM,%RH,106.916
4/3/13 4:47:31 AM,%RH,107.979
4/3/13 5:54:11 AM,%RH,107.979
4/3/13 7:00:51 AM,%RH,101.534
4/3/13 8:07:31 AM,%RH,69.907
4/3/13 9:14:11 AM,%RH,61.931
4/3/13 10:20:51 AM,%RH,54.398
4/3/13 11:27:31 AM,%RH,52.49
4/3/13 12:34:11 PM,%RH,53.763
4/3/13 1:40:51 PM,%RH,47.35
