1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5C0000001492AB41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 4000 second(s)
Mission Start Time:  Sun Mar 23 12:06:08 CDT 2014
Mission Sample Count:  3778
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Mar 23 12:06:08 CDT 2014
Total Mission Samples:  3778
Total Device Samples:  28747
Temperature Logging:  disabled
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/23/14 12:06:08 PM,%RH,31.615
3/23/14 1:12:48 PM,%RH,36.809
3/23/14 2:19:28 PM,%RH,40.02
3/23/14 3:26:08 PM,%RH,30.961
3/23/14 4:32:48 PM,%RH,33.571
3/23/14 5:39:28 PM,%RH,34.87
3/23/14 6:46:08 PM,%RH,47.613
3/23/14 7:52:48 PM,%RH,58.704
3/23/14 8:59:28 PM,%RH,61.121
3/23/14 10:06:08 PM,%RH,54.433
3/23/14 11:12:48 PM,%RH,51.349
3/24/14 12:19:28 AM,%RH,53.819
3/24/14 1:26:08 AM,%RH,58.097
3/24/14 2:32:48 AM,%RH,59.915
3/24/14 3:39:28 AM,%RH,58.704
3/24/14 4:46:08 AM,%RH,60.518
3/24/14 5:52:48 AM,%RH,60.518
3/24/14 6:59:28 AM,%RH,59.915
3/24/14 8:06:08 AM,%RH,64.116
3/24/14 9:12:48 AM,%RH,36.164
3/24/14 10:19:28 AM,%RH,23.692
3/24/14 11:26:08 AM,%RH,18.322
3/24/14 12:32:48 PM,%RH,14.93
3/24/14 1:39:28 PM,%RH,18.997
3/24/14 2:46:08 PM,%RH,16.29
3/24/14 3:52:48 PM,%RH,18.322
3/24/14 4:59:28 PM,%RH,19.671
3/24/14 6:06:08 PM,%RH,27.013
3/24/14 7:12:48 PM,%RH,36.164
3/24/14 8:19:28 PM,%RH,38.739
3/24/14 9:26:08 PM,%RH,41.933
3/24/14 10:32:48 PM,%RH,39.38
3/24/14 11:39:28 PM,%RH,39.38
3/25/14 12:46:08 AM,%RH,41.933
3/25/14 1:52:48 AM,%RH,51.349
3/25/14 2:59:28 AM,%RH,57.49
3/25/14 4:06:08 AM,%RH,58.704
3/25/14 5:12:48 AM,%RH,58.704
3/25/14 6:19:28 AM,%RH,65.901
3/25/14 7:26:08 AM,%RH,74.096
3/25/14 8:32:48 AM,%RH,67.085
3/25/14 9:39:28 AM,%RH,50.108
3/25/14 10:46:08 AM,%RH,32.268
3/25/14 11:52:48 AM,%RH,34.87
3/25/14 12:59:28 PM,%RH,38.739
3/25/14 2:06:08 PM,%RH,39.38
3/25/14 3:12:48 PM,%RH,38.097
3/25/14 4:19:28 PM,%RH,46.358
3/25/14 5:26:08 PM,%RH,54.433
3/25/14 6:32:48 PM,%RH,84.316
3/25/14 7:39:28 PM,%RH,92.018
3/25/14 8:46:08 PM,%RH,94.179
3/25/14 9:52:48 PM,%RH,96.855
3/25/14 10:59:28 PM,%RH,92.56
3/26/14 12:06:08 AM,%RH,80.949
3/26/14 1:12:48 AM,%RH,87.643
3/26/14 2:19:28 AM,%RH,95.253
3/26/14 3:26:08 AM,%RH,80.949
3/26/14 4:32:48 AM,%RH,99.504
3/26/14 5:39:28 AM,%RH,99.504
3/26/14 6:46:08 AM,%RH,102.125
3/26/14 7:52:48 AM,%RH,102.125
3/26/14 8:59:28 AM,%RH,63.52
3/26/14 10:06:08 AM,%RH,48.863
3/26/14 11:12:48 AM,%RH,46.358
3/26/14 12:19:28 PM,%RH,36.809
3/26/14 1:26:08 PM,%RH,28.992
3/26/14 2:32:48 PM,%RH,27.013
3/26/14 3:39:28 PM,%RH,21.687
3/26/14 4:46:08 PM,%RH,18.322
3/26/14 5:52:48 PM,%RH,19.671
3/26/14 6:59:28 PM,%RH,19.671
3/26/14 8:06:08 PM,%RH,21.016
3/26/14 9:12:48 PM,%RH,23.025
3/26/14 10:19:28 PM,%RH,23.692
3/26/14 11:26:08 PM,%RH,27.674
3/27/14 12:32:48 AM,%RH,28.333
3/27/14 1:39:28 AM,%RH,30.306
3/27/14 2:46:08 AM,%RH,27.674
3/27/14 3:52:48 AM,%RH,27.013
3/27/14 4:59:28 AM,%RH,32.92
3/27/14 6:06:08 AM,%RH,32.92
3/27/14 7:12:48 AM,%RH,36.164
3/27/14 8:19:28 AM,%RH,38.097
3/27/14 9:26:08 AM,%RH,29.649
3/27/14 10:32:48 AM,%RH,25.688
3/27/14 11:39:28 AM,%RH,22.356
3/27/14 12:46:08 PM,%RH,19.671
3/27/14 1:52:48 PM,%RH,22.356
3/27/14 2:59:28 PM,%RH,19.671
3/27/14 4:06:08 PM,%RH,19.671
3/27/14 5:12:48 PM,%RH,19.671
3/27/14 6:19:28 PM,%RH,21.687
3/27/14 7:26:08 PM,%RH,23.692
3/27/14 8:32:48 PM,%RH,28.992
3/27/14 9:39:28 PM,%RH,33.571
3/27/14 10:46:08 PM,%RH,35.517
3/27/14 11:52:48 PM,%RH,34.221
3/28/14 12:59:28 AM,%RH,38.739
3/28/14 2:06:08 AM,%RH,40.02
3/28/14 3:12:48 AM,%RH,43.203
3/28/14 4:19:28 AM,%RH,46.358
3/28/14 5:26:08 AM,%RH,48.863
3/28/14 6:32:48 AM,%RH,49.486
3/28/14 7:39:28 AM,%RH,52.586
3/28/14 8:46:08 AM,%RH,40.659
3/28/14 9:52:48 AM,%RH,37.454
3/28/14 10:59:28 AM,%RH,24.359
3/28/14 12:06:08 PM,%RH,25.024
3/28/14 1:12:48 PM,%RH,23.025
3/28/14 2:19:28 PM,%RH,21.687
3/28/14 3:26:08 PM,%RH,22.356
3/28/14 4:32:48 PM,%RH,21.016
3/28/14 5:39:28 PM,%RH,22.356
3/28/14 6:46:08 PM,%RH,26.351
3/28/14 7:52:48 PM,%RH,36.164
3/28/14 8:59:28 PM,%RH,46.986
3/28/14 10:06:08 PM,%RH,50.108
3/28/14 11:12:48 PM,%RH,49.486
3/29/14 12:19:28 AM,%RH,54.433
3/29/14 1:26:08 AM,%RH,54.433
3/29/14 2:32:48 AM,%RH,57.49
3/29/14 3:39:28 AM,%RH,57.49
3/29/14 4:46:08 AM,%RH,52.586
3/29/14 5:52:48 AM,%RH,68.852
3/29/14 6:59:28 AM,%RH,68.264
3/29/14 8:06:08 AM,%RH,62.921
3/29/14 9:12:48 AM,%RH,47.613
3/29/14 10:19:28 AM,%RH,40.659
3/29/14 11:26:08 AM,%RH,30.306
3/29/14 12:32:48 PM,%RH,32.268
3/29/14 1:39:28 PM,%RH,33.571
3/29/14 2:46:08 PM,%RH,34.221
3/29/14 3:52:48 PM,%RH,34.221
3/29/14 4:59:28 PM,%RH,32.92
3/29/14 6:06:08 PM,%RH,32.268
3/29/14 7:12:48 PM,%RH,40.02
3/29/14 8:19:28 PM,%RH,45.099
3/29/14 9:26:08 PM,%RH,41.296
3/29/14 10:32:48 PM,%RH,40.659
3/29/14 11:39:28 PM,%RH,39.38
3/30/14 12:46:08 AM,%RH,34.87
3/30/14 1:52:48 AM,%RH,38.097
3/30/14 2:59:28 AM,%RH,41.933
3/30/14 4:06:08 AM,%RH,45.729
3/30/14 5:12:48 AM,%RH,28.333
3/30/14 6:19:28 AM,%RH,29.649
3/30/14 7:26:08 AM,%RH,29.649
3/30/14 8:32:48 AM,%RH,24.359
3/30/14 9:39:28 AM,%RH,26.351
3/30/14 10:46:08 AM,%RH,18.997
3/30/14 11:52:48 AM,%RH,20.344
3/30/14 12:59:28 PM,%RH,21.687
3/30/14 2:06:08 PM,%RH,19.671
3/30/14 3:12:48 PM,%RH,18.997
3/30/14 4:19:28 PM,%RH,18.322
3/30/14 5:26:08 PM,%RH,18.322
3/30/14 6:32:48 PM,%RH,18.322
3/30/14 7:39:28 PM,%RH,28.333
3/30/14 8:46:08 PM,%RH,34.87
3/30/14 9:52:48 PM,%RH,34.221
3/30/14 10:59:28 PM,%RH,20.344
3/31/14 12:06:08 AM,%RH,27.013
3/31/14 1:12:48 AM,%RH,30.306
3/31/14 2:19:28 AM,%RH,28.333
3/31/14 3:26:08 AM,%RH,38.097
3/31/14 4:32:48 AM,%RH,32.92
3/31/14 5:39:28 AM,%RH,44.468
3/31/14 6:46:08 AM,%RH,36.809
3/31/14 7:52:48 AM,%RH,33.571
3/31/14 8:59:28 AM,%RH,23.692
3/31/14 10:06:08 AM,%RH,21.016
3/31/14 11:12:48 AM,%RH,19.671
3/31/14 12:19:28 PM,%RH,16.969
3/31/14 1:26:08 PM,%RH,16.29
3/31/14 2:32:48 PM,%RH,14.93
3/31/14 3:39:28 PM,%RH,14.93
3/31/14 4:46:08 PM,%RH,13.565
3/31/14 5:52:48 PM,%RH,14.248
3/31/14 6:59:28 PM,%RH,16.29
3/31/14 8:06:08 PM,%RH,21.016
3/31/14 9:12:48 PM,%RH,26.351
3/31/14 10:19:28 PM,%RH,28.992
3/31/14 11:26:08 PM,%RH,35.517
4/1/14 12:32:48 AM,%RH,34.87
4/1/14 1:39:28 AM,%RH,29.649
4/1/14 2:46:08 AM,%RH,32.92
4/1/14 3:52:48 AM,%RH,31.615
4/1/14 4:59:28 AM,%RH,24.359
4/1/14 6:06:08 AM,%RH,27.674
4/1/14 7:12:48 AM,%RH,32.268
4/1/14 8:19:28 AM,%RH,30.961
4/1/14 9:26:08 AM,%RH,19.671
4/1/14 10:32:48 AM,%RH,18.997
4/1/14 11:39:28 AM,%RH,18.997
4/1/14 12:46:08 PM,%RH,18.322
4/1/14 1:52:48 PM,%RH,14.248
4/1/14 2:59:28 PM,%RH,13.565
4/1/14 4:06:08 PM,%RH,14.93
4/1/14 5:12:48 PM,%RH,14.93
4/1/14 6:19:28 PM,%RH,16.29
4/1/14 7:26:08 PM,%RH,17.646
4/1/14 8:32:48 PM,%RH,23.025
4/1/14 9:39:28 PM,%RH,29.649
4/1/14 10:46:08 PM,%RH,32.268
4/1/14 11:52:48 PM,%RH,29.649
4/2/14 12:59:28 AM,%RH,23.692
4/2/14 2:06:08 AM,%RH,24.359
4/2/14 3:12:48 AM,%RH,25.688
4/2/14 4:19:28 AM,%RH,26.351
4/2/14 5:26:08 AM,%RH,25.024
4/2/14 6:32:48 AM,%RH,28.992
4/2/14 7:39:28 AM,%RH,30.961
4/2/14 8:46:08 AM,%RH,23.025
4/2/14 9:52:48 AM,%RH,22.356
4/2/14 10:59:28 AM,%RH,20.344
4/2/14 12:06:08 PM,%RH,18.322
4/2/14 1:12:48 PM,%RH,17.646
4/2/14 2:19:28 PM,%RH,15.611
4/2/14 3:26:08 PM,%RH,14.248
4/2/14 4:32:48 PM,%RH,15.611
4/2/14 5:39:28 PM,%RH,16.29
4/2/14 6:46:08 PM,%RH,15.611
4/2/14 7:52:48 PM,%RH,15.611
4/2/14 8:59:28 PM,%RH,17.646
4/2/14 10:06:08 PM,%RH,19.671
4/2/14 11:12:48 PM,%RH,17.646
4/3/14 12:19:28 AM,%RH,19.671
4/3/14 1:26:08 AM,%RH,23.692
4/3/14 2:32:48 AM,%RH,31.615
4/3/14 3:39:28 AM,%RH,30.306
4/3/14 4:46:08 AM,%RH,26.351
4/3/14 5:52:48 AM,%RH,36.164
4/3/14 6:59:28 AM,%RH,45.099
4/3/14 8:06:08 AM,%RH,45.729
4/3/14 9:12:48 AM,%RH,32.92
4/3/14 10:19:28 AM,%RH,31.615
4/3/14 11:26:08 AM,%RH,24.359
4/3/14 12:32:48 PM,%RH,19.671
4/3/14 1:39:28 PM,%RH,13.565
4/3/14 2:46:08 PM,%RH,10.823
4/3/14 3:52:48 PM,%RH,12.197
4/3/14 4:59:28 PM,%RH,11.51
4/3/14 6:06:08 PM,%RH,12.882
4/3/14 7:12:48 PM,%RH,15.611
4/3/14 8:19:28 PM,%RH,17.646
4/3/14 9:26:08 PM,%RH,25.688
4/3/14 10:32:48 PM,%RH,27.013
4/3/14 11:39:28 PM,%RH,32.268
4/4/14 12:46:08 AM,%RH,36.809
4/4/14 1:52:48 AM,%RH,42.568
4/4/14 2:59:28 AM,%RH,42.568
4/4/14 4:06:08 AM,%RH,55.659
4/4/14 5:12:48 AM,%RH,47.613
4/4/14 6:19:28 AM,%RH,41.296
4/4/14 7:26:08 AM,%RH,39.38
4/4/14 8:32:48 AM,%RH,35.517
4/4/14 9:39:28 AM,%RH,31.615
4/4/14 10:46:08 AM,%RH,27.013
4/4/14 11:52:48 AM,%RH,27.674
4/4/14 12:59:28 PM,%RH,23.025
4/4/14 2:06:08 PM,%RH,25.688
4/4/14 3:12:48 PM,%RH,28.333
4/4/14 4:19:28 PM,%RH,26.351
4/4/14 5:26:08 PM,%RH,30.961
4/4/14 6:32:48 PM,%RH,32.268
4/4/14 7:39:28 PM,%RH,36.164
4/4/14 8:46:08 PM,%RH,34.87
4/4/14 9:52:48 PM,%RH,32.268
4/4/14 10:59:28 PM,%RH,28.992
4/5/14 12:06:08 AM,%RH,30.961
4/5/14 1:12:48 AM,%RH,32.268
4/5/14 2:19:28 AM,%RH,29.649
4/5/14 3:26:08 AM,%RH,29.649
4/5/14 4:32:48 AM,%RH,30.306
4/5/14 5:39:28 AM,%RH,37.454
4/5/14 6:46:08 AM,%RH,54.433
4/5/14 7:52:48 AM,%RH,53.203
4/5/14 8:59:28 AM,%RH,32.92
4/5/14 10:06:08 AM,%RH,24.359
4/5/14 11:12:48 AM,%RH,22.356
4/5/14 12:19:28 PM,%RH,23.025
4/5/14 1:26:08 PM,%RH,23.692
4/5/14 2:32:48 PM,%RH,25.688
4/5/14 3:39:28 PM,%RH,23.692
4/5/14 4:46:08 PM,%RH,23.692
