1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7C00000014928241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sun Jun 19 16:40:01 CDT 2011
Mission Sample Count:  1841
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Jun 19 16:40:01 CDT 2011
Total Mission Samples:  1841
Total Device Samples:  8343
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/19/11 4:40:01 PM,C,33.138
6/19/11 5:40:01 PM,C,33.138
6/19/11 6:40:01 PM,C,31.64
6/19/11 7:40:01 PM,C,30.142
6/19/11 8:40:01 PM,C,28.643
6/19/11 9:40:01 PM,C,27.144
6/19/11 10:40:01 PM,C,26.144
6/19/11 11:40:01 PM,C,24.645
6/20/11 12:40:01 AM,C,25.145
6/20/11 1:40:01 AM,C,23.144
6/20/11 2:40:01 AM,C,23.644
6/20/11 3:40:01 AM,C,22.144
6/20/11 4:40:01 AM,C,21.643
6/20/11 5:40:01 AM,C,21.143
6/20/11 6:40:01 AM,C,20.642
6/20/11 7:40:01 AM,C,20.142
6/20/11 8:40:01 AM,C,25.145
6/20/11 9:40:01 AM,C,27.644
6/20/11 10:40:01 AM,C,29.143
6/20/11 11:40:01 AM,C,27.644
6/20/11 12:40:01 PM,C,28.643
6/20/11 1:40:01 PM,C,28.144
6/20/11 2:40:01 PM,C,29.642
6/20/11 3:40:01 PM,C,28.643
6/20/11 4:40:01 PM,C,29.143
6/20/11 5:40:01 PM,C,29.143
6/20/11 6:40:01 PM,C,27.644
6/20/11 7:40:01 PM,C,26.644
6/20/11 8:40:01 PM,C,25.145
6/20/11 9:40:01 PM,C,19.141
6/20/11 10:40:01 PM,C,16.136
6/20/11 11:40:01 PM,C,15.134
6/21/11 12:40:01 AM,C,14.633
6/21/11 1:40:01 AM,C,14.132
6/21/11 2:40:01 AM,C,13.631
6/21/11 3:40:01 AM,C,13.13
6/21/11 4:40:01 AM,C,13.631
6/21/11 5:40:01 AM,C,13.13
6/21/11 6:40:01 AM,C,18.139
6/21/11 7:40:01 AM,C,17.639
6/21/11 8:40:01 AM,C,21.143
6/21/11 9:40:01 AM,C,22.144
6/21/11 10:40:01 AM,C,23.144
6/21/11 11:40:01 AM,C,26.144
6/21/11 12:40:01 PM,C,27.144
6/21/11 1:40:01 PM,C,28.643
6/21/11 2:40:01 PM,C,29.642
6/21/11 3:40:01 PM,C,30.142
6/21/11 4:40:01 PM,C,30.641
6/21/11 5:40:01 PM,C,30.142
6/21/11 6:40:01 PM,C,28.643
6/21/11 7:40:01 PM,C,26.644
6/21/11 8:40:01 PM,C,20.142
6/21/11 9:40:01 PM,C,17.639
6/21/11 10:40:01 PM,C,16.637
6/21/11 11:40:01 PM,C,16.637
6/22/11 12:40:01 AM,C,17.639
6/22/11 1:40:01 AM,C,19.641
6/22/11 2:40:01 AM,C,21.643
6/22/11 3:40:01 AM,C,19.641
6/22/11 4:40:01 AM,C,18.64
6/22/11 5:40:01 AM,C,17.138
6/22/11 6:40:01 AM,C,14.633
6/22/11 7:40:01 AM,C,14.132
6/22/11 8:40:01 AM,C,22.644
6/22/11 9:40:01 AM,C,30.641
6/22/11 10:40:01 AM,C,33.637
6/22/11 11:40:01 AM,C,26.644
6/22/11 12:40:01 PM,C,18.64
6/22/11 1:40:01 PM,C,25.145
6/22/11 2:40:01 PM,C,30.641
6/22/11 3:40:01 PM,C,29.642
6/22/11 4:40:01 PM,C,30.142
6/22/11 5:40:01 PM,C,29.642
6/22/11 6:40:01 PM,C,28.144
6/22/11 7:40:01 PM,C,27.144
6/22/11 8:40:01 PM,C,26.144
6/22/11 9:40:01 PM,C,24.645
6/22/11 10:40:01 PM,C,24.144
6/22/11 11:40:01 PM,C,23.644
6/23/11 12:40:01 AM,C,22.144
6/23/11 1:40:01 AM,C,21.643
6/23/11 2:40:01 AM,C,21.143
6/23/11 3:40:01 AM,C,21.643
6/23/11 4:40:01 AM,C,19.641
6/23/11 5:40:01 AM,C,18.64
6/23/11 6:40:01 AM,C,19.641
6/23/11 7:40:01 AM,C,18.139
6/23/11 8:40:01 AM,C,23.644
6/23/11 9:40:01 AM,C,32.639
6/23/11 10:40:01 AM,C,34.136
6/23/11 11:40:01 AM,C,34.635
6/23/11 12:40:01 PM,C,33.637
6/23/11 1:40:01 PM,C,34.136
