1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 9000000014957841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sun Jun 19 16:43:01 CDT 2011
Mission Sample Count:  1843
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Jun 19 16:43:01 CDT 2011
Total Mission Samples:  1843
Total Device Samples:  8689
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/19/11 4:43:01 PM,C,36.12
6/19/11 5:43:01 PM,C,34.622
6/19/11 6:43:01 PM,C,28.128
6/19/11 7:43:01 PM,C,27.129
6/19/11 8:43:01 PM,C,25.629
6/19/11 9:43:01 PM,C,24.629
6/19/11 10:43:01 PM,C,23.629
6/19/11 11:43:01 PM,C,23.129
6/20/11 12:43:01 AM,C,22.128
6/20/11 1:43:01 AM,C,21.128
6/20/11 2:43:01 AM,C,20.127
6/20/11 3:43:01 AM,C,19.626
6/20/11 4:43:01 AM,C,19.126
6/20/11 5:43:01 AM,C,18.125
6/20/11 6:43:01 AM,C,17.624
6/20/11 7:43:01 AM,C,17.624
6/20/11 8:43:01 AM,C,19.626
6/20/11 9:43:01 AM,C,19.626
6/20/11 10:43:01 AM,C,20.127
6/20/11 11:43:01 AM,C,20.627
6/20/11 12:43:01 PM,C,20.627
6/20/11 1:43:01 PM,C,21.628
6/20/11 2:43:01 PM,C,22.628
6/20/11 3:43:01 PM,C,24.129
6/20/11 4:43:01 PM,C,24.129
6/20/11 5:43:01 PM,C,24.129
6/20/11 6:43:01 PM,C,24.629
6/20/11 7:43:01 PM,C,24.129
6/20/11 8:43:01 PM,C,22.628
6/20/11 9:43:01 PM,C,21.628
6/20/11 10:43:01 PM,C,21.128
6/20/11 11:43:01 PM,C,19.626
6/21/11 12:43:01 AM,C,19.126
6/21/11 1:43:01 AM,C,18.625
6/21/11 2:43:01 AM,C,18.625
6/21/11 3:43:01 AM,C,18.125
6/21/11 4:43:01 AM,C,16.623
6/21/11 5:43:01 AM,C,16.122
6/21/11 6:43:01 AM,C,16.623
6/21/11 7:43:01 AM,C,15.622
6/21/11 8:43:01 AM,C,17.624
6/21/11 9:43:01 AM,C,19.126
6/21/11 10:43:01 AM,C,22.628
6/21/11 11:43:01 AM,C,23.629
6/21/11 12:43:01 PM,C,23.629
6/21/11 1:43:01 PM,C,24.129
6/21/11 2:43:01 PM,C,25.629
6/21/11 3:43:01 PM,C,25.629
6/21/11 4:43:01 PM,C,26.129
6/21/11 5:43:01 PM,C,26.129
6/21/11 6:43:01 PM,C,26.629
6/21/11 7:43:01 PM,C,25.129
6/21/11 8:43:01 PM,C,23.129
6/21/11 9:43:01 PM,C,20.627
6/21/11 10:43:01 PM,C,20.627
6/21/11 11:43:01 PM,C,20.127
6/22/11 12:43:01 AM,C,19.626
6/22/11 1:43:01 AM,C,20.127
6/22/11 2:43:01 AM,C,18.125
6/22/11 3:43:01 AM,C,16.122
6/22/11 4:43:01 AM,C,15.121
6/22/11 5:43:01 AM,C,18.125
6/22/11 6:43:01 AM,C,17.124
6/22/11 7:43:01 AM,C,20.627
6/22/11 8:43:01 AM,C,25.129
6/22/11 9:43:01 AM,C,26.629
6/22/11 10:43:01 AM,C,28.128
6/22/11 11:43:01 AM,C,22.128
6/22/11 12:43:01 PM,C,18.125
6/22/11 1:43:01 PM,C,22.128
6/22/11 2:43:01 PM,C,25.129
6/22/11 3:43:01 PM,C,26.629
6/22/11 4:43:01 PM,C,26.629
6/22/11 5:43:01 PM,C,26.629
6/22/11 6:43:01 PM,C,26.629
6/22/11 7:43:01 PM,C,25.129
6/22/11 8:43:01 PM,C,22.628
6/22/11 9:43:01 PM,C,21.128
6/22/11 10:43:01 PM,C,20.627
6/22/11 11:43:01 PM,C,19.626
6/23/11 12:43:01 AM,C,18.625
6/23/11 1:43:01 AM,C,18.625
6/23/11 2:43:01 AM,C,18.625
6/23/11 3:43:01 AM,C,18.625
6/23/11 4:43:01 AM,C,18.625
6/23/11 5:43:01 AM,C,18.625
6/23/11 6:43:01 AM,C,18.125
6/23/11 7:43:01 AM,C,21.128
6/23/11 8:43:01 AM,C,24.629
6/23/11 9:43:01 AM,C,27.628
6/23/11 10:43:01 AM,C,31.626
6/23/11 11:43:01 AM,C,27.129
6/23/11 12:43:01 PM,C,26.629
6/23/11 1:43:01 PM,C,27.129
6/23/11 2:43:01 PM,C,28.128
6/23/11 3:43:01 PM,C,29.627
6/23/11 4:43:01 PM,C,30.627
6/23/11 5:43:01 PM,C,28.628
6/23/11 6:43:01 PM,C,29.128
6/23/11 7:43:01 PM,C,28.128
6/23/11 8:43:01 PM,C,25.629
6/23/11 9:43:01 PM,C,23.129
6/23/11 10:43:01 PM,C,22.628
6/23/11 11:43:01 PM,C,21.628
6/24/11 12:43:01 AM,C,22.128
6/24/11 1:43:01 AM,C,21.628
6/24/11 2:43:01 AM,C,21.628
6/24/11 3:43:01 AM,C,22.128
6/24/11 4:43:01 AM,C,22.128
6/24/11 5:43:01 AM,C,21.628
6/24/11 6:43:01 AM,C,21.128
6/24/11 7:43:01 AM,C,22.628
6/24/11 8:43:01 AM,C,24.629
6/24/11 9:43:01 AM,C,27.129
6/24/11 10:43:01 AM,C,27.628
6/24/11 11:43:01 AM,C,28.128
6/24/11 12:43:01 PM,C,29.128
6/24/11 1:43:01 PM,C,30.627
6/24/11 2:43:01 PM,C,30.127
6/24/11 3:43:01 PM,C,31.626
6/24/11 4:43:01 PM,C,31.126
6/24/11 5:43:01 PM,C,31.126
6/24/11 6:43:01 PM,C,31.126
6/24/11 7:43:01 PM,C,30.127
6/24/11 8:43:01 PM,C,27.628
6/24/11 9:43:01 PM,C,26.129
6/24/11 10:43:01 PM,C,26.129
6/24/11 11:43:01 PM,C,25.629
6/25/11 12:43:01 AM,C,24.629
6/25/11 1:43:01 AM,C,24.629
6/25/11 2:43:01 AM,C,24.129
6/25/11 3:43:01 AM,C,23.629
6/25/11 4:43:01 AM,C,23.129
6/25/11 5:43:01 AM,C,22.628
6/25/11 6:43:01 AM,C,22.128
6/25/11 7:43:01 AM,C,24.629
6/25/11 8:43:01 AM,C,30.627
6/25/11 9:43:01 AM,C,30.127
6/25/11 10:43:01 AM,C,32.625
6/25/11 11:43:01 AM,C,31.126
6/25/11 12:43:01 PM,C,31.626
6/25/11 1:43:01 PM,C,31.626
6/25/11 2:43:01 PM,C,30.127
6/25/11 3:43:01 PM,C,31.626
6/25/11 4:43:01 PM,C,32.125
6/25/11 5:43:01 PM,C,31.626
6/25/11 6:43:01 PM,C,31.126
6/25/11 7:43:01 PM,C,30.627
6/25/11 8:43:01 PM,C,28.128
6/25/11 9:43:01 PM,C,26.629
6/25/11 10:43:01 PM,C,25.629
6/25/11 11:43:01 PM,C,24.629
6/26/11 12:43:01 AM,C,24.629
6/26/11 1:43:01 AM,C,24.129
6/26/11 2:43:01 AM,C,23.629
6/26/11 3:43:01 AM,C,24.129
6/26/11 4:43:01 AM,C,23.629
6/26/11 5:43:01 AM,C,23.129
6/26/11 6:43:01 AM,C,22.628
6/26/11 7:43:01 AM,C,25.629
6/26/11 8:43:01 AM,C,29.128
6/26/11 9:43:01 AM,C,30.627
6/26/11 10:43:01 AM,C,32.625
6/26/11 11:43:01 AM,C,30.127
6/26/11 12:43:01 PM,C,29.128
6/26/11 1:43:01 PM,C,31.126
6/26/11 2:43:01 PM,C,31.126
6/26/11 3:43:01 PM,C,32.625
6/26/11 4:43:01 PM,C,31.626
6/26/11 5:43:01 PM,C,32.625
6/26/11 6:43:01 PM,C,32.125
6/26/11 7:43:01 PM,C,31.126
6/26/11 8:43:01 PM,C,27.628
6/26/11 9:43:01 PM,C,26.129
6/26/11 10:43:01 PM,C,26.629
6/26/11 11:43:01 PM,C,25.629
6/27/11 12:43:01 AM,C,24.629
6/27/11 1:43:01 AM,C,24.629
6/27/11 2:43:01 AM,C,24.629
6/27/11 3:43:01 AM,C,23.629
6/27/11 4:43:01 AM,C,24.129
6/27/11 5:43:01 AM,C,23.129
6/27/11 6:43:01 AM,C,23.129
6/27/11 7:43:01 AM,C,24.129
6/27/11 8:43:01 AM,C,26.629
6/27/11 9:43:01 AM,C,28.128
6/27/11 10:43:01 AM,C,30.627
6/27/11 11:43:01 AM,C,29.627
