1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 840000001494DF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sun Jun 19 16:42:01 CDT 2011
Mission Sample Count:  1840
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Jun 19 16:42:01 CDT 2011
Total Mission Samples:  1840
Total Device Samples:  8326
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/19/11 4:42:01 PM,C,47.667
6/19/11 5:42:01 PM,C,48.659
6/19/11 6:42:01 PM,C,43.196
6/19/11 7:42:01 PM,C,37.723
6/19/11 8:42:01 PM,C,33.238
6/19/11 9:42:01 PM,C,29.745
6/19/11 10:42:01 PM,C,27.747
6/19/11 11:42:01 PM,C,26.248
6/20/11 12:42:01 AM,C,25.248
6/20/11 1:42:01 AM,C,24.748
6/20/11 2:42:01 AM,C,23.247
6/20/11 3:42:01 AM,C,22.747
6/20/11 4:42:01 AM,C,22.247
6/20/11 5:42:01 AM,C,21.245
6/20/11 6:42:01 AM,C,20.244
6/20/11 7:42:01 AM,C,19.743
6/20/11 8:42:01 AM,C,20.745
6/20/11 9:42:01 AM,C,21.746
6/20/11 10:42:01 AM,C,24.748
6/20/11 11:42:01 AM,C,24.748
6/20/11 12:42:01 PM,C,26.748
6/20/11 1:42:01 PM,C,26.748
6/20/11 2:42:01 PM,C,27.747
6/20/11 3:42:01 PM,C,27.747
6/20/11 4:42:01 PM,C,28.746
6/20/11 5:42:01 PM,C,28.247
6/20/11 6:42:01 PM,C,29.246
6/20/11 7:42:01 PM,C,27.747
6/20/11 8:42:01 PM,C,25.248
6/20/11 9:42:01 PM,C,21.245
6/20/11 10:42:01 PM,C,17.739
6/20/11 11:42:01 PM,C,17.238
6/21/11 12:42:01 AM,C,17.238
6/21/11 1:42:01 AM,C,17.739
6/21/11 2:42:01 AM,C,17.739
6/21/11 3:42:01 AM,C,17.238
6/21/11 4:42:01 AM,C,15.232
6/21/11 5:42:01 AM,C,18.24
6/21/11 6:42:01 AM,C,20.244
6/21/11 7:42:01 AM,C,17.739
