1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 5600000013058F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Jun 18 09:02:01 CDT 2011
Mission Sample Count:  4470
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Jun 18 09:02:01 CDT 2011
Total Mission Samples:  4470
Total Device Samples:  16145
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/18/11 9:02:01 AM,C,23.65
6/18/11 10:02:01 AM,C,24.15
6/18/11 11:02:01 AM,C,31.148
6/18/11 12:02:01 PM,C,42.132
6/18/11 1:02:01 PM,C,31.648
6/18/11 2:02:01 PM,C,33.646
6/18/11 3:02:01 PM,C,33.146
6/18/11 4:02:01 PM,C,33.646
6/18/11 5:02:01 PM,C,32.647
6/18/11 6:02:01 PM,C,31.648
6/18/11 7:02:01 PM,C,31.148
6/18/11 8:02:01 PM,C,29.649
6/18/11 9:02:01 PM,C,28.65
6/18/11 10:02:01 PM,C,26.65
6/18/11 11:02:01 PM,C,25.15
6/19/11 12:02:01 AM,C,25.65
6/19/11 1:02:01 AM,C,25.65
6/19/11 2:02:01 AM,C,25.65
6/19/11 3:02:01 AM,C,25.15
6/19/11 4:02:01 AM,C,24.15
6/19/11 5:02:01 AM,C,24.15
6/19/11 6:02:01 AM,C,23.65
6/19/11 7:02:01 AM,C,23.65
6/19/11 8:02:01 AM,C,24.15
6/19/11 9:02:01 AM,C,25.65
6/19/11 10:02:01 AM,C,32.647
6/19/11 11:02:01 AM,C,30.648
6/19/11 12:02:01 PM,C,32.647
6/19/11 1:02:01 PM,C,32.647
6/19/11 2:02:01 PM,C,32.647
6/19/11 3:02:01 PM,C,34.145
6/19/11 4:02:01 PM,C,34.145
6/19/11 5:02:01 PM,C,34.145
6/19/11 6:02:01 PM,C,34.145
6/19/11 7:02:01 PM,C,32.647
6/19/11 8:02:01 PM,C,32.147
6/19/11 9:02:01 PM,C,31.148
6/19/11 10:02:01 PM,C,30.149
6/19/11 11:02:01 PM,C,29.649
6/20/11 12:02:01 AM,C,28.65
6/20/11 1:02:01 AM,C,27.65
6/20/11 2:02:01 AM,C,27.15
6/20/11 3:02:01 AM,C,26.15
6/20/11 4:02:01 AM,C,25.15
6/20/11 5:02:01 AM,C,24.65
6/20/11 6:02:01 AM,C,23.65
6/20/11 7:02:01 AM,C,23.15
6/20/11 8:02:01 AM,C,22.65
6/20/11 9:02:01 AM,C,23.15
6/20/11 10:02:01 AM,C,28.65
6/20/11 11:02:01 AM,C,29.149
6/20/11 12:02:01 PM,C,29.649
6/20/11 1:02:01 PM,C,27.65
6/20/11 2:02:01 PM,C,30.648
6/20/11 3:02:01 PM,C,30.149
6/20/11 4:02:01 PM,C,30.149
6/20/11 5:02:01 PM,C,30.149
6/20/11 6:02:01 PM,C,30.648
6/20/11 7:02:01 PM,C,28.15
6/20/11 8:02:01 PM,C,27.65
6/20/11 9:02:01 PM,C,25.15
6/20/11 10:02:01 PM,C,24.15
6/20/11 11:02:01 PM,C,23.65
6/21/11 12:02:01 AM,C,24.15
6/21/11 1:02:01 AM,C,23.65
6/21/11 2:02:01 AM,C,23.65
6/21/11 3:02:01 AM,C,23.65
6/21/11 4:02:01 AM,C,22.65
6/21/11 5:02:01 AM,C,20.649
6/21/11 6:02:01 AM,C,20.149
6/21/11 7:02:01 AM,C,20.149
6/21/11 8:02:01 AM,C,19.649
6/21/11 9:02:01 AM,C,19.649
6/21/11 10:02:01 AM,C,27.15
6/21/11 11:02:01 AM,C,26.65
6/21/11 12:02:01 PM,C,29.149
6/21/11 1:02:01 PM,C,28.65
6/21/11 2:02:01 PM,C,30.648
6/21/11 3:02:01 PM,C,30.648
6/21/11 4:02:01 PM,C,30.149
6/21/11 5:02:01 PM,C,31.148
6/21/11 6:02:01 PM,C,31.648
6/21/11 7:02:01 PM,C,27.65
6/21/11 8:02:01 PM,C,26.65
6/21/11 9:02:01 PM,C,25.15
6/21/11 10:02:01 PM,C,25.65
6/21/11 11:02:01 PM,C,24.15
6/22/11 12:02:01 AM,C,23.15
6/22/11 1:02:01 AM,C,22.65
6/22/11 2:02:01 AM,C,22.65
6/22/11 3:02:01 AM,C,22.65
6/22/11 4:02:01 AM,C,21.65
6/22/11 5:02:01 AM,C,20.149
6/22/11 6:02:01 AM,C,18.648
6/22/11 7:02:01 AM,C,19.148
6/22/11 8:02:01 AM,C,20.149
6/22/11 9:02:01 AM,C,21.149
6/22/11 10:02:01 AM,C,33.646
6/22/11 11:02:01 AM,C,34.645
6/22/11 12:02:01 PM,C,26.65
6/22/11 1:02:01 PM,C,28.65
6/22/11 2:02:01 PM,C,28.15
6/22/11 3:02:01 PM,C,31.648
6/22/11 4:02:01 PM,C,32.147
6/22/11 5:02:01 PM,C,31.648
6/22/11 6:02:01 PM,C,33.646
6/22/11 7:02:01 PM,C,29.149
6/22/11 8:02:01 PM,C,28.65
6/22/11 9:02:01 PM,C,27.65
6/22/11 10:02:01 PM,C,26.65
6/22/11 11:02:01 PM,C,26.15
6/23/11 12:02:01 AM,C,25.15
6/23/11 1:02:01 AM,C,23.65
6/23/11 2:02:01 AM,C,23.15
6/23/11 3:02:01 AM,C,21.149
6/23/11 4:02:01 AM,C,20.149
6/23/11 5:02:01 AM,C,19.148
6/23/11 6:02:01 AM,C,19.148
6/23/11 7:02:01 AM,C,19.148
6/23/11 8:02:01 AM,C,19.148
6/23/11 9:02:01 AM,C,21.149
6/23/11 10:02:01 AM,C,33.646
6/23/11 11:02:01 AM,C,35.144
6/23/11 12:02:01 PM,C,36.143
6/23/11 1:02:01 PM,C,32.147
6/23/11 2:02:01 PM,C,35.644
6/23/11 3:02:01 PM,C,34.645
6/23/11 4:02:01 PM,C,34.145
6/23/11 5:02:01 PM,C,33.646
6/23/11 6:02:01 PM,C,35.644
6/23/11 7:02:01 PM,C,30.648
6/23/11 8:02:01 PM,C,29.649
6/23/11 9:02:01 PM,C,29.149
6/23/11 10:02:01 PM,C,27.15
6/23/11 11:02:01 PM,C,25.65
6/24/11 12:02:01 AM,C,24.65
6/24/11 1:02:01 AM,C,23.15
6/24/11 2:02:01 AM,C,22.65
6/24/11 3:02:01 AM,C,23.15
6/24/11 4:02:01 AM,C,25.15
6/24/11 5:02:01 AM,C,26.15
6/24/11 6:02:01 AM,C,26.15
6/24/11 7:02:01 AM,C,26.15
6/24/11 8:02:01 AM,C,25.65
6/24/11 9:02:01 AM,C,28.15
6/24/11 10:02:01 AM,C,34.145
6/24/11 11:02:01 AM,C,34.645
6/24/11 12:02:01 PM,C,36.143
6/24/11 1:02:01 PM,C,37.641
6/24/11 2:02:01 PM,C,38.14
6/24/11 3:02:01 PM,C,37.641
6/24/11 4:02:01 PM,C,36.143
6/24/11 5:02:01 PM,C,35.144
6/24/11 6:02:01 PM,C,36.642
6/24/11 7:02:01 PM,C,32.647
6/24/11 8:02:01 PM,C,31.148
6/24/11 9:02:01 PM,C,30.149
6/24/11 10:02:01 PM,C,29.649
6/24/11 11:02:01 PM,C,28.65
6/25/11 12:02:01 AM,C,28.65
6/25/11 1:02:01 AM,C,28.65
6/25/11 2:02:01 AM,C,27.65
6/25/11 3:02:01 AM,C,27.15
6/25/11 4:02:01 AM,C,26.65
6/25/11 5:02:01 AM,C,26.15
6/25/11 6:02:01 AM,C,26.15
6/25/11 7:02:01 AM,C,27.15
6/25/11 8:02:01 AM,C,27.15
6/25/11 9:02:01 AM,C,26.65
6/25/11 10:02:01 AM,C,37.141
6/25/11 11:02:01 AM,C,38.14
6/25/11 12:02:01 PM,C,39.138
6/25/11 1:02:01 PM,C,37.141
6/25/11 2:02:01 PM,C,39.637
6/25/11 3:02:01 PM,C,36.143
6/25/11 4:02:01 PM,C,36.642
6/25/11 5:02:01 PM,C,36.143
6/25/11 6:02:01 PM,C,37.641
6/25/11 7:02:01 PM,C,33.646
6/25/11 8:02:01 PM,C,31.648
6/25/11 9:02:01 PM,C,30.648
6/25/11 10:02:01 PM,C,30.149
6/25/11 11:02:01 PM,C,29.149
6/26/11 12:02:01 AM,C,29.149
