1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5C0000001492AB41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 2400 second(s)
Mission Start Time:  Sun Sep 04 09:43:01 GMT-06:00 2011
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Sep 04 09:43:01 GMT-06:00 2011
Total Mission Samples:  8192
Total Device Samples:  16772
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/4/11 9:43:01 AM,C,18.112
9/4/11 10:23:01 AM,C,16.609
9/4/11 11:03:01 AM,C,16.609
9/4/11 11:43:01 AM,C,16.609
9/4/11 12:23:01 PM,C,16.109
9/4/11 1:03:01 PM,C,14.605
9/4/11 1:43:01 PM,C,14.605
9/4/11 2:23:01 PM,C,14.104
9/4/11 3:03:01 PM,C,14.104
9/4/11 3:43:01 PM,C,14.605
9/4/11 4:23:01 PM,C,16.109
9/4/11 5:03:01 PM,C,16.609
9/4/11 5:43:01 PM,C,17.611
9/4/11 6:23:01 PM,C,15.608
9/4/11 7:03:01 PM,C,15.107
9/4/11 7:43:01 PM,C,14.605
9/4/11 8:23:01 PM,C,14.104
9/4/11 9:03:01 PM,C,14.104
9/4/11 9:43:01 PM,C,14.104
9/4/11 10:23:01 PM,C,14.104
9/4/11 11:03:01 PM,C,13.603
9/4/11 11:43:01 PM,C,13.603
9/5/11 12:23:01 AM,C,14.104
9/5/11 1:03:01 AM,C,14.104
9/5/11 1:43:01 AM,C,14.605
9/5/11 2:23:01 AM,C,14.104
9/5/11 3:03:01 AM,C,13.102
9/5/11 3:43:01 AM,C,11.598
9/5/11 4:23:01 AM,C,11.598
9/5/11 5:03:01 AM,C,11.598
9/5/11 5:43:01 AM,C,11.598
9/5/11 6:23:01 AM,C,11.598
