1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 9800000014961F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Wed Dec 21 14:23:01 GMT-06:00 2011
Mission Sample Count:  5857
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Dec 21 14:23:01 GMT-06:00 2011
Total Mission Samples:  5857
Total Device Samples:  17157
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/21/11 2:23:01 PM,C,12.671
12/21/11 2:53:01 PM,C,11.166
12/21/11 3:23:01 PM,C,10.162
12/21/11 3:53:01 PM,C,9.66
12/21/11 4:23:01 PM,C,8.153
12/21/11 4:53:01 PM,C,7.651
12/21/11 5:23:01 PM,C,7.651
12/21/11 5:53:01 PM,C,7.149
12/21/11 6:23:01 PM,C,6.646
12/21/11 6:53:01 PM,C,6.646
12/21/11 7:23:01 PM,C,6.144
12/21/11 7:53:01 PM,C,6.646
12/21/11 8:23:01 PM,C,7.149
12/21/11 8:53:01 PM,C,7.149
12/21/11 9:23:01 PM,C,7.149
12/21/11 9:53:01 PM,C,7.149
12/21/11 10:23:01 PM,C,7.149
12/21/11 10:53:01 PM,C,7.149
12/21/11 11:23:01 PM,C,6.646
12/21/11 11:53:01 PM,C,6.646
12/22/11 12:23:01 AM,C,6.646
12/22/11 12:53:01 AM,C,6.646
12/22/11 1:23:01 AM,C,6.144
12/22/11 1:53:01 AM,C,6.144
12/22/11 2:23:01 AM,C,6.144
12/22/11 2:53:01 AM,C,5.641
12/22/11 3:23:01 AM,C,5.139
12/22/11 3:53:01 AM,C,5.139
12/22/11 4:23:01 AM,C,5.641
12/22/11 4:53:01 AM,C,5.641
12/22/11 5:23:01 AM,C,4.636
12/22/11 5:53:01 AM,C,4.636
12/22/11 6:23:01 AM,C,5.139
12/22/11 6:53:01 AM,C,5.139
12/22/11 7:23:01 AM,C,5.641
12/22/11 7:53:01 AM,C,4.133
12/22/11 8:23:01 AM,C,7.149
12/22/11 8:53:01 AM,C,6.646
12/22/11 9:23:01 AM,C,7.651
12/22/11 9:53:01 AM,C,8.656
12/22/11 10:23:01 AM,C,8.153
12/22/11 10:53:01 AM,C,9.66
12/22/11 11:23:01 AM,C,8.153
12/22/11 11:53:01 AM,C,8.153
12/22/11 12:23:01 PM,C,7.651
12/22/11 12:53:01 PM,C,6.646
12/22/11 1:23:01 PM,C,6.144
12/22/11 1:53:01 PM,C,5.641
12/22/11 2:23:01 PM,C,6.144
12/22/11 2:53:01 PM,C,5.641
12/22/11 3:23:01 PM,C,5.139
12/22/11 3:53:01 PM,C,4.133
12/22/11 4:23:01 PM,C,3.631
12/22/11 4:53:01 PM,C,2.625
12/22/11 5:23:01 PM,C,2.625
12/22/11 5:53:01 PM,C,2.122
12/22/11 6:23:01 PM,C,1.619
12/22/11 6:53:01 PM,C,1.116
12/22/11 7:23:01 PM,C,0.109
12/22/11 7:53:01 PM,C,-1.401
12/22/11 8:23:01 PM,C,-1.904
12/22/11 8:53:01 PM,C,-1.904
12/22/11 9:23:01 PM,C,-1.904
12/22/11 9:53:01 PM,C,-1.904
12/22/11 10:23:01 PM,C,-2.408
12/22/11 10:53:01 PM,C,-2.911
12/22/11 11:23:01 PM,C,-2.911
12/22/11 11:53:01 PM,C,-3.415
12/23/11 12:23:01 AM,C,-3.415
12/23/11 12:53:01 AM,C,-3.415
12/23/11 1:23:01 AM,C,-3.415
12/23/11 1:53:01 AM,C,-3.415
12/23/11 2:23:01 AM,C,-3.415
12/23/11 2:53:01 AM,C,-3.415
12/23/11 3:23:01 AM,C,-3.919
12/23/11 3:53:01 AM,C,-3.919
12/23/11 4:23:01 AM,C,-3.919
12/23/11 4:53:01 AM,C,-3.919
12/23/11 5:23:01 AM,C,-3.919
12/23/11 5:53:01 AM,C,-4.423
12/23/11 6:23:01 AM,C,-4.423
12/23/11 6:53:01 AM,C,-4.423
12/23/11 7:23:01 AM,C,-4.423
12/23/11 7:53:01 AM,C,-4.423
12/23/11 8:23:01 AM,C,-4.423
12/23/11 8:53:01 AM,C,-4.423
12/23/11 9:23:01 AM,C,-4.423
12/23/11 9:53:01 AM,C,-3.919
12/23/11 10:23:01 AM,C,-3.919
12/23/11 10:53:01 AM,C,-3.415
12/23/11 11:23:01 AM,C,-3.415
12/23/11 11:53:01 AM,C,-3.415
12/23/11 12:23:01 PM,C,-3.415
12/23/11 12:53:01 PM,C,-2.911
12/23/11 1:23:01 PM,C,-2.911
12/23/11 1:53:01 PM,C,-2.911
12/23/11 2:23:01 PM,C,-2.911
12/23/11 2:53:01 PM,C,-2.911
12/23/11 3:23:01 PM,C,-2.911
12/23/11 3:53:01 PM,C,-3.415
12/23/11 4:23:01 PM,C,-3.415
12/23/11 4:53:01 PM,C,-3.415
12/23/11 5:23:01 PM,C,-3.415
12/23/11 5:53:01 PM,C,-3.415
12/23/11 6:23:01 PM,C,-3.919
12/23/11 6:53:01 PM,C,-3.415
12/23/11 7:23:01 PM,C,-3.415
12/23/11 7:53:01 PM,C,-3.415
12/23/11 8:23:01 PM,C,-3.415
12/23/11 8:53:01 PM,C,-3.919
12/23/11 9:23:01 PM,C,-3.919
12/23/11 9:53:01 PM,C,-3.919
12/23/11 10:23:01 PM,C,-3.919
12/23/11 10:53:01 PM,C,-4.423
