1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: C700000013471241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sun Apr 22 12:42:01 CDT 2012
Mission Sample Count:  8040
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Apr 22 12:42:01 CDT 2012
Total Mission Samples:  8040
Total Device Samples:  29857
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/22/12 12:42:01 PM,C,21.684
4/22/12 1:42:01 PM,C,23.185
4/22/12 2:42:01 PM,C,19.182
4/22/12 3:42:01 PM,C,19.683
4/22/12 4:42:01 PM,C,20.684
4/22/12 5:42:01 PM,C,19.182
4/22/12 6:42:01 PM,C,20.183
4/22/12 7:42:01 PM,C,18.181
4/22/12 8:42:01 PM,C,17.68
4/22/12 9:42:01 PM,C,17.179
4/22/12 10:42:01 PM,C,16.178
4/22/12 11:42:01 PM,C,15.677
4/23/12 12:42:01 AM,C,15.176
4/23/12 1:42:01 AM,C,13.673
4/23/12 2:42:01 AM,C,13.172
4/23/12 3:42:01 AM,C,12.67
4/23/12 4:42:01 AM,C,12.67
4/23/12 5:42:01 AM,C,13.172
4/23/12 6:42:01 AM,C,12.67
4/23/12 7:42:01 AM,C,7.656
4/23/12 8:42:01 AM,C,8.659
4/23/12 9:42:01 AM,C,12.67
4/23/12 10:42:01 AM,C,15.677
4/23/12 11:42:01 AM,C,17.68
4/23/12 12:42:01 PM,C,22.185
4/23/12 1:42:01 PM,C,22.185
4/23/12 2:42:01 PM,C,22.685
4/23/12 3:42:01 PM,C,24.686
4/23/12 4:42:01 PM,C,26.185
4/23/12 5:42:01 PM,C,23.685
4/23/12 6:42:01 PM,C,22.685
4/23/12 7:42:01 PM,C,18.181
4/23/12 8:42:01 PM,C,15.677
4/23/12 9:42:01 PM,C,16.679
4/23/12 10:42:01 PM,C,17.179
4/23/12 11:42:01 PM,C,17.179
4/24/12 12:42:01 AM,C,16.679
4/24/12 1:42:01 AM,C,16.178
4/24/12 2:42:01 AM,C,14.675
4/24/12 3:42:01 AM,C,15.677
4/24/12 4:42:01 AM,C,15.677
4/24/12 5:42:01 AM,C,15.677
4/24/12 6:42:01 AM,C,15.176
4/24/12 7:42:01 AM,C,15.677
4/24/12 8:42:01 AM,C,18.681
4/24/12 9:42:01 AM,C,22.185
4/24/12 10:42:01 AM,C,23.185
4/24/12 11:42:01 AM,C,23.685
4/24/12 12:42:01 PM,C,26.685
4/24/12 1:42:01 PM,C,24.185
4/24/12 2:42:01 PM,C,25.186
4/24/12 3:42:01 PM,C,26.685
4/24/12 4:42:01 PM,C,24.686
4/24/12 5:42:01 PM,C,25.686
4/24/12 6:42:01 PM,C,23.685
4/24/12 7:42:01 PM,C,21.184
4/24/12 8:42:01 PM,C,19.683
4/24/12 9:42:01 PM,C,18.681
4/24/12 10:42:01 PM,C,18.181
4/24/12 11:42:01 PM,C,18.181
4/25/12 12:42:01 AM,C,17.68
4/25/12 1:42:01 AM,C,17.179
4/25/12 2:42:01 AM,C,17.68
