1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 9800000014961F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Apr 21 16:25:01 CDT 2012
Mission Sample Count:  8065
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Apr 21 16:25:01 CDT 2012
Total Mission Samples:  8065
Total Device Samples:  25224
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/21/12 4:25:01 PM,C,30.688
4/21/12 5:25:01 PM,C,31.187
4/21/12 6:25:01 PM,C,29.689
4/21/12 7:25:01 PM,C,30.688
4/21/12 8:25:01 PM,C,24.191
4/21/12 9:25:01 PM,C,19.187
4/21/12 10:25:01 PM,C,20.188
4/21/12 11:25:01 PM,C,19.187
4/22/12 12:25:01 AM,C,18.185
4/22/12 1:25:01 AM,C,18.185
4/22/12 2:25:01 AM,C,17.684
4/22/12 3:25:01 AM,C,17.684
4/22/12 4:25:01 AM,C,17.684
4/22/12 5:25:01 AM,C,17.183
4/22/12 6:25:01 AM,C,17.183
4/22/12 7:25:01 AM,C,16.682
4/22/12 8:25:01 AM,C,19.187
4/22/12 9:25:01 AM,C,22.691
4/22/12 10:25:01 AM,C,27.691
4/22/12 11:25:01 AM,C,27.191
4/22/12 12:25:01 PM,C,28.19
4/22/12 1:25:01 PM,C,29.689
4/22/12 2:25:01 PM,C,31.686
4/22/12 3:25:01 PM,C,31.686
4/22/12 4:25:01 PM,C,31.686
4/22/12 5:25:01 PM,C,30.688
4/22/12 6:25:01 PM,C,28.19
4/22/12 7:25:01 PM,C,30.188
4/22/12 8:25:01 PM,C,24.691
4/22/12 9:25:01 PM,C,21.69
4/22/12 10:25:01 PM,C,22.19
4/22/12 11:25:01 PM,C,22.19
4/23/12 12:25:01 AM,C,18.686
4/23/12 1:25:01 AM,C,20.188
4/23/12 2:25:01 AM,C,18.686
4/23/12 3:25:01 AM,C,18.185
4/23/12 4:25:01 AM,C,16.181
4/23/12 5:25:01 AM,C,12.671
4/23/12 6:25:01 AM,C,12.671
4/23/12 7:25:01 AM,C,11.166
4/23/12 8:25:01 AM,C,12.671
4/23/12 9:25:01 AM,C,16.181
4/23/12 10:25:01 AM,C,20.188
4/23/12 11:25:01 AM,C,20.188
4/23/12 12:25:01 PM,C,21.189
4/23/12 1:25:01 PM,C,23.691
4/23/12 2:25:01 PM,C,25.691
4/23/12 3:25:01 PM,C,26.191
4/23/12 4:25:01 PM,C,27.191
4/23/12 5:25:01 PM,C,27.191
4/23/12 6:25:01 PM,C,27.691
4/23/12 7:25:01 PM,C,29.189
4/23/12 8:25:01 PM,C,22.691
4/23/12 9:25:01 PM,C,18.686
4/23/12 10:25:01 PM,C,15.679
4/23/12 11:25:01 PM,C,18.185
4/24/12 12:25:01 AM,C,17.183
4/24/12 1:25:01 AM,C,17.183
4/24/12 2:25:01 AM,C,17.183
4/24/12 3:25:01 AM,C,18.185
4/24/12 4:25:01 AM,C,19.187
4/24/12 5:25:01 AM,C,17.684
4/24/12 6:25:01 AM,C,18.185
4/24/12 7:25:01 AM,C,19.187
4/24/12 8:25:01 AM,C,22.691
4/24/12 9:25:01 AM,C,22.691
4/24/12 10:25:01 AM,C,26.691
4/24/12 11:25:01 AM,C,29.689
4/24/12 12:25:01 PM,C,30.688
4/24/12 1:25:01 PM,C,32.684
4/24/12 2:25:01 PM,C,32.684
4/24/12 3:25:01 PM,C,32.684
4/24/12 4:25:01 PM,C,32.684
4/24/12 5:25:01 PM,C,30.688
4/24/12 6:25:01 PM,C,33.183
4/24/12 7:25:01 PM,C,31.187
4/24/12 8:25:01 PM,C,26.691
4/24/12 9:25:01 PM,C,22.691
4/24/12 10:25:01 PM,C,23.191
4/24/12 11:25:01 PM,C,22.19
4/25/12 12:25:01 AM,C,22.19
