1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 5600000013058F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 4000 second(s)
Mission Start Time:  Sat Mar 23 16:34:22 CST 2013
Mission Sample Count:  7861
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Mar 23 16:34:22 CST 2013
Total Mission Samples:  7861
Total Device Samples:  37935
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/23/13 4:34:22 PM,C,18.147
3/23/13 5:41:02 PM,C,16.646
3/23/13 6:47:42 PM,C,15.645
3/23/13 7:54:22 PM,C,14.644
3/23/13 9:01:02 PM,C,13.141
3/23/13 10:07:42 PM,C,9.135
3/23/13 11:14:22 PM,C,5.126
3/24/13 12:21:02 AM,C,4.123
3/24/13 1:27:42 AM,C,1.616
3/24/13 2:34:22 AM,C,-0.39
3/24/13 3:41:02 AM,C,-2.396
3/24/13 4:47:42 AM,C,-3.4
3/24/13 5:54:22 AM,C,-3.4
3/24/13 7:01:02 AM,C,-4.404
3/24/13 8:07:42 AM,C,-3.902
3/24/13 9:14:22 AM,C,4.123
3/24/13 10:21:02 AM,C,4.123
3/24/13 11:27:42 AM,C,6.128
3/24/13 12:34:22 PM,C,6.128
3/24/13 1:41:02 PM,C,8.634
3/24/13 2:47:42 PM,C,8.634
3/24/13 3:54:22 PM,C,9.135
3/24/13 5:01:02 PM,C,7.631
3/24/13 6:07:42 PM,C,7.13
3/24/13 7:14:22 PM,C,5.627
3/24/13 8:21:02 PM,C,4.624
3/24/13 9:27:42 PM,C,2.619
3/24/13 10:34:22 PM,C,2.619
3/24/13 11:41:02 PM,C,1.616
3/25/13 12:47:42 AM,C,1.115
3/25/13 1:54:22 AM,C,0.613
3/25/13 3:01:02 AM,C,0.613
3/25/13 4:07:42 AM,C,0.613
3/25/13 5:14:22 AM,C,-1.393
3/25/13 6:21:02 AM,C,-2.396
3/25/13 7:27:42 AM,C,-3.4
3/25/13 8:34:22 AM,C,-3.4
3/25/13 9:41:02 AM,C,7.631
3/25/13 10:47:42 AM,C,3.12
3/25/13 11:54:22 AM,C,6.128
3/25/13 1:01:02 PM,C,5.627
3/25/13 2:07:42 PM,C,6.629
3/25/13 3:14:22 PM,C,7.631
3/25/13 4:21:02 PM,C,7.13
3/25/13 5:27:42 PM,C,6.128
3/25/13 6:34:22 PM,C,5.126
3/25/13 7:41:02 PM,C,4.123
3/25/13 8:47:42 PM,C,3.622
3/25/13 9:54:22 PM,C,2.619
3/25/13 11:01:02 PM,C,3.12
3/26/13 12:07:42 AM,C,3.12
3/26/13 1:14:22 AM,C,2.118
3/26/13 2:21:02 AM,C,1.115
3/26/13 3:27:42 AM,C,0.112
3/26/13 4:34:22 AM,C,-0.39
3/26/13 5:41:02 AM,C,-0.892
3/26/13 6:47:42 AM,C,-1.393
3/26/13 7:54:22 AM,C,-0.39
3/26/13 9:01:02 AM,C,7.631
3/26/13 10:07:42 AM,C,11.138
3/26/13 11:14:22 AM,C,12.641
3/26/13 12:21:02 PM,C,15.645
3/26/13 1:27:42 PM,C,15.645
3/26/13 2:34:22 PM,C,17.146
3/26/13 3:41:02 PM,C,19.148
3/26/13 4:47:42 PM,C,15.144
3/26/13 5:54:22 PM,C,15.645
3/26/13 7:01:02 PM,C,13.642
3/26/13 8:07:42 PM,C,11.639
3/26/13 9:14:22 PM,C,9.636
3/26/13 10:21:02 PM,C,8.634
3/26/13 11:27:42 PM,C,7.631
3/27/13 12:34:22 AM,C,7.13
3/27/13 1:41:02 AM,C,6.629
3/27/13 2:47:42 AM,C,9.135
3/27/13 3:54:22 AM,C,11.639
3/27/13 5:01:02 AM,C,11.639
3/27/13 6:07:42 AM,C,12.641
3/27/13 7:14:22 AM,C,11.639
3/27/13 8:21:02 AM,C,13.141
3/27/13 9:27:42 AM,C,20.649
3/27/13 10:34:22 AM,C,19.649
3/27/13 11:41:02 AM,C,21.65
3/27/13 12:47:42 PM,C,21.149
3/27/13 1:54:22 PM,C,20.649
3/27/13 3:01:02 PM,C,21.65
3/27/13 4:07:42 PM,C,20.649
3/27/13 5:14:22 PM,C,19.649
3/27/13 6:21:02 PM,C,19.148
3/27/13 7:27:42 PM,C,16.646
3/27/13 8:34:22 PM,C,15.645
3/27/13 9:41:02 PM,C,16.145
3/27/13 10:47:42 PM,C,15.645
3/27/13 11:54:22 PM,C,14.644
3/28/13 1:01:02 AM,C,14.143
3/28/13 2:07:42 AM,C,13.642
3/28/13 3:14:22 AM,C,13.642
3/28/13 4:21:02 AM,C,13.642
3/28/13 5:27:42 AM,C,13.642
3/28/13 6:34:22 AM,C,14.143
3/28/13 7:41:02 AM,C,14.143
3/28/13 8:47:42 AM,C,16.646
3/28/13 9:54:22 AM,C,22.65
3/28/13 11:01:02 AM,C,24.65
3/28/13 12:07:42 PM,C,23.65
3/28/13 1:14:22 PM,C,24.15
3/28/13 2:21:02 PM,C,22.65
3/28/13 3:27:42 PM,C,22.15
3/28/13 4:34:22 PM,C,21.65
3/28/13 5:41:02 PM,C,22.15
3/28/13 6:47:42 PM,C,20.649
3/28/13 7:54:22 PM,C,18.147
3/28/13 9:01:02 PM,C,17.647
3/28/13 10:07:42 PM,C,17.647
3/28/13 11:14:22 PM,C,17.146
3/29/13 12:21:02 AM,C,16.145
3/29/13 1:27:42 AM,C,15.645
3/29/13 2:34:22 AM,C,15.144
3/29/13 3:41:02 AM,C,14.644
3/29/13 4:47:42 AM,C,15.144
3/29/13 5:54:22 AM,C,15.144
3/29/13 7:01:02 AM,C,15.645
3/29/13 8:07:42 AM,C,15.645
3/29/13 9:14:22 AM,C,22.15
