1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: E2000000133CEF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 4000 second(s)
Mission Start Time:  Sat Mar 23 16:49:29 CST 2013
Mission Sample Count:  7861
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Mar 23 16:49:29 CST 2013
Total Mission Samples:  7861
Total Device Samples:  27471
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/23/13 4:49:29 PM,C,17.728
3/23/13 5:56:09 PM,C,15.723
3/23/13 7:02:49 PM,C,14.72
3/23/13 8:09:29 PM,C,13.215
3/23/13 9:16:09 PM,C,11.709
3/23/13 10:22:49 PM,C,7.691
3/23/13 11:29:29 PM,C,3.669
3/24/13 12:36:09 AM,C,2.663
3/24/13 1:42:49 AM,C,0.649
3/24/13 2:49:29 AM,C,-1.366
3/24/13 3:56:09 AM,C,-3.382
3/24/13 5:02:49 AM,C,-3.382
3/24/13 6:09:29 AM,C,-4.39
3/24/13 7:16:09 AM,C,-4.39
3/24/13 8:22:49 AM,C,-1.87
3/24/13 9:29:29 AM,C,2.663
3/24/13 10:36:09 AM,C,3.166
3/24/13 11:42:49 AM,C,6.686
3/24/13 12:49:29 PM,C,6.184
3/24/13 1:56:09 PM,C,8.194
3/24/13 3:02:49 PM,C,7.691
3/24/13 4:09:29 PM,C,6.686
3/24/13 5:16:09 PM,C,6.686
3/24/13 6:22:49 PM,C,6.184
3/24/13 7:29:29 PM,C,4.675
3/24/13 8:36:09 PM,C,3.166
3/24/13 9:42:49 PM,C,2.159
3/24/13 10:49:29 PM,C,1.656
3/24/13 11:56:09 PM,C,1.152
3/25/13 1:02:49 AM,C,1.152
3/25/13 2:09:29 AM,C,0.145
3/25/13 3:16:09 AM,C,0.649
3/25/13 4:22:49 AM,C,-0.358
3/25/13 5:29:29 AM,C,-2.374
3/25/13 6:36:09 AM,C,-3.382
3/25/13 7:42:49 AM,C,-4.39
3/25/13 8:49:29 AM,C,1.152
3/25/13 9:56:09 AM,C,1.656
3/25/13 11:02:49 AM,C,2.663
3/25/13 12:09:29 PM,C,6.686
3/25/13 1:16:09 PM,C,5.681
3/25/13 2:22:49 PM,C,7.691
3/25/13 3:29:29 PM,C,7.691
3/25/13 4:36:09 PM,C,5.178
3/25/13 5:42:49 PM,C,4.675
3/25/13 6:49:29 PM,C,4.172
3/25/13 7:56:09 PM,C,3.669
3/25/13 9:02:49 PM,C,2.663
3/25/13 10:09:29 PM,C,2.663
3/25/13 11:16:09 PM,C,2.159
3/26/13 12:22:49 AM,C,2.159
3/26/13 1:29:29 AM,C,1.656
3/26/13 2:36:09 AM,C,0.649
3/26/13 3:42:49 AM,C,-0.358
3/26/13 4:49:29 AM,C,-0.358
3/26/13 5:56:09 AM,C,-1.366
3/26/13 7:02:49 AM,C,-0.862
3/26/13 8:09:29 AM,C,0.145
3/26/13 9:16:09 AM,C,8.194
3/26/13 10:22:49 AM,C,9.199
3/26/13 11:29:29 AM,C,13.717
3/26/13 12:36:09 PM,C,13.215
3/26/13 1:42:49 PM,C,17.728
3/26/13 2:49:29 PM,C,16.726
3/26/13 3:56:09 PM,C,16.726
3/26/13 5:02:49 PM,C,14.218
3/26/13 6:09:29 PM,C,14.218
3/26/13 7:16:09 PM,C,12.713
3/26/13 8:22:49 PM,C,10.705
3/26/13 9:29:29 PM,C,10.203
3/26/13 10:36:09 PM,C,9.199
3/26/13 11:42:49 PM,C,8.696
3/27/13 12:49:29 AM,C,7.691
3/27/13 1:56:09 AM,C,9.701
3/27/13 3:02:49 AM,C,11.709
3/27/13 4:09:29 AM,C,12.211
3/27/13 5:16:09 AM,C,12.713
3/27/13 6:22:49 AM,C,11.709
3/27/13 7:29:29 AM,C,12.211
3/27/13 8:36:09 AM,C,17.227
3/27/13 9:42:49 AM,C,19.231
3/27/13 10:49:29 AM,C,20.233
3/27/13 11:56:09 AM,C,21.734
3/27/13 1:02:49 PM,C,20.733
3/27/13 2:09:29 PM,C,19.732
3/27/13 3:16:09 PM,C,20.733
3/27/13 4:22:49 PM,C,18.229
3/27/13 5:29:29 PM,C,18.73
3/27/13 6:36:09 PM,C,17.227
3/27/13 7:42:49 PM,C,16.224
3/27/13 8:49:29 PM,C,15.723
3/27/13 9:56:09 PM,C,15.723
3/27/13 11:02:49 PM,C,15.221
3/28/13 12:09:29 AM,C,14.218
3/28/13 1:16:09 AM,C,13.215
3/28/13 2:22:49 AM,C,13.215
3/28/13 3:29:29 AM,C,13.717
3/28/13 4:36:09 AM,C,13.717
3/28/13 5:42:49 AM,C,13.215
3/28/13 6:49:29 AM,C,14.218
3/28/13 7:56:09 AM,C,14.218
3/28/13 9:02:49 AM,C,22.735
3/28/13 10:09:29 AM,C,23.236
3/28/13 11:16:09 AM,C,23.236
3/28/13 12:22:49 PM,C,25.236
3/28/13 1:29:29 PM,C,23.736
3/28/13 2:36:09 PM,C,24.236
3/28/13 3:42:49 PM,C,21.234
3/28/13 4:49:29 PM,C,20.733
3/28/13 5:56:09 PM,C,20.733
3/28/13 7:02:49 PM,C,19.231
3/28/13 8:09:29 PM,C,17.728
3/28/13 9:16:09 PM,C,17.227
3/28/13 10:22:49 PM,C,17.227
3/28/13 11:29:29 PM,C,16.726
3/29/13 12:36:09 AM,C,15.723
3/29/13 1:42:49 AM,C,15.723
3/29/13 2:49:29 AM,C,14.72
3/29/13 3:56:09 AM,C,15.221
3/29/13 5:02:49 AM,C,15.221
3/29/13 6:09:29 AM,C,14.72
3/29/13 7:16:09 AM,C,15.221
3/29/13 8:22:49 AM,C,18.73
3/29/13 9:29:29 AM,C,23.736
3/29/13 10:36:09 AM,C,23.236
3/29/13 11:42:49 AM,C,25.736
3/29/13 12:49:29 PM,C,23.736
3/29/13 1:56:09 PM,C,24.736
3/29/13 3:02:49 PM,C,24.236
3/29/13 4:09:29 PM,C,21.734
3/29/13 5:16:09 PM,C,21.234
3/29/13 6:22:49 PM,C,19.732
3/29/13 7:29:29 PM,C,18.229
3/29/13 8:36:09 PM,C,17.728
3/29/13 9:42:49 PM,C,16.726
3/29/13 10:49:29 PM,C,16.224
3/29/13 11:56:09 PM,C,16.224
3/30/13 1:02:49 AM,C,16.224
3/30/13 2:09:29 AM,C,15.723
3/30/13 3:16:09 AM,C,16.224
3/30/13 4:22:49 AM,C,16.224
3/30/13 5:29:29 AM,C,15.221
3/30/13 6:36:09 AM,C,15.221
3/30/13 7:42:49 AM,C,15.723
3/30/13 8:49:29 AM,C,21.234
3/30/13 9:56:09 AM,C,22.735
3/30/13 11:02:49 AM,C,23.236
3/30/13 12:09:29 PM,C,25.236
3/30/13 1:16:09 PM,C,25.236
3/30/13 2:22:49 PM,C,22.735
3/30/13 3:29:29 PM,C,23.736
3/30/13 4:36:09 PM,C,22.235
3/30/13 5:42:49 PM,C,21.234
3/30/13 6:49:29 PM,C,19.732
3/30/13 7:56:09 PM,C,18.73
3/30/13 9:02:49 PM,C,18.229
3/30/13 10:09:29 PM,C,18.229
3/30/13 11:16:09 PM,C,17.728
3/31/13 12:22:49 AM,C,16.224
3/31/13 1:29:29 AM,C,16.224
3/31/13 2:36:09 AM,C,15.723
3/31/13 3:42:49 AM,C,16.224
3/31/13 4:49:29 AM,C,14.72
3/31/13 5:56:09 AM,C,15.221
3/31/13 7:02:49 AM,C,15.723
3/31/13 8:09:29 AM,C,13.717
3/31/13 9:16:09 AM,C,14.218
3/31/13 10:22:49 AM,C,16.224
3/31/13 11:29:29 AM,C,21.234
3/31/13 12:36:09 PM,C,20.733
3/31/13 1:42:49 PM,C,18.73
3/31/13 2:49:29 PM,C,19.231
3/31/13 3:56:09 PM,C,20.233
3/31/13 5:02:49 PM,C,17.227
3/31/13 6:09:29 PM,C,16.726
3/31/13 7:16:09 PM,C,15.723
3/31/13 8:22:49 PM,C,14.72
3/31/13 9:29:29 PM,C,14.218
3/31/13 10:36:09 PM,C,13.717
3/31/13 11:42:49 PM,C,12.713
4/1/13 12:49:29 AM,C,12.211
4/1/13 1:56:09 AM,C,12.211
4/1/13 3:02:49 AM,C,11.709
4/1/13 4:09:29 AM,C,11.207
4/1/13 5:16:09 AM,C,11.207
4/1/13 6:22:49 AM,C,11.709
4/1/13 7:29:29 AM,C,12.211
4/1/13 8:36:09 AM,C,20.733
4/1/13 9:42:49 AM,C,23.236
4/1/13 10:49:29 AM,C,22.735
4/1/13 11:56:09 AM,C,24.736
4/1/13 1:02:49 PM,C,23.736
4/1/13 2:09:29 PM,C,23.736
4/1/13 3:16:09 PM,C,24.236
4/1/13 4:22:49 PM,C,22.235
4/1/13 5:29:29 PM,C,21.234
4/1/13 6:36:09 PM,C,19.732
4/1/13 7:42:49 PM,C,18.73
4/1/13 8:49:29 PM,C,18.229
4/1/13 9:56:09 PM,C,17.728
