1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 1400000013C7C641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 4000 second(s)
Mission Start Time:  Sat Mar 23 18:09:51 CST 2013
Mission Sample Count:  7840
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Mar 23 18:09:51 CST 2013
Total Mission Samples:  7840
Total Device Samples:  23931
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/23/13 6:09:51 PM,C,22.173
3/23/13 7:16:31 PM,C,16.664
3/23/13 8:23:11 PM,C,15.661
3/23/13 9:29:51 PM,C,14.157
3/23/13 10:36:31 PM,C,13.154
3/23/13 11:43:11 PM,C,12.15
3/24/13 12:49:51 AM,C,8.635
3/24/13 1:56:31 AM,C,4.614
3/24/13 3:03:11 AM,C,0.086
3/24/13 4:09:51 AM,C,-2.433
3/24/13 5:16:31 AM,C,-3.945
3/24/13 6:23:11 AM,C,-4.449
3/24/13 7:29:51 AM,C,-5.458
3/24/13 8:36:31 AM,C,-4.953
3/24/13 9:43:11 AM,C,-1.929
3/24/13 10:49:51 AM,C,1.092
3/24/13 11:56:31 AM,C,3.105
3/24/13 1:03:11 PM,C,4.112
3/24/13 2:09:51 PM,C,5.62
3/24/13 3:16:31 PM,C,7.128
3/24/13 4:23:11 PM,C,8.635
3/24/13 5:29:51 PM,C,10.142
3/24/13 6:36:31 PM,C,9.64
3/24/13 7:43:11 PM,C,7.128
3/24/13 8:49:51 PM,C,5.117
3/24/13 9:56:31 PM,C,3.609
3/24/13 11:03:11 PM,C,2.099
3/25/13 12:09:51 AM,C,1.092
3/25/13 1:16:31 AM,C,0.589
3/25/13 2:23:11 AM,C,0.589
3/25/13 3:29:51 AM,C,0.589
3/25/13 4:36:31 AM,C,0.589
3/25/13 5:43:11 AM,C,0.086
3/25/13 6:49:51 AM,C,-1.425
3/25/13 7:56:31 AM,C,-2.433
3/25/13 9:03:11 AM,C,-3.441
3/25/13 10:09:51 AM,C,-0.922
3/25/13 11:16:31 AM,C,0.589
3/25/13 12:23:11 PM,C,3.105
3/25/13 1:29:51 PM,C,4.112
3/25/13 2:36:31 PM,C,5.117
3/25/13 3:43:11 PM,C,6.626
3/25/13 4:49:51 PM,C,8.133
3/25/13 5:56:31 PM,C,8.635
3/25/13 7:03:11 PM,C,6.626
3/25/13 8:09:51 PM,C,5.117
3/25/13 9:16:31 PM,C,3.609
3/25/13 10:23:11 PM,C,3.105
3/25/13 11:29:51 PM,C,2.602
3/26/13 12:36:31 AM,C,2.602
3/26/13 1:43:11 AM,C,2.099
3/26/13 2:49:51 AM,C,1.596
3/26/13 3:56:31 AM,C,0.086
3/26/13 5:03:11 AM,C,0.086
3/26/13 6:09:51 AM,C,-0.922
3/26/13 7:16:31 AM,C,-1.425
3/26/13 8:23:11 AM,C,-0.922
3/26/13 9:29:51 AM,C,2.602
3/26/13 10:36:31 AM,C,7.631
3/26/13 11:43:11 AM,C,10.644
3/26/13 12:49:51 PM,C,11.648
