1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 9000000014957841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 4000 second(s)
Mission Start Time:  Sun Mar 23 13:34:28 CDT 2014
Mission Sample Count:  3778
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Mar 23 13:34:28 CDT 2014
Total Mission Samples:  3778
Total Device Samples:  36593
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/23/14 1:34:28 PM,C,13.117
3/23/14 2:41:08 PM,C,9.61
3/23/14 3:47:48 PM,C,20.127
3/23/14 4:54:28 PM,C,16.623
3/23/14 6:01:08 PM,C,9.61
3/23/14 7:07:48 PM,C,6.1
3/23/14 8:14:28 PM,C,5.599
3/23/14 9:21:08 PM,C,5.097
3/23/14 10:27:48 PM,C,5.599
3/23/14 11:34:28 PM,C,5.097
3/24/14 12:41:08 AM,C,5.097
3/24/14 1:47:48 AM,C,6.1
3/24/14 2:54:28 AM,C,6.602
3/24/14 4:01:08 AM,C,6.1
3/24/14 5:07:48 AM,C,4.596
3/24/14 6:14:28 AM,C,4.596
3/24/14 7:21:08 AM,C,5.599
3/24/14 8:27:48 AM,C,27.628
3/24/14 9:34:28 AM,C,35.62
3/24/14 10:41:08 AM,C,20.627
3/24/14 11:47:48 AM,C,24.129
3/24/14 12:54:28 PM,C,18.125
3/24/14 2:01:08 PM,C,16.122
3/24/14 3:07:48 PM,C,14.62
3/24/14 4:14:28 PM,C,18.625
3/24/14 5:21:08 PM,C,13.618
3/24/14 6:27:48 PM,C,11.113
3/24/14 7:34:28 PM,C,8.106
3/24/14 8:41:08 PM,C,8.106
3/24/14 9:47:48 PM,C,7.605
3/24/14 10:54:28 PM,C,8.106
3/25/14 12:01:08 AM,C,7.605
3/25/14 1:07:48 AM,C,5.097
3/25/14 2:14:28 AM,C,4.596
3/25/14 3:21:08 AM,C,4.094
3/25/14 4:27:48 AM,C,3.592
3/25/14 5:34:28 AM,C,1.083
3/25/14 6:41:08 AM,C,2.087
3/25/14 7:47:48 AM,C,7.605
3/25/14 8:54:28 AM,C,19.626
3/25/14 10:01:08 AM,C,21.628
3/25/14 11:07:48 AM,C,19.626
3/25/14 12:14:28 PM,C,17.124
3/25/14 1:21:08 PM,C,15.622
3/25/14 2:27:48 PM,C,14.62
3/25/14 3:34:28 PM,C,21.628
3/25/14 4:41:08 PM,C,11.614
3/25/14 5:47:48 PM,C,7.103
3/25/14 6:54:28 PM,C,5.599
3/25/14 8:01:08 PM,C,4.596
3/25/14 9:07:48 PM,C,5.097
3/25/14 10:14:28 PM,C,5.097
3/25/14 11:21:08 PM,C,4.596
3/26/14 12:27:48 AM,C,4.596
3/26/14 1:34:28 AM,C,5.097
3/26/14 2:41:08 AM,C,4.596
3/26/14 3:47:48 AM,C,4.596
3/26/14 4:54:28 AM,C,4.094
