1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6D00000014986541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 4000 second(s)
Mission Start Time:  Sat Mar 22 08:18:02 CDT 2014
Mission Sample Count:  7739
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Mar 22 08:18:02 CDT 2014
Total Mission Samples:  7739
Total Device Samples:  44531
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/22/14 8:18:02 AM,C,10.637
3/22/14 9:24:42 AM,C,10.136
3/22/14 10:31:22 AM,C,10.637
3/22/14 11:38:02 AM,C,15.65
3/22/14 12:44:42 PM,C,14.648
3/22/14 1:51:22 PM,C,17.153
3/22/14 2:58:02 PM,C,22.659
3/22/14 4:04:42 PM,C,19.657
3/22/14 5:11:22 PM,C,16.652
3/22/14 6:18:02 PM,C,16.151
3/22/14 7:24:42 PM,C,15.149
3/22/14 8:31:22 PM,C,12.643
3/22/14 9:38:02 PM,C,10.136
3/22/14 10:44:42 PM,C,10.637
3/22/14 11:51:22 PM,C,9.634
3/23/14 12:58:02 AM,C,9.634
3/23/14 2:04:42 AM,C,9.132
3/23/14 3:11:22 AM,C,8.129
3/23/14 4:18:02 AM,C,8.631
3/23/14 5:24:42 AM,C,1.098
3/23/14 6:31:22 AM,C,0.595
3/23/14 7:38:02 AM,C,0.595
3/23/14 8:44:42 AM,C,0.092
3/23/14 9:51:22 AM,C,2.103
3/23/14 10:58:02 AM,C,4.112
3/23/14 12:04:42 PM,C,6.121
3/23/14 1:11:22 PM,C,6.121
3/23/14 2:18:02 PM,C,7.125
3/23/14 3:24:42 PM,C,8.129
3/23/14 4:31:22 PM,C,7.627
3/23/14 5:38:02 PM,C,6.623
3/23/14 6:44:42 PM,C,5.619
3/23/14 7:51:22 PM,C,3.61
3/23/14 8:58:02 PM,C,3.108
3/23/14 10:04:42 PM,C,2.605
3/23/14 11:11:22 PM,C,7.125
3/24/14 12:18:02 AM,C,7.125
3/24/14 1:24:42 AM,C,9.132
3/24/14 2:31:22 AM,C,8.631
3/24/14 3:38:02 AM,C,11.139
3/24/14 4:44:42 AM,C,10.637
3/24/14 5:51:22 AM,C,11.139
3/24/14 6:58:02 AM,C,10.637
3/24/14 8:04:42 AM,C,16.652
3/24/14 9:11:22 AM,C,18.656
3/24/14 10:18:02 AM,C,20.658
3/24/14 11:24:42 AM,C,22.659
3/24/14 12:31:22 PM,C,20.157
3/24/14 1:38:02 PM,C,21.659
3/24/14 2:44:42 PM,C,21.659
3/24/14 3:51:22 PM,C,21.659
3/24/14 4:58:02 PM,C,17.153
3/24/14 6:04:42 PM,C,15.65
3/24/14 7:11:22 PM,C,14.648
3/24/14 8:18:02 PM,C,13.646
3/24/14 9:24:42 PM,C,12.142
3/24/14 10:31:22 PM,C,12.643
3/24/14 11:38:02 PM,C,11.64
3/25/14 12:44:42 AM,C,10.637
3/25/14 1:51:22 AM,C,9.634
3/25/14 2:58:02 AM,C,7.125
3/25/14 4:04:42 AM,C,5.117
3/25/14 5:11:22 AM,C,3.61
3/25/14 6:18:02 AM,C,2.605
3/25/14 7:24:42 AM,C,3.108
3/25/14 8:31:22 AM,C,4.614
3/25/14 9:38:02 AM,C,6.121
3/25/14 10:44:42 AM,C,11.139
3/25/14 11:51:22 AM,C,12.643
3/25/14 12:58:02 PM,C,10.637
3/25/14 2:04:42 PM,C,11.139
3/25/14 3:11:22 PM,C,11.64
3/25/14 4:18:02 PM,C,8.631
3/25/14 5:24:42 PM,C,8.129
3/25/14 6:31:22 PM,C,9.132
3/25/14 7:38:02 PM,C,7.125
3/25/14 8:44:42 PM,C,8.129
3/25/14 9:51:22 PM,C,7.627
3/25/14 10:58:02 PM,C,8.129
3/26/14 12:04:42 AM,C,7.125
3/26/14 1:11:22 AM,C,6.623
3/26/14 2:18:02 AM,C,6.623
3/26/14 3:24:42 AM,C,7.627
3/26/14 4:31:22 AM,C,6.623
3/26/14 5:38:02 AM,C,4.614
3/26/14 6:44:42 AM,C,4.614
3/26/14 7:51:22 AM,C,7.125
3/26/14 8:58:02 AM,C,13.646
3/26/14 10:04:42 AM,C,14.648
3/26/14 11:11:22 AM,C,16.652
3/26/14 12:18:02 PM,C,17.153
3/26/14 1:24:42 PM,C,17.153
3/26/14 2:31:22 PM,C,19.156
3/26/14 3:38:02 PM,C,21.158
3/26/14 4:44:42 PM,C,17.654
3/26/14 5:51:22 PM,C,16.151
3/26/14 6:58:02 PM,C,16.151
3/26/14 8:04:42 PM,C,16.151
3/26/14 9:11:22 PM,C,15.65
3/26/14 10:18:02 PM,C,15.149
3/26/14 11:24:42 PM,C,14.648
3/27/14 12:31:22 AM,C,14.648
