1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 6400000013060641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 4000 second(s)
Mission Start Time:  Fri Mar 21 12:50:10 CDT 2014
Mission Sample Count:  7735
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Mar 21 12:50:10 CDT 2014
Total Mission Samples:  7735
Total Device Samples:  32269
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/21/14 12:50:10 PM,C,23.662
3/21/14 1:56:50 PM,C,21.661
3/21/14 3:03:30 PM,C,22.661
3/21/14 4:10:10 PM,C,22.661
3/21/14 5:16:50 PM,C,20.66
3/21/14 6:23:30 PM,C,19.658
3/21/14 7:30:10 PM,C,18.657
3/21/14 8:36:50 PM,C,18.657
3/21/14 9:43:30 PM,C,18.657
3/21/14 10:50:10 PM,C,18.156
3/21/14 11:56:50 PM,C,18.156
3/22/14 1:03:30 AM,C,17.655
3/22/14 2:10:10 AM,C,17.154
3/22/14 3:16:50 AM,C,9.633
3/22/14 4:23:30 AM,C,8.127
3/22/14 5:30:10 AM,C,6.621
3/22/14 6:36:50 AM,C,4.109
3/22/14 7:43:30 AM,C,5.114
3/22/14 8:50:10 AM,C,8.629
3/22/14 9:56:50 AM,C,11.138
3/22/14 11:03:30 AM,C,12.142
3/22/14 12:10:10 PM,C,17.154
3/22/14 1:16:50 PM,C,16.152
3/22/14 2:23:30 PM,C,19.658
3/22/14 3:30:10 PM,C,23.662
3/22/14 4:36:50 PM,C,21.661
3/22/14 5:43:30 PM,C,20.159
3/22/14 6:50:10 PM,C,18.156
3/22/14 7:56:50 PM,C,14.148
3/22/14 9:03:30 PM,C,12.643
3/22/14 10:10:10 PM,C,9.633
3/22/14 11:16:50 PM,C,9.131
3/23/14 12:23:30 AM,C,7.625
3/23/14 1:30:10 AM,C,7.123
3/23/14 2:36:50 AM,C,6.621
3/23/14 3:43:30 AM,C,7.625
3/23/14 4:50:10 AM,C,3.607
3/23/14 5:56:50 AM,C,2.098
3/23/14 7:03:30 AM,C,1.596
3/23/14 8:10:10 AM,C,1.093
3/23/14 9:16:50 AM,C,1.596
3/23/14 10:23:30 AM,C,4.109
3/23/14 11:30:10 AM,C,4.612
3/23/14 12:36:50 PM,C,5.616
3/23/14 1:43:30 PM,C,7.123
3/23/14 2:50:10 PM,C,9.633
3/23/14 3:56:50 PM,C,12.142
3/23/14 5:03:30 PM,C,10.135
3/23/14 6:10:10 PM,C,8.127
3/23/14 7:16:50 PM,C,5.616
3/23/14 8:23:30 PM,C,4.109
3/23/14 9:30:10 PM,C,2.601
3/23/14 10:36:50 PM,C,2.601
3/23/14 11:43:30 PM,C,1.596
3/24/14 12:50:10 AM,C,2.098
3/24/14 1:56:50 AM,C,4.612
3/24/14 3:03:30 AM,C,4.109
3/24/14 4:10:10 AM,C,5.114
3/24/14 5:16:50 AM,C,8.127
3/24/14 6:23:30 AM,C,8.127
3/24/14 7:30:10 AM,C,12.142
3/24/14 8:36:50 AM,C,17.655
3/24/14 9:43:30 AM,C,19.158
3/24/14 10:50:10 AM,C,18.657
3/24/14 11:56:50 AM,C,21.661
3/24/14 1:03:30 PM,C,20.66
3/24/14 2:10:10 PM,C,22.161
3/24/14 3:16:50 PM,C,22.661
3/24/14 4:23:30 PM,C,23.662
3/24/14 5:30:10 PM,C,21.16
3/24/14 6:36:50 PM,C,16.653
3/24/14 7:43:30 PM,C,14.649
3/24/14 8:50:10 PM,C,13.646
3/24/14 9:56:50 PM,C,13.145
3/24/14 11:03:30 PM,C,12.643
3/25/14 12:10:10 AM,C,12.142
3/25/14 1:16:50 AM,C,10.637
3/25/14 2:23:30 AM,C,9.131
3/25/14 3:30:10 AM,C,7.123
3/25/14 4:36:50 AM,C,5.616
3/25/14 5:43:30 AM,C,4.612
3/25/14 6:50:10 AM,C,2.601
3/25/14 7:56:50 AM,C,3.607
3/25/14 9:03:30 AM,C,5.114
3/25/14 10:10:10 AM,C,7.123
3/25/14 11:16:50 AM,C,8.629
3/25/14 12:23:30 PM,C,12.142
3/25/14 1:30:10 PM,C,12.142
3/25/14 2:36:50 PM,C,13.145
3/25/14 3:43:30 PM,C,14.148
3/25/14 4:50:10 PM,C,10.637
3/25/14 5:56:50 PM,C,9.633
3/25/14 7:03:30 PM,C,9.131
3/25/14 8:10:10 PM,C,8.629
3/25/14 9:16:50 PM,C,9.131
3/25/14 10:23:30 PM,C,8.629
3/25/14 11:30:10 PM,C,8.127
3/26/14 12:36:50 AM,C,7.123
3/26/14 1:43:30 AM,C,7.123
3/26/14 2:50:10 AM,C,7.123
3/26/14 3:56:50 AM,C,6.119
3/26/14 5:03:30 AM,C,6.119
3/26/14 6:10:10 AM,C,5.616
3/26/14 7:16:50 AM,C,5.616
3/26/14 8:23:30 AM,C,7.625
3/26/14 9:30:10 AM,C,13.145
3/26/14 10:36:50 AM,C,14.649
3/26/14 11:43:30 AM,C,16.152
3/26/14 12:50:10 PM,C,17.154
3/26/14 1:56:50 PM,C,18.156
3/26/14 3:03:30 PM,C,20.66
3/26/14 4:10:10 PM,C,21.16
3/26/14 5:16:50 PM,C,19.158
3/26/14 6:23:30 PM,C,17.655
3/26/14 7:30:10 PM,C,17.655
3/26/14 8:36:50 PM,C,17.655
3/26/14 9:43:30 PM,C,16.653
3/26/14 10:50:10 PM,C,16.653
3/26/14 11:56:50 PM,C,16.152
3/27/14 1:03:30 AM,C,16.152
3/27/14 2:10:10 AM,C,15.15
3/27/14 3:16:50 AM,C,14.148
3/27/14 4:23:30 AM,C,13.646
3/27/14 5:30:10 AM,C,13.646
3/27/14 6:36:50 AM,C,12.643
3/27/14 7:43:30 AM,C,12.643
3/27/14 8:50:10 AM,C,13.646
3/27/14 9:56:50 AM,C,14.649
3/27/14 11:03:30 AM,C,15.651
3/27/14 12:10:10 PM,C,18.657
3/27/14 1:16:50 PM,C,17.655
3/27/14 2:23:30 PM,C,19.158
3/27/14 3:30:10 PM,C,20.66
3/27/14 4:36:50 PM,C,20.66
3/27/14 5:43:30 PM,C,18.657
3/27/14 6:50:10 PM,C,17.655
3/27/14 7:56:50 PM,C,17.154
3/27/14 9:03:30 PM,C,16.152
3/27/14 10:10:10 PM,C,16.653
3/27/14 11:16:50 PM,C,16.152
3/28/14 12:23:30 AM,C,15.15
3/28/14 1:30:10 AM,C,14.649
3/28/14 2:36:50 AM,C,14.148
3/28/14 3:43:30 AM,C,13.145
3/28/14 4:50:10 AM,C,12.643
3/28/14 5:56:50 AM,C,11.64
3/28/14 7:03:30 AM,C,11.64
3/28/14 8:10:10 AM,C,11.64
3/28/14 9:16:50 AM,C,13.646
3/28/14 10:23:30 AM,C,14.148
3/28/14 11:30:10 AM,C,16.152
3/28/14 12:36:50 PM,C,17.154
3/28/14 1:43:30 PM,C,17.655
3/28/14 2:50:10 PM,C,19.658
3/28/14 3:56:50 PM,C,21.16
3/28/14 5:03:30 PM,C,19.158
3/28/14 6:10:10 PM,C,17.154
3/28/14 7:16:50 PM,C,15.651
3/28/14 8:23:30 PM,C,13.646
3/28/14 9:30:10 PM,C,13.646
3/28/14 10:36:50 PM,C,15.15
3/28/14 11:43:30 PM,C,14.649
3/29/14 12:50:10 AM,C,14.148
3/29/14 1:56:50 AM,C,13.646
3/29/14 3:03:30 AM,C,11.138
3/29/14 4:10:10 AM,C,8.629
3/29/14 5:16:50 AM,C,6.621
3/29/14 6:23:30 AM,C,5.616
3/29/14 7:30:10 AM,C,6.119
3/29/14 8:36:50 AM,C,8.629
3/29/14 9:43:30 AM,C,10.135
3/29/14 10:50:10 AM,C,12.142
3/29/14 11:56:50 AM,C,14.649
3/29/14 1:03:30 PM,C,15.651
3/29/14 2:10:10 PM,C,17.154
3/29/14 3:16:50 PM,C,20.66
3/29/14 4:23:30 PM,C,19.658
3/29/14 5:30:10 PM,C,19.158
3/29/14 6:36:50 PM,C,15.651
3/29/14 7:43:30 PM,C,12.643
3/29/14 8:50:10 PM,C,12.643
3/29/14 9:56:50 PM,C,13.145
3/29/14 11:03:30 PM,C,12.142
3/30/14 12:10:10 AM,C,10.637
3/30/14 1:16:50 AM,C,14.148
3/30/14 2:23:30 AM,C,13.646
3/30/14 3:30:10 AM,C,13.145
3/30/14 4:36:50 AM,C,11.138
3/30/14 5:43:30 AM,C,10.135
3/30/14 6:50:10 AM,C,11.64
3/30/14 7:56:50 AM,C,14.148
3/30/14 9:03:30 AM,C,17.655
3/30/14 10:10:10 AM,C,19.658
3/30/14 11:16:50 AM,C,21.661
3/30/14 12:23:30 PM,C,22.161
3/30/14 1:30:10 PM,C,24.162
3/30/14 2:36:50 PM,C,25.162
3/30/14 3:43:30 PM,C,26.162
3/30/14 4:50:10 PM,C,24.662
3/30/14 5:56:50 PM,C,23.162
3/30/14 7:03:30 PM,C,21.661
3/30/14 8:10:10 PM,C,21.16
3/30/14 9:16:50 PM,C,21.661
3/30/14 10:23:30 PM,C,20.66
3/30/14 11:30:10 PM,C,18.657
3/31/14 12:36:50 AM,C,18.156
3/31/14 1:43:30 AM,C,17.154
3/31/14 2:50:10 AM,C,17.154
3/31/14 3:56:50 AM,C,16.152
3/31/14 5:03:30 AM,C,15.651
3/31/14 6:10:10 AM,C,15.651
3/31/14 7:16:50 AM,C,15.651
3/31/14 8:23:30 AM,C,16.653
3/31/14 9:30:10 AM,C,17.154
3/31/14 10:36:50 AM,C,18.156
3/31/14 11:43:30 AM,C,20.159
3/31/14 12:50:10 PM,C,20.66
3/31/14 1:56:50 PM,C,21.16
3/31/14 3:03:30 PM,C,21.661
3/31/14 4:10:10 PM,C,22.161
3/31/14 5:16:50 PM,C,21.661
3/31/14 6:23:30 PM,C,18.657
3/31/14 7:30:10 PM,C,18.657
3/31/14 8:36:50 PM,C,18.657
3/31/14 9:43:30 PM,C,18.657
3/31/14 10:50:10 PM,C,17.154
3/31/14 11:56:50 PM,C,18.657
4/1/14 1:03:30 AM,C,18.657
4/1/14 2:10:10 AM,C,18.156
4/1/14 3:16:50 AM,C,17.655
4/1/14 4:23:30 AM,C,17.154
4/1/14 5:30:10 AM,C,17.154
4/1/14 6:36:50 AM,C,16.653
4/1/14 7:43:30 AM,C,17.655
4/1/14 8:50:10 AM,C,19.658
4/1/14 9:56:50 AM,C,19.158
4/1/14 11:03:30 AM,C,19.658
4/1/14 12:10:10 PM,C,20.66
4/1/14 1:16:50 PM,C,22.661
4/1/14 2:23:30 PM,C,22.661
4/1/14 3:30:10 PM,C,25.662
4/1/14 4:36:50 PM,C,21.661
4/1/14 5:43:30 PM,C,22.161
4/1/14 6:50:10 PM,C,20.66
4/1/14 7:56:50 PM,C,20.159
4/1/14 9:03:30 PM,C,19.658
4/1/14 10:10:10 PM,C,19.658
4/1/14 11:16:50 PM,C,19.158
4/2/14 12:23:30 AM,C,18.657
4/2/14 1:30:10 AM,C,18.156
4/2/14 2:36:50 AM,C,18.156
4/2/14 3:43:30 AM,C,17.154
4/2/14 4:50:10 AM,C,16.653
4/2/14 5:56:50 AM,C,16.152
4/2/14 7:03:30 AM,C,16.152
4/2/14 8:10:10 AM,C,17.154
4/2/14 9:16:50 AM,C,18.657
4/2/14 10:23:30 AM,C,18.156
4/2/14 11:30:10 AM,C,19.658
4/2/14 12:36:50 PM,C,20.159
4/2/14 1:43:30 PM,C,20.66
4/2/14 2:50:10 PM,C,21.661
4/2/14 3:56:50 PM,C,21.16
4/2/14 5:03:30 PM,C,21.16
4/2/14 6:10:10 PM,C,20.66
4/2/14 7:16:50 PM,C,20.159
4/2/14 8:23:30 PM,C,18.657
4/2/14 9:30:10 PM,C,18.156
4/2/14 10:36:50 PM,C,16.653
4/2/14 11:43:30 PM,C,16.152
4/3/14 12:50:10 AM,C,15.651
4/3/14 1:56:50 AM,C,15.15
4/3/14 3:03:30 AM,C,14.148
4/3/14 4:10:10 AM,C,13.646
4/3/14 5:16:50 AM,C,12.643
4/3/14 6:23:30 AM,C,11.138
4/3/14 7:30:10 AM,C,9.633
4/3/14 8:36:50 AM,C,10.637
4/3/14 9:43:30 AM,C,10.135
4/3/14 10:50:10 AM,C,11.64
4/3/14 11:56:50 AM,C,14.148
4/3/14 1:03:30 PM,C,14.649
4/3/14 2:10:10 PM,C,15.651
4/3/14 3:16:50 PM,C,17.655
4/3/14 4:23:30 PM,C,17.154
4/3/14 5:30:10 PM,C,16.653
4/3/14 6:36:50 PM,C,12.643
4/3/14 7:43:30 PM,C,11.64
4/3/14 8:50:10 PM,C,10.135
4/3/14 9:56:50 PM,C,10.637
4/3/14 11:03:30 PM,C,8.127
4/4/14 12:10:10 AM,C,9.633
4/4/14 1:16:50 AM,C,5.114
4/4/14 2:23:30 AM,C,2.098
4/4/14 3:30:10 AM,C,4.109
4/4/14 4:36:50 AM,C,2.601
4/4/14 5:43:30 AM,C,3.104
4/4/14 6:50:10 AM,C,1.093
4/4/14 7:56:50 AM,C,3.607
4/4/14 9:03:30 AM,C,8.629
4/4/14 10:10:10 AM,C,10.135
4/4/14 11:16:50 AM,C,10.637
4/4/14 12:23:30 PM,C,12.643
4/4/14 1:30:10 PM,C,13.145
4/4/14 2:36:50 PM,C,13.646
4/4/14 3:43:30 PM,C,15.651
4/4/14 4:50:10 PM,C,14.148
4/4/14 5:56:50 PM,C,12.142
4/4/14 7:03:30 PM,C,10.637
4/4/14 8:10:10 PM,C,9.131
4/4/14 9:16:50 PM,C,10.135
4/4/14 10:23:30 PM,C,10.135
4/4/14 11:30:10 PM,C,10.135
4/5/14 12:36:50 AM,C,8.629
4/5/14 1:43:30 AM,C,8.127
4/5/14 2:50:10 AM,C,7.625
4/5/14 3:56:50 AM,C,8.127
4/5/14 5:03:30 AM,C,9.633
4/5/14 6:10:10 AM,C,11.64
4/5/14 7:16:50 AM,C,11.138
4/5/14 8:23:30 AM,C,13.145
4/5/14 9:30:10 AM,C,12.142
4/5/14 10:36:50 AM,C,16.152
4/5/14 11:43:30 AM,C,20.66
4/5/14 12:50:10 PM,C,19.658
4/5/14 1:56:50 PM,C,18.657
4/5/14 3:03:30 PM,C,19.158
4/5/14 4:10:10 PM,C,19.158
4/5/14 5:16:50 PM,C,19.158
4/5/14 6:23:30 PM,C,16.152
