1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 1400000013C7C641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 4000 second(s)
Mission Start Time:  Fri Mar 21 13:41:19 CDT 2014
Mission Sample Count:  7735
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Mar 21 13:41:19 CDT 2014
Total Mission Samples:  7735
Total Device Samples:  31666
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/21/14 1:41:19 PM,C,27.173
3/21/14 2:47:59 PM,C,23.173
3/21/14 3:54:39 PM,C,21.672
3/21/14 5:01:19 PM,C,20.17
3/21/14 6:07:59 PM,C,19.169
3/21/14 7:14:39 PM,C,18.167
3/21/14 8:21:19 PM,C,18.167
3/21/14 9:27:59 PM,C,18.167
3/21/14 10:34:39 PM,C,17.666
3/21/14 11:41:19 PM,C,17.666
3/22/14 12:47:59 AM,C,16.664
3/22/14 1:54:39 AM,C,16.162
3/22/14 3:01:19 AM,C,10.644
3/22/14 4:07:59 AM,C,9.138
3/22/14 5:14:39 AM,C,9.64
3/22/14 6:21:19 AM,C,6.123
3/22/14 7:27:59 AM,C,6.123
3/22/14 8:34:39 AM,C,8.635
3/22/14 9:41:19 AM,C,11.648
3/22/14 10:47:59 AM,C,12.652
3/22/14 11:54:39 AM,C,15.16
3/22/14 1:01:19 PM,C,15.661
3/22/14 2:07:59 PM,C,17.165
3/22/14 3:14:39 PM,C,20.671
3/22/14 4:21:19 PM,C,19.169
3/22/14 5:27:59 PM,C,17.666
3/22/14 6:34:39 PM,C,17.165
3/22/14 7:41:19 PM,C,15.16
3/22/14 8:47:59 PM,C,12.15
3/22/14 9:54:39 PM,C,11.146
3/22/14 11:01:19 PM,C,10.142
3/23/14 12:07:59 AM,C,9.138
3/23/14 1:14:39 AM,C,8.635
3/23/14 2:21:19 AM,C,8.133
3/23/14 3:27:59 AM,C,7.631
3/23/14 4:34:39 AM,C,6.123
3/23/14 5:41:19 AM,C,2.602
3/23/14 6:47:59 AM,C,2.099
3/23/14 7:54:39 AM,C,1.596
3/23/14 9:01:19 AM,C,1.092
3/23/14 10:07:59 AM,C,3.609
3/23/14 11:14:39 AM,C,5.62
3/23/14 12:21:19 PM,C,6.626
3/23/14 1:27:59 PM,C,7.631
3/23/14 2:34:39 PM,C,8.635
3/23/14 3:41:19 PM,C,9.138
3/23/14 4:47:59 PM,C,9.138
3/23/14 5:54:39 PM,C,7.128
3/23/14 7:01:19 PM,C,6.123
3/23/14 8:07:59 PM,C,4.112
3/23/14 9:14:39 PM,C,3.609
3/23/14 10:21:19 PM,C,3.105
3/23/14 11:27:59 PM,C,7.631
3/24/14 12:34:39 AM,C,7.128
3/24/14 1:41:19 AM,C,8.635
3/24/14 2:47:59 AM,C,7.631
3/24/14 3:54:39 AM,C,8.133
3/24/14 5:01:19 AM,C,12.15
3/24/14 6:07:59 AM,C,12.652
3/24/14 7:14:39 AM,C,12.15
3/24/14 8:21:19 AM,C,18.167
3/24/14 9:27:59 AM,C,19.67
3/24/14 10:34:39 AM,C,22.173
3/24/14 11:41:19 AM,C,21.172
3/24/14 12:47:59 PM,C,21.672
3/24/14 1:54:39 PM,C,21.172
3/24/14 3:01:19 PM,C,20.671
3/24/14 4:07:59 PM,C,21.172
3/24/14 5:14:39 PM,C,17.666
3/24/14 6:21:19 PM,C,15.661
3/24/14 7:27:59 PM,C,14.658
3/24/14 8:34:39 PM,C,13.655
3/24/14 9:41:19 PM,C,13.655
3/24/14 10:47:59 PM,C,13.154
3/24/14 11:54:39 PM,C,13.154
3/25/14 1:01:19 AM,C,11.146
3/25/14 2:07:59 AM,C,10.142
3/25/14 3:14:39 AM,C,8.133
3/25/14 4:21:19 AM,C,6.123
3/25/14 5:27:59 AM,C,5.117
3/25/14 6:34:39 AM,C,4.112
3/25/14 7:41:19 AM,C,3.609
3/25/14 8:47:59 AM,C,5.117
3/25/14 9:54:39 AM,C,9.138
3/25/14 11:01:19 AM,C,11.648
3/25/14 12:07:59 PM,C,13.655
3/25/14 1:14:39 PM,C,12.652
3/25/14 2:21:19 PM,C,13.154
3/25/14 3:27:59 PM,C,11.648
3/25/14 4:34:39 PM,C,10.142
3/25/14 5:41:19 PM,C,9.138
3/25/14 6:47:59 PM,C,9.64
3/25/14 7:54:39 PM,C,8.133
3/25/14 9:01:19 PM,C,8.635
3/25/14 10:07:59 PM,C,8.635
3/25/14 11:14:39 PM,C,8.133
3/26/14 12:21:19 AM,C,8.133
3/26/14 1:27:59 AM,C,7.128
3/26/14 2:34:39 AM,C,7.631
3/26/14 3:41:19 AM,C,8.635
3/26/14 4:47:59 AM,C,5.62
3/26/14 5:54:39 AM,C,5.62
3/26/14 7:01:19 AM,C,5.117
3/26/14 8:07:59 AM,C,9.138
3/26/14 9:14:39 AM,C,12.15
3/26/14 10:21:19 AM,C,17.165
3/26/14 11:27:59 AM,C,16.664
3/26/14 12:34:39 PM,C,18.167
3/26/14 1:41:19 PM,C,19.67
3/26/14 2:47:59 PM,C,19.169
3/26/14 3:54:39 PM,C,19.67
3/26/14 5:01:19 PM,C,18.167
