1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 9B0000002D9FEC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 4000 second(s)
Mission Start Time:  Sun Mar 15 13:02:42 CDT 2015
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Mar 15 13:02:42 CDT 2015
Total Mission Samples:  8192
Total Device Samples:  8853
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/15/15 1:02:42 PM,C,28.074
3/15/15 2:09:22 PM,C,17.068
3/15/15 3:16:02 PM,C,17.068
3/15/15 4:22:42 PM,C,17.569
3/15/15 5:29:22 PM,C,19.071
3/15/15 6:36:02 PM,C,16.567
3/15/15 7:42:42 PM,C,12.559
3/15/15 8:49:22 PM,C,8.548
3/15/15 9:56:02 PM,C,7.043
3/15/15 11:02:42 PM,C,7.545
3/16/15 12:09:22 AM,C,8.548
3/16/15 1:16:02 AM,C,8.046
3/16/15 2:22:42 AM,C,8.548
3/16/15 3:29:22 AM,C,8.046
3/16/15 4:36:02 AM,C,8.046
3/16/15 5:42:42 AM,C,9.05
3/16/15 6:49:22 AM,C,9.05
3/16/15 7:56:02 AM,C,8.548
3/16/15 9:02:42 AM,C,10.554
3/16/15 10:09:22 AM,C,14.564
3/16/15 11:16:02 AM,C,19.571
3/16/15 12:22:42 PM,C,22.574
3/16/15 1:29:22 PM,C,21.073
3/16/15 2:36:02 PM,C,21.573
3/16/15 3:42:42 PM,C,23.074
3/16/15 4:49:22 PM,C,21.573
3/16/15 5:56:02 PM,C,19.071
3/16/15 7:02:42 PM,C,19.071
3/16/15 8:09:22 PM,C,15.566
3/16/15 9:16:02 PM,C,13.561
3/16/15 10:22:42 PM,C,12.559
3/16/15 11:29:22 PM,C,13.06
3/17/15 12:36:02 AM,C,13.06
3/17/15 1:42:42 AM,C,13.561
3/17/15 2:49:22 AM,C,14.063
3/17/15 3:56:02 AM,C,14.564
3/17/15 5:02:42 AM,C,14.564
3/17/15 6:09:22 AM,C,14.063
3/17/15 7:16:02 AM,C,14.063
3/17/15 8:22:42 AM,C,13.561
3/17/15 9:29:22 AM,C,13.06
3/17/15 10:36:02 AM,C,15.065
3/17/15 11:42:42 AM,C,16.066
3/17/15 12:49:22 PM,C,11.557
3/17/15 1:56:02 PM,C,9.551
3/17/15 3:02:42 PM,C,9.05
3/17/15 4:09:22 PM,C,8.548
3/17/15 5:16:02 PM,C,8.046
3/17/15 6:22:42 PM,C,8.046
3/17/15 7:29:22 PM,C,7.043
3/17/15 8:36:02 PM,C,6.039
3/17/15 9:42:42 PM,C,5.538
3/17/15 10:49:22 PM,C,5.538
3/17/15 11:56:02 PM,C,5.538
3/18/15 1:02:42 AM,C,5.538
3/18/15 2:09:22 AM,C,5.538
3/18/15 3:16:02 AM,C,5.538
3/18/15 4:22:42 AM,C,5.538
3/18/15 5:29:22 AM,C,5.538
3/18/15 6:36:02 AM,C,5.538
3/18/15 7:42:42 AM,C,5.538
3/18/15 8:49:22 AM,C,5.538
3/18/15 9:56:02 AM,C,6.039
3/18/15 11:02:42 AM,C,7.043
3/18/15 12:09:22 PM,C,9.551
3/18/15 1:16:02 PM,C,15.566
3/18/15 2:22:42 PM,C,15.065
3/18/15 3:29:22 PM,C,15.566
3/18/15 4:36:02 PM,C,15.566
3/18/15 5:42:42 PM,C,17.068
3/18/15 6:49:22 PM,C,15.566
3/18/15 7:56:02 PM,C,14.564
3/18/15 9:02:42 PM,C,14.564
3/18/15 10:09:22 PM,C,14.564
3/18/15 11:16:02 PM,C,14.063
3/19/15 12:22:42 AM,C,14.564
3/19/15 1:29:22 AM,C,14.564
3/19/15 2:36:02 AM,C,11.055
3/19/15 3:42:42 AM,C,11.055
3/19/15 4:49:22 AM,C,13.561
3/19/15 5:56:02 AM,C,13.561
3/19/15 7:02:42 AM,C,13.561
3/19/15 8:09:22 AM,C,13.06
3/19/15 9:16:02 AM,C,13.06
3/19/15 10:22:42 AM,C,13.561
3/19/15 11:29:22 AM,C,17.569
3/19/15 12:36:02 PM,C,19.571
3/19/15 1:42:42 PM,C,19.571
3/19/15 2:49:22 PM,C,18.07
3/19/15 3:56:02 PM,C,20.572
3/19/15 5:02:42 PM,C,20.072
3/19/15 6:09:22 PM,C,19.571
3/19/15 7:16:02 PM,C,16.567
3/19/15 8:22:42 PM,C,12.559
3/19/15 9:29:22 PM,C,12.559
3/19/15 10:36:02 PM,C,13.06
3/19/15 11:42:42 PM,C,13.06
3/20/15 12:49:22 AM,C,12.559
3/20/15 1:56:02 AM,C,12.559
3/20/15 3:02:42 AM,C,11.557
3/20/15 4:09:22 AM,C,12.058
3/20/15 5:16:02 AM,C,8.548
3/20/15 6:22:42 AM,C,8.046
3/20/15 7:29:22 AM,C,7.043
3/20/15 8:36:02 AM,C,7.545
3/20/15 9:42:42 AM,C,8.046
3/20/15 10:49:22 AM,C,11.557
3/20/15 11:56:02 AM,C,11.557
3/20/15 1:02:42 PM,C,13.06
3/20/15 2:09:22 PM,C,12.559
3/20/15 3:16:02 PM,C,12.559
3/20/15 4:22:42 PM,C,11.557
3/20/15 5:29:22 PM,C,11.055
3/20/15 6:36:02 PM,C,11.055
3/20/15 7:42:42 PM,C,11.055
3/20/15 8:49:22 PM,C,10.053
3/20/15 9:56:02 PM,C,7.043
3/20/15 11:02:42 PM,C,9.05
3/21/15 12:09:22 AM,C,9.05
3/21/15 1:16:02 AM,C,9.05
3/21/15 2:22:42 AM,C,9.551
3/21/15 3:29:22 AM,C,9.05
3/21/15 4:36:02 AM,C,7.043
3/21/15 5:42:42 AM,C,8.548
3/21/15 6:49:22 AM,C,8.548
3/21/15 7:56:02 AM,C,8.548
3/21/15 9:02:42 AM,C,8.046
3/21/15 10:09:22 AM,C,8.548
3/21/15 11:16:02 AM,C,8.548
3/21/15 12:22:42 PM,C,9.05
3/21/15 1:29:22 PM,C,9.05
3/21/15 2:36:02 PM,C,9.05
3/21/15 3:42:42 PM,C,9.05
3/21/15 4:49:22 PM,C,9.05
3/21/15 5:56:02 PM,C,10.554
3/21/15 7:02:42 PM,C,10.053
3/21/15 8:09:22 PM,C,9.551
3/21/15 9:16:02 PM,C,7.043
3/21/15 10:22:42 PM,C,9.05
3/21/15 11:29:22 PM,C,10.554
3/22/15 12:36:02 AM,C,11.055
3/22/15 1:42:42 AM,C,11.055
3/22/15 2:49:22 AM,C,12.058
3/22/15 3:56:02 AM,C,12.058
3/22/15 5:02:42 AM,C,12.559
3/22/15 6:09:22 AM,C,12.559
3/22/15 7:16:02 AM,C,12.058
3/22/15 8:22:42 AM,C,13.561
3/22/15 9:29:22 AM,C,15.566
3/22/15 10:36:02 AM,C,17.068
3/22/15 11:42:42 AM,C,18.57
3/22/15 12:49:22 PM,C,20.072
3/22/15 1:56:02 PM,C,21.073
3/22/15 3:02:42 PM,C,22.073
3/22/15 4:09:22 PM,C,22.073
3/22/15 5:16:02 PM,C,24.074
3/22/15 6:22:42 PM,C,23.074
3/22/15 7:29:22 PM,C,19.571
3/22/15 8:36:02 PM,C,17.068
3/22/15 9:42:42 PM,C,17.068
3/22/15 10:49:22 PM,C,16.066
3/22/15 11:56:02 PM,C,16.066
3/23/15 1:02:42 AM,C,12.058
3/23/15 2:09:22 AM,C,12.058
3/23/15 3:16:02 AM,C,18.07
3/23/15 4:22:42 AM,C,18.07
3/23/15 5:29:22 AM,C,17.068
3/23/15 6:36:02 AM,C,17.569
