sensor,type,mtn,gone,pair,lat,lon,elev,asp,asp2,slopepos,note
BC519,T,CM,,,29.2455,-103.29397,2047,S?,,midslope/valley,In JUNFLA between BC2 and BC3 campsites
BC520,T,CM,,,29.23563,-103.29992,2165,NW?,,midslope,above trail in QUEGRI
BC521,H,CM,,BC520,29.23563,-103.29992,2165,NW?,,midslope,above trail in QUEGRI
BR524,T,CM,,,29.27411,-103.28332,1730,NE,,midslope,Near large pulloff before first switchback (before Lost Mine parking)
BR525,T,CM,,,29.29441,-103.26825,1509,NE,,midslope/flat,Across the road from dirt pulloff
ET518,T,CM,,,29.24807,-103.29872,2205,SSE?,,midslope,above trail in PINCEM
LA502,H,CM,,LA503,29.24275,-103.31316,2027,W,,flat,campsite LM4 in JUNFLA
LA503,T,CM,,,29.24275,-103.31316,2027,W,,flat,Humidity in campsite LM4 in JUNFLA
LA504,T,CM,,,29.24163,-103.30638,2136,SW,,midslope,above trail in PINCEM
LA505,T,CM,,,29.25129,-103.30721,1929,NNNW,39,midslope,above trail in JUNFLA
LA506,T,CM,,,29.25491,-103.30778,1803,S,160,ridge,above trail in PINCEM
LA507,T,CM,,,29.25574,-103.30672,1771,N,328,valley,
LA508,T,CM,,,29.26723,-103.30473,1653,N,319,midslope,
LM501,T,CM,1,,29.27189,-103.26907,2100,?,,ridge,In JUNFLA off of side trail
PC509,T,CM,,,29.262736,-103.256482,1780,E,,valley,northeast of pouroff in bent over QUEGRA
PC510,T,CM,,,29.26337,-103.25191,1662,E,,valley,across creek bed on back of Madrone
PC511,H,CM,,PC510,29.26337,-103.25191,1662,E,,valley,humidity.   across creek bed on back of Madrone
PC512,T,CM,,,29.26741,-103.24255,1580,E,,flat,in PINCEM
PI513,T,CM,,,29.26459,-103.29859,1761,NE,,midslope,above trail in PINCEM
PI514,H,CM,,PI513,29.26459,-103.29859,1761,NE,,midslope,humidity.  above trail in PINCEM
PI515,T,CM,,,29.25924,-103.29441,1850,NE,,midslope,Near BM3 campsite in PINCEM
PI516,T,CM,,,29.25329,-103.30051,1971,N?,,midslope,In JUNFLA on switchback
PI517,T,CM,,,29.25247,-103.29587,2145,SSW,,ridge,In PINCEM past TM1 campsite
SR522,T,CM,,,29.22629,-103.29849,2238,?,,ridge,above trail very close to rim!
SR523,T,CM,,,29.23336,-103.30384,2200,NE?,,midslope,In JUNDEP near SW3 campsite
BG030,T,DM,,,30.64508,-104.15937,2230,,,,
BG031,H,DM,,BG031,30.64408,-104.16076,2243,,,,
BG041,H,DM,,BG041,30.63955,-104.16196,2260,,,,
BG230,H,DM,,BG230,30.63982,-104.162156,2238,,,,
BG270,T,DM,,,30.64007,-104.16238,2228,,,,
CC220,T,DM,,,30.69806,-104.12228,1825,,,,
CC221,H,DM,,CC221,30.69799,-104.12186,1891,,,,
CT022,T,DM,,,30.65989,-104.16985,1964,,,,
CT023,H,DM,,CT023,30.66555,-104.17407,2020,,,,
FT004,T,DM,1,,30.67735,-104.13095,1859,,,,
FT005,H,DM,,FT005,30.67747,-104.13188,1870,,,,
GN018,T,DM,1,,30.65773,-104.16598,1949,,,,
GN019,H,DM,,GN019,30.657642,-104.166026,1949,,,,
GN115,T,DM,1,,30.65694,-104.16619,1949,,,,
GR012,T,DM,,,30.64586,-104.17009,2109,,,,in QUGRI
GR013,H,DM,1,GR013,30.646104,-104.170436,2099,,,,
GR016,T,DM,1,,30.65199,-104.17125,1994,,,,
GR017,H,DM,,GR017,30.65199,-104.17125,1994,,,,
GR020,T,DM,,,30.64285,-104.16464,2181,,,,
GR036,T,DM,,,30.64854,-104.17126,2058,,,,
GR037,H,DM,,GR037,30.64351,-104.16831,2154,,,,
LC040,T,DM,,,30.71628,-104.084094,1752,,,valley,in oak
LG002,T,DM,,,30.68344,-104.14295,1892,,,,
LG003,H,DM,,LG003,30.68349,-104.14254,1891,,,,
LG024,T,DM,,,30.67629,-104.16224,2037,,,ridge,in JUNDEP
LG025,H,DM,,LG025,30.67762,-104.16333,2025,,,,in JUNDEP above Road
MD237,H,DM,,MD237,30.66753,-104.15071,1891,,,,
MD243,T,DM,,,30.667647,-104.151104,1891,,,,
MD282,T,DM,,,30.666545,-104.149587,1887,,,,
MD283,H,DM,,MD282,30.666545,-104.149587,1893,,,,
MI006,T,DM,,,30.70077,-104.11395,1791,,,,
MI007,H,DM,,MI007,30.70048,-104.11389,1799,,,,
MI032,T,DM,,,30.70531,-104.12057,1869,,,,
MI034,T,DM,,,30.69899,-104.11052,1834,,,,
TC008,T,DM,,,30.655422,-104.171362,1964,,,,
TC009,H,DM,1,TC009,30.65536,-104.17111,1964,,,,
TC010,T,DM,,,30.63901,-104.17912,2221,,,,
TC011,H,DM,,TC011,30.6399,-104.17971,2210,,,,
TC026,T,DM,,,30.64748,-104.186631,2137,,,,
TC027,H,DM,,TC027,30.64793,-104.185981,2132,,,,
TC028,T,DM,,,30.64638,-104.17966,2074,,,,
