sensor,elev,specific_catchment area,relelev_z,wetness,slope_degrees,relelev_l,ldist_tovalley,ruggedness,ldist_ridge,zdist_valley,radiation,relelev_watershed_minmax,MSD
BC519,2047,180,-39129.0,-2.00,89.98,0.00,0.00,169031,114,0,900,0.15,0.00
BC520,2165,30,214831.0,0.00,88.87,-114.00,114.00,1464,0,225711,1126790,0.34,0.70
BC521,2165,30,214831.0,0.00,88.87,-114.00,114.00,1464,0,225711,1126790,0.34,0.70
BR524,1730,1050,169247.0,0.00,89.95,0.00,0.00,63690,713,0,1471080,0.26,0.60
BR525,1509,480,148715.0,2.00,88.66,305.00,127.00,1116,432,159583,1359910,0.26,0.60
ET518,2205,120,220063.0,0.00,88.82,-144.00,234.00,1250,90,8671,2419980,0.34,0.70
LA502,2027,4380,202677.0,6.00,81.44,819.00,42.00,252,861,240,3121260,0.32,0.45
LA503,2027,4380,202677.0,6.00,81.44,819.00,42.00,252,861,240,3121260,0.32,0.45
LA504,2136,120,212932.0,1.00,87.89,-369.00,459.00,722,90,13138,2652580,0.33,0.55
LA505,1929,1560,192871.0,3.00,88.84,272.00,360.00,1321,632,14448,819990,0.31,0.45
LA506,1803,90,179233.0,1.00,88.15,-42.00,102.00,800,60,2615,2667750,0.30,0.55
LA507,1771,24330,175193.0,6.00,87.65,1298.00,0.00,1110,1298,0,853754,0.29,0.40
LA508,1653,60,164582.0,1.00,87.22,-30.00,60.00,583,30,825,2671760,0.28,0.55
LM501,2100,30,104134.0,-4.00,89.98,-72.00,72.00,176845,0,1877,2703430,0.40,0.65
PC509,1780,30,190948.0,-1.00,89.48,0.00,0.00,2928,0,0,2683690,0.31,1.00
PC510,1662,150,163916.0,-2.00,89.98,90.00,30.00,87450,120,174866,982361,0.22,0.65
PC511,1662,150,163916.0,-2.00,89.98,90.00,30.00,87450,120,174866,982361,0.22,0.65
PC512,1580,30,155096.0,0.00,88.35,-72.00,72.00,989,0,166046,2790290,0.26,0.75
PI513,1761,30,175828.0,0.00,86.02,-296.00,296.00,409,0,5313,1200140,0.29,0.50
PI514,1761,30,175828.0,0.00,86.02,-296.00,296.00,409,0,5313,1200140,0.29,0.50
PI515,1850,360,92264.0,2.00,87.51,28.00,302.00,620,330,4119,881110,0.30,0.45
PI516,1971,60,197180.0,0.00,89.04,-999.00,1029.00,1552,30,21990,962864,0.32,0.50
PI517,2145,30,213542.0,-5.00,89.99,-30.00,30.00,353630,0,581,2669750,0.62,0.65
SR522,2238,60,220407.0,-5.00,89.99,-666.00,696.00,354893,30,51343,2402210,0.63,0.70
SR523,2200,30,716916.0,-5.00,89.99,0.00,0.00,395758,0,0,907276,0.62,1.00
BG030,2230,30,361876.0,-5.00,89.99,-349.00,349.00,395890,0,514686,441647,0.62,1.00
BG031,2243,90,223354.0,0.00,88.86,-290.00,374.00,1308,84,14288,2798820,0.34,0.70
BG041,2260,120,224155.0,0.00,88.85,-84.00,174.00,1294,90,5614,991654,0.34,0.50
BG230,2238,150,222923.0,1.00,88.53,-24.00,144.00,1027,120,4382,1054700,0.34,0.50
BG270,2228,30,222400.0,0.00,88.39,-127.00,127.00,940,0,3859,1175450,0.34,0.50
CC220,1825,480,179651.0,2.00,88.48,0.00,0.00,1034,369,0,2710230,0.29,0.65
CC221,1891,60,90031.5,0.00,88.48,-90.00,120.00,994,30,205086,2641990,0.29,0.65
CT022,1964,60,196108.0,1.00,85.40,-18.00,60.00,335,42,905,2940990,0.31,0.75
CT023,2020,60,201752.0,-3.00,89.98,-139.00,169.00,176859,30,3343,2703450,0.38,0.45
FT004,1859,120,185862.0,3.00,78.23,0.00,0.00,124,90,0,2966870,0.29,0.80
FT005,1870,60,186199.0,2.00,74.78,-397.00,439.00,98,42,211223,2193430,0.29,0.80
GN018,1949,30,193138.0,0.00,88.66,-102.00,102.00,1180,0,218166,1211050,0.30,0.60
GN019,1949,30,193138.0,0.00,88.66,-102.00,102.00,1180,0,218166,1211050,0.30,0.60
GN115,1949,30,194500.0,0.00,88.83,-114.00,114.00,1350,0,219528,1375400,0.30,0.60
GR012,2109,30,210096.0,1.00,82.56,-242.00,242.00,265,0,4165,1482160,0.32,0.70
GR013,2099,30,209831.0,0.00,86.07,-60.00,60.00,485,0,1621,1834420,0.32,0.60
