sensor,date,boat.id,wb,wb.soil.wet,wb.soil.dry,gswc
BG030,03/14/2011,,,,,0.034412635
BG031,03/14/2011,,,,,0.032442233
BG041,03/14/2011,,,,,0.043238191
BG230,,,,,,
BG270,03/14/2011,,,,,0.046271795
CC220,03/14/2011,,,,,0.059656843
CC221,03/14/2011,,,,,0.06916251
CT022,03/14/2011,,,,,0.068345151
CT023,03/14/2011,,,,,0.069730426
FT004,,,,,,
FT005,03/14/2011,,,,,0.066875587
GN018,,,,,,
GN019,03/14/2011,,,,,0.031199192
GN115,03/14/2011,,,,,
GR012,03/14/2011,,,,,0.058348258
GR013,,,,,,
GR016,,,,,,
GR017,03/14/2011,,,,,0.03763539
GR020,03/14/2011,,,,,0.046076008
GR036,03/14/2011,,,,,0.045606141
GR037,03/14/2011,,,,,0.038978489
LG002,03/14/2011,,,,,0.064256053
LG003,03/14/2011,,,,,0.050396844
LG024,03/14/2011,,,,,0.023179639
LG025,03/14/2011,,,,,0.025889222
MD237,03/14/2011,,,,,0.070736241
MD243,03/14/2011,,,,,0.06799694
MD282,03/14/2011,,,,,0.06061336
MD283,03/14/2011,,,,,0.06061336
MI006,03/14/2011,,,,,0.055981398
MI007,03/14/2011,,,,,0.029850985
MI032,03/14/2011,,,,,0.044705112
MI034,03/14/2011,,,,,0.074797473
TC008,03/14/2011,,,,,0.0579641
TC009,,,,,,
TC010,03/14/2011,,,,,0.148995339
TC011,03/14/2011,,,,,0.045568235
TC026,03/14/2011,,,,,0.023834272
TC027,03/14/2011,,,,,0.048946962
TC028,03/14/2011,,,,,0.0328363715
VR014,,,,,,
VR015,03/14/2011,,,,,0.031350482
VR038,03/14/2011,,,,,0.033458315
VR039,03/14/2011,,,,,0.066550809
LC040,03/14/2011,,,,,
BG030,10/08/2011,,1.1443,24.1372,22.7579,0.0638163008
BG031,10/08/2011,,1.1405,21.4503,19.6797,0.0955057392
BG041,10/08/2011,,1.1349,18.5968,15.7138,0.197751545
BG230,,,,,,
BG270,10/08/2011,,1.1396,15.7888,14.68,0.0818882751
CC220,10/08/2011,,1.1305,25.5311,23.7354,0.0794385288
CC221,10/08/2011,,1.1305,25.5311,23.7354,0.0794385288
CT022,10/08/2011,,1.1452,19.6232,17.9217,0.1014216314
CT023,10/08/2011,,1.1581,23.6198,22.6105,0.0470483489
FT004,,,,,,
FT005,10/08/2011,,1.1383,22.2596,20.9626,0.0654247565
GN018,10/08/2011,,,,,
GN019,10/08/2011,,1.162,22.5019,21.4058,0.0541449728
GN115,10/08/2011,,1.146,23.2286,21.8142,0.0684336323
GR012,10/08/2011,,1.1254,21.9448,20.5813,0.0700815691
GR013,10/08/2011,,,,,
GR016,10/08/2011,,,,,
GR017,10/08/2011,,1.1473,23.3208,22.4967,0.0386006164
GR020,10/08/2011,,1.1436,19.7996,18.0143,0.1058225207
GR036,10/08/2011,,1.1372,23.944,22.6275,0.0612601965
GR037,10/08/2011,,1.1374,22.0493,20.3371,0.0891784767
LG002,10/08/2011,,1.1403,19.215,17.8519,0.0815660978
LG003,10/08/2011,,1.1355,19.8974,17.7358,0.1302145142
LG024,10/08/2011,,1.1383,19.126,18.1847,0.0552198705
LG025,10/08/2011,,1.153,19.5863,18.1156,0.0867025102
MD237,10/08/2011,,1.1544,24.564,23.3877,0.0529071258
MD243,10/08/2011,,1.1544,24.564,23.3877,0.0529071258
MD282,10/08/2011,,1.1363,18.777,17.2527,0.0945806756
MD283,10/08/2011,,1.1363,18.777,17.2527,0.0945806756
MI006,10/08/2011,,1.1467,24.2525,23.0909,0.0529342605
MI007,10/08/2011,,1.1413,21.1789,19.7782,0.0751573491
MI032,10/08/2011,,1.1455,22.0934,20.9696,0.056688576
MI034,10/08/2011,,1.1409,21.5711,19.8644,0.0911528293
TC008,10/08/2011,,1.1545,20.6597,19.0172,0.0919513847
TC009,,,,,,
TC010,10/08/2011,,1.1505,18.8991,17.0736,0.1146447614
TC011,10/08/2011,,1.1445,18.6146,17.5971,0.0618443286
TC026,10/08/2011,,1.1329,25.9693,24.7981,0.049490391
TC027,10/08/2011,,1.1554,19.9496,18.5296,0.0817303818
TC028,10/08/2011,,1.1611,21.2436,19.9133,0.0709410096
VR014,,,,,,
VR015,10/08/2011,,1.1294,18.2263,16.905,0.0837559269
VR038,10/08/2011,,1.1375,18.8128,16.8849,0.1224265593
VR039,10/08/2011,,1.1472,15.0561,12.5551,0.2192340396
BG030,10/05/2012,,1.1341,17.3715,14.0097,0.2610985119
BG031,10/05/2012,,1.1387,15.9934,13.8632,0.1674093285
BG041,10/05/2012,,1.1374,18.8642,15.1364,0.2662904493
BG230,,,,,,
BG270,10/05/2012,,1.1446,16.9977,14.5239,0.1848975656
CC220,10/05/2012,,1.1327,18.5202,16.5956,0.1244656565
CC221,10/05/2012,,1.1302,18.8421,16.574,0.1468615237
CT022,10/05/2012,,1.1559,16.6895,14.003,0.2091133408
CT023,10/05/2012,,1.1416,13.5032,10.5474,0.3142529078
FT004,,,,,,
FT005,10/05/2012,,1.1387,16.7235,14.0973,0.2026607813
GN018,,,,,,
GN019,10/05/2012,,1.1287,15.3776,13.648,0.1381546892
GN115,,,,,,
GR012,10/05/2012,,1.1369,17.1859,15.7319,0.0996231586
GR013,,,,,,
GR016,,,,,,
GR017,10/05/2012,,1.1429,18.7207,16.625,0.1353627738
GR020,10/05/2012,,1.159,20.9895,17.6359,0.2035334317
GR036,10/05/2012,,1.1473,15.4791,12.6394,0.2471001819
GR037,10/05/2012,,1.1557,16.3691,14.3668,0.1515619441
LG002,10/05/2012,,1.1407,15.7897,13.3254,0.202245439
LG003,10/05/2012,,1.1334,18.345,15.8671,0.1681790725
LG024,10/05/2012,,1.1422,18.4137,16.207,0.1464805374
LG025,10/05/2012,,1.1403,16.8503,14.4113,0.1837841911
MD237,,,,,,
MD243,,,,,,
MD282,,,,,,
MD283,10/05/2012,,1.1505,15.4853,12.5861,0.2535240827
MI006,10/05/2012,,1.1438,20.0989,18.376,0.0999814301
MI007,10/05/2012,,1.1436,19.0663,17.5271,0.0939481796
MI032,10/05/2012,,1.1318,18.7306,16.7793,0.1247036268
MI034,10/05/2012,,1.1538,17.2016,14.8828,0.1688979532
TC008,10/05/2012,,1.1467,15.8671,12.9263,0.2496519406
TC009,,,,,,
TC010,10/05/2012,,1.1499,17.6182,14.2941,0.2528948129
TC011,10/05/2012,,1.1333,16.6805,13.5254,0.2546057569
TC026,10/05/2012,,1.1254,18.5666,17.0033,0.0984576046
TC027,10/05/2012,,1.1413,19.5936,18.0347,0.0922786414
TC028,10/05/2012,,1.1586,18.162,15.6485,0.1734656554
VR014,,,,,,
VR015,10/05/2012,,1.1487,15.6281,12.6889,0.254692293
VR038,10/05/2012,,1.1298,15.5014,12.352,0.2806401597
VR039,10/05/2012,,1.1197,14.3361,11.0181,0.3352056898
